SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
1	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
2	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
3	0	0	0	0	1	0	0	0	4	0	0.16	0	0
4	1.4e-05	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
5	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
6	0	0	0	1	0	0	0	0	3	0	0	0.13	0
7	0	0	0	0	1	0	0	0	4	0	0.16	0	0
8	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
9	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
10	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
11	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
12	0.00052	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
13	0.083	0.92	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
14	0	0	0	1	0	0	0	0	3	0	0	0.13	0
15	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
16	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
17	0	0	0	0	0	2.3e-05	1	0	6	0	0	0	0.1
18	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
19	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
20	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
21	1	0.00013	0	0	0	0	0	0	0	0.37	0.5	0.6	0.54
22	0.0057	0.99	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
23	6.3e-06	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
24	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
25	0	0	0	0	0	0	1	0	6	0	0	0	0.1
26	0	0	0	1	0	0	0	0	3	0	0	0.13	0
27	0	0	0	0	0	1	0	0	5	0	0	0	0.31
28	0	0	0	1	0	0	0	0	3	0	0	0.13	0
29	3.1e-05	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
30	1	0	0	0	0	0	0	0	0	0.37	0.5	0.6	0.54
31	0	0	0	0	0	0	1	0	6	0	0	0	0.1
32	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
33	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
34	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
35	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
36	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
37	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
38	0	0	0	0	0	0	1	0	6	0	0	0	0.1
39	0	0	0	0	0	0	0	1	7	0.037	0.04	0.27	0.1
40	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
41	0	0	0	0	1	0	0	0	4	0	0.16	0	0
42	0	0	0	0	0	0	1	0	6	0	0	0	0.1
43	0	0	0	0	0	1	0	0	5	0	0	0	0.31
44	0	0	0	1	0	0	0	0	3	0	0	0.13	0
45	0	0	0	0	0	0	1	0	6	0	0	0	0.1
46	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
47	0	0	0	0	1	0	0	0	4	0	0.16	0	0
48	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
49	0	0	0	0	1	0	0	0	4	0	0.16	0	0
50	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
51	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
52	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
53	0	0	0	1	0	0	0	0	3	0	0	0.13	0
54	0	0	1	0	0	0	0	0	2	0.15	0.08	0	0
55	0	0	0	0	0	1	0	0	5	0	0	0	0.31
56	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
57	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
58	2.3e-06	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
59	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
60	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
61	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
62	0	0	0	1	0	0	0	0	3	0	0	0.13	0
63	0	0	0	0	0	0	1	0	6	0	0	0	0.1
64	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
65	0.013	0.99	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
66	0	1	0	0	0	0	0	0	1	0.74	0.68	0.6	0.54
