k	loglikelihood	observations	parameters	BIC
1	-42158	23694	6	84376.4
2	-23898.7	23694	9	47888.1
3	-19687.4	23694	12	39495.6
4	-18360	23694	15	36871
5	-17552.3	23694	18	35286
6	-15753.8	23694	21	31719.2
7	-15630.6	23694	24	31502.9
8	-16196.9	23694	27	32665.7
9	-14835.6	23694	30	29973.4
10	-14907.9	23694	33	30148.3
11	-14609.4	23694	36	29581.5
12	-14057.8	23694	39	28508.5
13	-13470.7	23694	42	27364.4
14	-13507.4	23694	45	27468
15	-13667.4	23694	48	27818.4
16	-13253	23694	51	27019.8
17	-13431.9	23694	54	27407.7
18	-13165.5	23694	57	26905.2
19	-12868.6	23694	60	26341.5
20	-12778.5	23694	63	26191.6
