SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.27	0.57	0.67
1	0	0.0032	0	0	0	0	0	0	0	0	0	1	11	0.27	0.43	0.5
2	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0	0.33
3	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0.24	0
4	5.2e-06	0.97	0	0	0	5e-06	0.015	0	0	0	0	0.012	1	0.27	0.57	0.67
5	0	0	0	0	1	0	0	0	0	0	2.6e-05	0.00043	4	0.06	0.24	0.11
6	0	0	0	0	0	1	2.4e-05	0	0	0	0	0	5	0.42	0.43	0.94
7	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0	0.33
8	0	0	0	0	1	0	0	0	0	0	0	0	4	0.06	0.24	0.11
9	0	0	6e-06	0	0	0	0	0	0	0	0	1	11	0.27	0.43	0.5
10	0	0	0.0077	0	0.98	0	0	0	0	0	0	0.0091	4	0.06	0.24	0.11
11	0	0.99	0	0	0	0	0.00071	0	0	0	0	0.0076	1	0.27	0.57	0.67
12	0.02	1.3e-06	0	0	0	0	0.78	0	0	0	0	0.2	6	0.42	0.43	0.72
13	4.1e-05	0.75	0	0	0	1.6e-05	0.0024	0	0	0	0	0.25	1	0.27	0.57	0.67
14	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0.24	0
15	0	0	0	0	0	0	0	1	0	0	0.00022	0	7	0	0.24	0
16	0	1	0	0	0	0	0	0	0	0	0	0	1	0.27	0.57	0.67
17	0	1	0	0	0	0	0	0	0	0	0	7.3e-05	1	0.27	0.57	0.67
18	0	0	0	0	0	0	0	0	0	0	0	1	11	0.27	0.43	0.5
19	0.00062	0	0	0	0	3e-06	1	0	0	0	0	0	6	0.42	0.43	0.72
20	0	0	0	1	0	0	0	0	0	0	0	0	3	0.21	0	0.33
21	0.54	0	0	0	0	1.5e-06	0.46	0	0	0	0	0	0	0.53	0.43	0.5
