SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	0	0	0	0.27	0.43	0.5
1	1	0	0	0	0.27	0.43	0.5
2	0	1	0	1	0.12	0.048	0.22
3	0	0	1	2	0	0.24	0
4	1	0	0	0	0.27	0.43	0.5
5	1	0	0	0	0.27	0.43	0.5
6	1	0	0	0	0.27	0.43	0.5
7	0	1	0	1	0.12	0.048	0.22
8	0	1	0	1	0.12	0.048	0.22
9	1	0	0	0	0.27	0.43	0.5
10	0.99	0.0084	0	0	0.27	0.43	0.5
11	1	0	0	0	0.27	0.43	0.5
12	1	0	0	0	0.27	0.43	0.5
13	1	0	0	0	0.27	0.43	0.5
14	0	0	1	2	0	0.24	0
15	0	0	1	2	0	0.24	0
16	1	0	0	0	0.27	0.43	0.5
17	1	0	0	0	0.27	0.43	0.5
18	1	0	0	0	0.27	0.43	0.5
19	1	0	0	0	0.27	0.43	0.5
20	0	1	0	1	0.12	0.048	0.22
21	1	0	0	0	0.27	0.43	0.5
22	1	0	0	0	0.27	0.43	0.5
23	1	0	0	0	0.27	0.43	0.5
24	1	0	0	0	0.27	0.43	0.5
25	1	0	0	0	0.27	0.43	0.5
26	1	0	0	0	0.27	0.43	0.5
27	0	0	1	2	0	0.24	0
28	0	1	0	1	0.12	0.048	0.22
29	0	1	0	1	0.12	0.048	0.22
30	1	0	0	0	0.27	0.43	0.5
31	1	0	0	0	0.27	0.43	0.5
32	0	0	1	2	0	0.24	0
33	1	0	0	0	0.27	0.43	0.5
34	0	1	0	1	0.12	0.048	0.22
35	1	0	0	0	0.27	0.43	0.5
36	1	0	0	0	0.27	0.43	0.5
37	1	0	0	0	0.27	0.43	0.5
38	1	0	0	0	0.27	0.43	0.5
39	0	1	0	1	0.12	0.048	0.22
40	1	0	0	0	0.27	0.43	0.5
41	1	0	0	0	0.27	0.43	0.5
42	1	0	0	0	0.27	0.43	0.5
43	0	1	0	1	0.12	0.048	0.22
44	1	0	0	0	0.27	0.43	0.5
45	0	1	0	1	0.12	0.048	0.22
46	0	0	1	2	0	0.24	0
47	0.91	0.094	0	0	0.27	0.43	0.5
48	1	0	0	0	0.27	0.43	0.5
49	1	0	0	0	0.27	0.43	0.5
50	1	0	0	0	0.27	0.43	0.5
51	1	0	0	0	0.27	0.43	0.5
52	0	1	0	1	0.12	0.048	0.22
53	0	1	0	1	0.12	0.048	0.22
54	1	0	0	0	0.27	0.43	0.5
55	1	0	0	0	0.27	0.43	0.5
56	1	0	0	0	0.27	0.43	0.5
57	1	0	0	0	0.27	0.43	0.5
58	1	8.8e-05	0	0	0.27	0.43	0.5
59	1	0	0	0	0.27	0.43	0.5
60	0	0	1	2	0	0.24	0
61	1	0	0	0	0.27	0.43	0.5
62	1	0	0	0	0.27	0.43	0.5
63	1	0	0	0	0.27	0.43	0.5
