SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0	0	2.7e-06	0	0	0	0	0.0018	0	1	0	0	0	0	0	0	7.6e-06	0	0	0	9	0.27	0.57	0.78
1	0	0	0.0054	0	0	0	2.4e-06	0.0013	0	0.025	0	0	0	0.97	0	0	0.00014	0	0	0	13	0.27	0.43	0.5
2	0	0.00015	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.15	0	0.17
3	0	0	0	0	2.5e-06	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.24	0
4	0	0	1.2e-05	1.9e-05	0	0	0	0.00012	0	0.00043	0	0	0	1.8e-05	0	0	1	0	0	0	16	0.42	0.57	0.72
5	0	0	0	0	0.89	0	0	0	3.6e-06	0	0	0	0	0.00024	0	0	0	0	1.9e-05	0.11	4	0.03	0.43	0.056
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.42	0.43	0.94
7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.15	0	0.17
8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.03	0.43	0.056
9	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0.0083	0	0	0	0	0	0.99	19	0.18	0.33	0.33
10	0	0	0	0	0	0	0	0	0.00048	0	0	0	0	0.00016	0	0	0	0	0	1	19	0.18	0.33	0.33
11	0	0	0.002	0.0033	0	0	0	0.47	0	0.49	0	0	0	0.027	0	0	0.014	0	0	0	9	0.27	0.57	0.78
12	0.0011	0	0	0.99	0	0	0	0	0.00036	0	0	0	0	0.012	1.8e-06	0	0	0	0	0	3	0.42	0.43	0.67
13	5.3e-05	0	0.13	0.0056	0	0	0	0.3	1.3e-05	0.18	0	0	0	0.36	0	0	0.028	2.6e-05	0	0	13	0.27	0.43	0.5
14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.24	0
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	5	0	0.24	0
16	0	0	0.91	0	0	0	0	0.064	0	0.023	0	0	0	0	0	0	0.002	0	0	0	2	0.27	0.68	0.5
17	0	0	0.17	1.6e-06	0	0	0	0.41	0	0.41	0	0	0	0.00019	0	0	0.002	0	0	0	9	0.27	0.57	0.78
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.18	0.33	0.33
19	0.00063	0	0	1	0	0	0	0	0	0	0	0	0	0	1.9e-05	0	0.00025	3.6e-06	0	0	3	0.42	0.43	0.67
20	0	0.76	0	0	0	0	0	0	0	0	0.02	0	0.22	0	0	0	0	0	0	0	1	0.24	0	0.44
21	0.29	0	0	0.69	0	0	0	0	0	0	0	0	0	0	0.013	0	0.00019	0	0	0	3	0.42	0.43	0.67
22	3.5e-05	0	2e-05	0	0	0	0	0	0.0059	0	0	0	0	0.071	0	0	0	0	0	0.92	19	0.18	0.33	0.33
23	8.9e-06	0	0	0.98	0	0	0	0	0	0	0	0	0	0	2.8e-06	0	0.0006	0.017	0	0	3	0.42	0.43	0.67
24	0	0	0.41	0	0.0045	0	0	0.00075	3.4e-05	0	0	0	0	0.15	0	0	0	0	0	0.44	19	0.18	0.33	0.33
25	0.002	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00022	0	5e-05	9e-06	0	0	3	0.42	0.43	0.67
26	0.89	0	2.7e-06	0.088	0	0	0	1.4e-05	4.6e-06	0	0	0	0	0.0021	0.0086	0	0.0068	3e-06	0	0	0	0.53	0.43	0.5
27	0	0	0	0	0.004	1	0	0	0	0	0	0	0	0	0	0	0	0	5.6e-06	0	5	0	0.24	0
28	0	1	0	0	0	0	0	0	0	0	3.7e-05	0	0	0	0	0	0	0	0	0	1	0.24	0	0.44
29	0	1	0	0	0	0	0	0	0	0	0.0043	0	4.9e-06	0	0	0	0	0	0	0	1	0.24	0	0.44
30	0	0	0.61	0	0	0	0	0.27	0	0.1	0	0	0	3.8e-06	0	0	0.009	0	0	0	2	0.27	0.68	0.5
31	0	0	0.29	1.1e-06	0	0	0.00012	0.0082	0	0.029	0	0	0	0.67	0	0	0.00088	0	0	0	13	0.27	0.43	0.5
32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.24	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	1	19	0.18	0.33	0.33
34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.24	0	0.44
35	0.031	0	0	0.33	0	0	0	0	0.00034	1.3e-05	0	0	0	0.00021	0.054	0	0.0052	0.58	0	0	17	0.42	0.43	0.94
36	0	0	0	0	0	0	0	1.8e-05	0	0	0	0	0	1	0	0	0	0	0	0	13	0.27	0.43	0.5
37	0.68	0	0	0.053	0	0	0	0	0	0	0	0	0	1.1e-05	0.27	0	0.00023	1.3e-06	0	0	0	0.53	0.43	0.5
38	0.0004	0	0	0.048	0	0	0	0.00023	0.74	0.00023	0	0	0	0.21	0.0002	0	0.00017	0.0003	0	2.1e-06	8	0.27	0.29	0.5
39	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.27	0.048	0.33
40	0	0	4.8e-06	0	0	0	0	0.00017	0	1	0	0	0	0	0	0	0	0	0	0	9	0.27	0.57	0.78
41	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.025	0	0	0	0	0	0.89	19	0.18	0.33	0.33
42	0.59	0	0	0.29	0	0	0	0	0.00011	0	0	0	0	0.00066	0.12	0	0.00018	0	0	0	0	0.53	0.43	0.5
43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.15	0	0.17
44	0	0	3.4e-06	0	0	0	0	5.1e-05	0.18	0	0	0	0	0.8	0	0	0	0	0	0.019	13	0.27	0.43	0.5
45	0	0	0	0	0	0	0	0	0	0	0	1	0.0021	0	0	0	0	0	2.3e-05	0	11	0	0	0.17
46	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0065	0	5	0	0.24	0
47	0	1	0	0	0	0	0	0	0.00023	0	0.0024	0	0	5.8e-06	0	0	0	0	0	0	1	0.24	0	0.44
48	0.00045	0	0	1	0	0	0	0	0.00024	0	0	0	0	1.5e-05	0.00049	0	0	0	0	0	3	0.42	0.43	0.67
