k	loglikelihood	observations	parameters	BIC
1	-45857.9	10216	8	91789.6
2	-19434.7	10216	12	38980.1
3	-14645	10216	16	29437.7
4	-13327.8	10216	20	26840.1
5	-11703.5	10216	24	23628.6
6	-10001.9	10216	28	20262.2
7	-9693.97	10216	32	19683.3
8	-9219.77	10216	36	18771.9
9	-8159.13	10216	40	16687.5
10	-8346.97	10216	44	17100.1
11	-6604.83	10216	48	13652.8
12	-7280.88	10216	52	15041.8
13	-6949.69	10216	56	14416.4
14	-7157.2	10216	60	14868.3
15	-6840.54	10216	64	14271.9
16	-7086.63	10216	68	14801
17	-6886.29	10216	72	14437.3
18	-6801.33	10216	76	14304.3
19	-6923.98	10216	80	14586.5
20	-6421.7	10216	84	13618.9
