SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	3.8e-05	0.0013	0	0	0	0	5.7e-05	0	0	0	0	0	0	0.86	0	0.14	0	0	7.1e-05	0	13	0.6	0.49	0.57	0.26
1	9.8e-06	0.77	0	0	0	0	0.032	0	0	0	0	0	0	0.18	0	0.017	0	0	3.7e-05	0	1	0.53	0.44	0.52	0.17
2	1.1e-05	0.0025	0	0	0	0	0.00067	0	0	0	0	0	0	0.73	0	0.26	0	0	0.00022	0	13	0.6	0.49	0.57	0.26
3	2.2e-05	0.18	0	0	0	0	0.45	0	0	0	0	0	0	0.25	0	0.11	0	0	0.0074	0	6	0.53	0.38	0.48	0.23
4	0.00018	0.02	0	0	0	0	0.47	0	0	0	0	0	0	0.072	0	0.4	0	0	0.037	0	6	0.53	0.38	0.48	0.23
5	0	0.0051	0	0	0	0	0.13	0	0	0	0	0	0	0.26	0	0.61	0	0	0	0	15	0.6	0.55	0.52	0.26
6	0	0.0071	0	0	0	0	0.0064	0	0	0	0	0	0	0.41	0	0.58	0	0	0	0	15	0.6	0.55	0.52	0.26
7	0	0.00076	0	0	0	0	0.00071	0	0	0	0	0	0	0.22	0	0.78	0	0	0	0	15	0.6	0.55	0.52	0.26
8	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6e-05	0.095	0	0	2	0.4	0	0	0
9	0	0.3	0	0	0	0	0.099	0	0	0	0	0	0	0.55	0	0.05	0	0	0	0	13	0.6	0.49	0.57	0.26
10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0.48	0
11	0	0.32	0	0	0	0	0.041	0	0	0	0	0	0	0.59	0	0.05	0	0	0	0	13	0.6	0.49	0.57	0.26
12	0	0.0002	0	0	0	0	0.0025	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	13	0.6	0.49	0.57	0.26
13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.089	0.054	0.053	0.12
14	0	0.006	0	0	0	0	0.048	0	0	0	0	0	0	0.91	0	0.04	0	0	0	0	13	0.6	0.49	0.57	0.26
