SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.00081	0.36	0.22	0	0	0.42	5	0.24
1	0.12	0.53	0.32	1.7e-05	0.0024	0.03	1	0.16
2	0.0066	0.62	0.37	0	0	0.0089	1	0.16
3	0.011	0	0	0.034	0.96	0	4	0.071
4	0.72	0.15	0.088	0.00035	0.046	2.6e-05	0	0.11
5	0.28	0.42	0.25	0.00097	0.031	0.02	1	0.16
6	0.25	0.47	0.28	0	4.2e-06	0	1	0.16
7	0.32	0.39	0.24	0.00099	0.035	0.012	1	0.16
8	0.0041	0.57	0.34	0	0	0.08	1	0.16
9	0.75	0.12	0.074	0.00044	0.055	1.6e-05	0	0.11
10	0.0005	0.62	0.37	0	0	0.0077	1	0.16
11	0.38	0.38	0.23	7.2e-05	0.012	0.0011	1	0.16
12	0.48	0.029	0.018	0.037	0.43	1.3e-05	0	0.11
13	0.0016	0.54	0.32	0	0	0.14	1	0.16
14	0.21	0.46	0.28	0.00038	0.016	0.032	1	0.16
15	0.71	0.18	0.11	0	0.00076	0	0	0.11
16	0.65	0.088	0.052	0.0071	0.2	5.5e-05	0	0.11
17	0.1	0.56	0.33	0	3.7e-06	4.4e-06	1	0.16
18	0.048	2.4e-05	1.5e-05	0.22	0.74	0	4	0.071
19	0.55	0.12	0.071	0.016	0.24	0.00043	0	0.11
20	0.14	0.53	0.32	5.2e-06	0.0015	0.0087	1	0.16
21	0.59	0.15	0.091	0.0062	0.16	0.00037	0	0.11
22	0.58	0.15	0.088	0.0083	0.18	0.00044	0	0.11
23	0.27	0.00015	9.2e-05	0.03	0.7	0	4	0.071
24	0.56	0.25	0.15	0.00078	0.051	0.00047	0	0.11
25	0.062	6.8e-06	4.1e-06	0.11	0.83	0	4	0.071
26	0.52	0.15	0.087	0.017	0.23	0.00094	0	0.11
27	0.049	0.59	0.35	0	6.2e-05	0.0064	1	0.16
28	0.036	0.6	0.36	0	2.9e-06	0.00025	1	0.16
29	0.43	0.32	0.19	0.0016	0.057	0.0037	0	0.11
30	0.37	0.0013	0.00076	0.031	0.6	0	4	0.071
31	0.044	1.6e-05	9.3e-06	0.21	0.75	0	4	0.071
32	0.76	0.045	0.027	0.003	0.17	2.4e-06	0	0.11
33	0.59	0.082	0.049	0.015	0.27	0.0001	0	0.11
34	0.67	0.16	0.095	0.00094	0.069	8.1e-05	0	0.11
35	0.79	0.068	0.041	0.0012	0.1	4.2e-06	0	0.11
36	0.68	0.16	0.093	0.00097	0.071	7.6e-05	0	0.11
37	0.25	0.0022	0.0013	0.09	0.66	0	4	0.071
38	0.83	0.092	0.055	6.7e-05	0.026	1.2e-06	0	0.11
39	0.73	0.0073	0.0044	0.0037	0.25	0	0	0.11
40	0.76	0.15	0.09	3.2e-06	0.0052	0	0	0.11
41	0.01	0.54	0.32	0	8.6e-06	0.12	1	0.16
42	0.11	0.49	0.29	9.3e-05	0.005	0.1	1	0.16
43	0.21	0.48	0.29	0.0001	0.0084	0.016	1	0.16
44	0.6	0.00017	9.9e-05	0.0028	0.4	0	0	0.11
45	0.27	0.42	0.25	0.0012	0.033	0.027	1	0.16
46	0.39	0.35	0.21	0.0016	0.052	0.0065	0	0.11
47	9.6e-06	0.13	0.077	0	0	0.79	5	0.24
48	0.0021	0.6	0.36	0	0	0.037	1	0.16
49	0.32	0.34	0.2	0.007	0.091	0.029	1	0.16
50	0.66	0.052	0.031	0.009	0.25	1.2e-05	0	0.11
51	0.16	0.51	0.3	4.5e-05	0.0047	0.021	1	0.16
52	0.0019	0.62	0.37	0	0	0.0089	1	0.16
53	0.87	0.069	0.041	2.2e-05	0.017	0	0	0.11
54	0.0085	0.61	0.36	0	0	0.014	1	0.16
55	0.8	0.014	0.0081	0.0018	0.17	0	0	0.11
56	0.008	0.61	0.37	0	0	0.013	1	0.16
57	0.63	0.2	0.12	0.00049	0.047	0.00013	0	0.11
58	0.3	0.4	0.24	0.0015	0.04	0.021	1	0.16
59	0.67	0.042	0.025	0.0084	0.25	5.7e-06	0	0.11
60	0.3	0.38	0.23	0.003	0.057	0.028	1	0.16
61	0.19	0.00055	0.00033	0.089	0.72	0	4	0.071
62	0.00033	0.62	0.37	0	0	0.0062	1	0.16
63	0.069	0.58	0.35	0	9.7e-05	0.003	1	0.16
64	0.78	0.016	0.0097	0.0026	0.19	0	0	0.11
65	0.0009	0.54	0.32	0	0	0.14	1	0.16
66	0.31	0.43	0.26	1.6e-06	0.0016	0.00019	1	0.16
67	0.98	0.0081	0.0048	0	0.0042	0	0	0.11
68	0.0026	0.62	0.37	0	0	0.015	1	0.16
69	0.00016	0.37	0.22	0	0	0.41	5	0.24
70	0.8	0.12	0.074	0	3.5e-05	0	0	0.11
71	0.0022	0.53	0.31	0	0	0.16	1	0.16
72	0.0061	0.6	0.36	0	0	0.04	1	0.16
73	0.12	7.3e-05	4.4e-05	0.098	0.78	0	4	0.071
74	0.43	0.015	0.0087	0.045	0.5	2.2e-06	4	0.071
75	0.11	0.0011	0.00068	0.22	0.66	0	4	0.071
76	0.014	0	0	0.27	0.72	0	4	0.071
77	0.2	0.00046	0.00027	0.081	0.72	0	4	0.071
78	0.54	0.0069	0.0041	0.017	0.43	0	0	0.11
79	0.22	0.48	0.28	8.8e-05	0.0082	0.012	1	0.16
80	0.039	0.6	0.36	0	7.8e-06	0.00076	1	0.16
81	0.74	0.0016	0.00098	0.002	0.25	0	0	0.11
82	0.076	1.9e-05	1.1e-05	0.088	0.75	0.085	4	0.071
83	0.0021	0.61	0.36	0	0	0.03	1	0.16
84	0.57	0.0067	0.004	0.0087	0.35	0.057	0	0.11
85	0.34	0.0082	0.0049	0.051	0.53	0.07	4	0.071
86	0.33	0.4	0.24	0.00033	0.023	0.0061	1	0.16
87	0.72	0.17	0.1	0	0.0031	0.0012	0	0.11
88	0.85	0.052	0.031	0.00041	0.068	0	0	0.11
89	0.91	0.05	0.03	4.1e-06	0.0082	0	0	0.11
90	0.68	0.046	0.028	0.0078	0.24	7.1e-06	0	0.11
91	0.047	4.2e-06	2.5e-06	0.14	0.81	0	4	0.071
92	0.17	0.51	0.3	2.7e-05	0.0039	0.013	1	0.16
93	0.0015	0.29	0.17	0	0	0.54	5	0.24
94	0.26	0.47	0.28	0	0.00036	5.8e-05	1	0.16
95	0.1	0.56	0.33	0	0.00037	0.0045	1	0.16
96	0.56	0.26	0.16	9e-05	0.018	0.00013	0	0.11
97	0.89	0.026	0.015	0.00027	0.066	0	0	0.11
98	0.026	0.58	0.34	0	7.9e-05	0.052	1	0.16
99	0.23	0.47	0.28	7.5e-05	0.008	0.0061	1	0.16
100	0.17	0.48	0.29	0.00024	0.011	0.049	1	0.16
101	0.7	0.032	0.019	0.0065	0.24	1.8e-06	0	0.11
102	0.93	0.02	0.012	8.2e-05	0.041	0	0	0.11
103	0.51	0.3	0.18	8e-06	0.0053	4.9e-05	0	0.11
104	0.0045	0.59	0.35	0	0	0.049	1	0.16
105	0.21	0.49	0.29	9.3e-06	0.0027	0.0032	1	0.16
106	0.011	0.62	0.37	0	0	0.0053	1	0.16
107	0.32	0.43	0.25	1.7e-06	0.0017	0.00018	1	0.16
108	0.82	0.0012	0.00072	0.00073	0.18	0	0	0.11
109	0.084	0.57	0.34	0	0.00018	0.0033	1	0.16
110	0.79	0.098	0.058	0.00035	0.053	5.5e-06	0	0.11
111	0.76	0.0063	0.0038	0.0025	0.23	0	0	0.11
112	0.24	0.00033	0.0002	0.05	0.71	0	4	0.071
113	0.31	0.00037	0.00022	0.03	0.66	0	4	0.071
114	0.045	0.58	0.35	0	0.00014	0.03	1	0.16
115	0.77	0.043	0.026	0.0024	0.15	1.7e-06	0	0.11
116	0.15	4.6e-05	2.7e-05	0.057	0.79	0	4	0.071
117	0.6	0.0092	0.0055	0.012	0.37	0	0	0.11
118	0.38	0.37	0.22	0.0006	0.032	0.0041	0	0.11
119	0.48	0.013	0.0079	0.032	0.47	1e-06	0	0.11
120	0.13	0.00016	9.7e-05	0.11	0.76	0	4	0.071
121	0.56	0.27	0.16	1.4e-06	0.0025	7.4e-06	0	0.11
122	0.053	0.59	0.35	0	5.5e-06	0.00014	1	0.16
123	0.46	0.31	0.18	0.0011	0.049	0.002	0	0.11
124	0.99	0.0036	0.0021	0	0.0015	0	0	0.11
125	0.33	0.011	0.0067	0.082	0.57	3.2e-06	4	0.071
126	0.15	2.6e-06	1.6e-06	0.019	0.83	0	4	0.071
127	0.05	0.6	0.35	0	2.9e-06	6.4e-05	1	0.16
128	0.0022	0	0	0.34	0.65	0	4	0.071
129	0.65	0.1	0.062	0.006	0.18	8.3e-05	0	0.11
130	0.83	0.012	0.0073	0.0012	0.15	0	0	0.11
131	0.1	6e-05	3.6e-05	0.12	0.78	0	4	0.071
132	0.091	3.7e-05	2.2e-05	0.11	0.79	0	4	0.071
133	0.00078	0	0	0.48	0.52	0	4	0.071
134	0.43	0.33	0.2	0.00063	0.036	0.0022	0	0.11
135	0.0025	0.61	0.36	0	0	0.024	1	0.16
136	0.0023	0.58	0.35	0	0	0.069	1	0.16
137	0.025	1.1e-05	6.5e-06	0.32	0.65	0	4	0.071
138	0.67	0.21	0.12	4.5e-06	0.0052	4.5e-06	0	0.11
139	0.5	0.13	0.075	0.024	0.27	0.00083	0	0.11
140	0.72	0.17	0.098	5.2e-05	0.018	1e-05	0	0.11
141	0.52	0.11	0.064	0.023	0.28	0.00044	0	0.11
142	0.51	0.3	0.18	0	0.00032	0	0	0.11
143	0.65	0.22	0.13	0	0.00033	0	0	0.11
144	0.37	0.34	0.2	0.0028	0.066	0.01	0	0.11
145	0.66	0.21	0.12	2e-05	0.011	1.3e-05	0	0.11
146	0.28	0.44	0.26	6.3e-05	0.0085	0.0036	1	0.16
147	0.54	0.031	0.018	0.025	0.38	8.1e-06	0	0.11
148	0.18	0.0012	0.00071	0.12	0.69	0	4	0.071
149	0.013	0.61	0.36	0	4e-06	0.02	1	0.16
150	0.094	0.56	0.33	1.3e-06	0.00058	0.011	1	0.16
151	0.021	0	0	0.12	0.86	0	4	0.071
152	0.013	0.62	0.37	0	0	5.3e-06	1	0.16
153	0.85	0.087	0.052	3.8e-06	0.0068	0	0	0.11
154	0.42	0.28	0.17	0.0076	0.12	0.0081	0	0.11
155	0.15	0.51	0.31	4.9e-05	0.0046	0.031	1	0.16
156	0.36	0.4	0.24	5.7e-06	0.0033	0.00024	1	0.16
157	0.4	0.32	0.19	0.0035	0.078	0.0076	0	0.11
158	0.023	0.61	0.36	0	1.4e-06	0.00049	1	0.16
159	0.21	0.46	0.27	0.0014	0.032	0.026	1	0.16
160	0.67	0.11	0.067	0.0026	0.13	0.023	0	0.11
161	0	0.018	0.011	0	0	0.97	5	0.24
162	0.14	1.5e-05	8.7e-06	0.034	0.73	0.096	4	0.071
163	0.076	0.00041	0.00025	0.22	0.64	0.065	4	0.071
164	0.083	0	0	0.0064	0.79	0.12	4	0.071
165	0.41	0.37	0.22	0	0	2.4e-06	0	0.11
166	2.7e-05	0.63	0.37	0.00075	0.00069	5.6e-05	1	0.16
167	0.026	0.61	0.36	0	1.1e-05	0.0018	1	0.16
168	0	0.63	0.37	0	0	0	1	0.16
169	0.5	0.28	0.17	0.00043	0.038	0.0079	0	0.11
170	0.51	0.11	0.064	0.017	0.26	0.039	0	0.11
171	0.59	0.25	0.15	0	0.0014	2.1e-06	0	0.11
172	0.34	0.41	0.25	0	0.0013	8.2e-05	1	0.16
173	5.2e-05	0.63	0.37	0	0	0.00022	1	0.16
174	0.038	0.55	0.33	0	0.0002	0.079	1	0.16
175	0.0047	0.6	0.36	0	0	0.032	1	0.16
176	0.3	0.43	0.26	5.1e-06	0.0027	0.00047	1	0.16
177	0.6	0.16	0.095	0.0046	0.14	0.00033	0	0.11
178	0.014	0.54	0.32	0	2.3e-05	0.13	1	0.16
179	0.076	0.57	0.34	0	0.0002	0.0058	1	0.16
180	0.0076	0.44	0.26	0	1.9e-05	0.29	1	0.16
181	0.074	0.54	0.32	6.6e-06	0.0011	0.061	1	0.16
182	0.029	0.47	0.28	1.7e-06	0.0003	0.22	1	0.16
183	0.65	0.19	0.11	0.0003	0.038	7.2e-05	0	0.11
184	0.35	0.39	0.23	0.00026	0.02	0.0036	1	0.16
185	5.9e-06	0.58	0.34	0	0	0.082	1	0.16
186	0.59	0.023	0.014	0.016	0.35	1.8e-06	0	0.11
187	0.12	0.55	0.33	0	6.7e-05	0.00019	1	0.16
188	0.32	0.43	0.25	5.6e-06	0.003	0.00042	1	0.16
189	0.84	0.076	0.045	0.00011	0.034	0	0	0.11
190	0.77	0.074	0.044	0.0014	0.11	6.6e-06	0	0.11
191	0.38	0.39	0.23	0	0.00052	1.1e-05	1	0.16
192	0.24	0.41	0.24	0.0025	0.044	0.055	1	0.16
193	0.0027	0.57	0.34	0	0	0.095	1	0.16
194	0.96	0.014	0.0081	6.6e-06	0.014	0	0	0.11
195	0.52	0.24	0.14	0.0031	0.095	0.0013	0	0.11
196	0.51	0.24	0.14	0.0041	0.11	0.0017	0	0.11
197	0.47	0.28	0.17	0.0029	0.081	0.0029	0	0.11
198	0.45	0.34	0.2	0	0.0015	1.8e-05	0	0.11
199	0.00058	0.52	0.31	0	0	0.17	1	0.16
200	0.88	0.03	0.018	0.0003	0.068	0	0	0.11
201	0.91	0.02	0.012	0.00011	0.05	0.013	0	0.11
202	0.23	0.0012	0.00071	0.061	0.63	0.08	4	0.071
203	0.36	0.33	0.2	0.0053	0.094	0.019	0	0.11
204	0.013	0	0	0.15	0.76	0.073	4	0.071
205	0.2	0.46	0.27	0.0016	0.032	0.035	1	0.16
206	0.0011	0.61	0.36	0	0	0.021	1	0.16
207	0.0082	0	0	0.25	0.68	0.059	4	0.071
208	0.013	0	0	0.27	0.66	0.058	4	0.071
209	0.038	8.2e-06	4.9e-06	0.17	0.72	0.073	4	0.071
210	0.38	0.36	0.21	0.00091	0.042	0.0092	0	0.11
211	0.2	0	0	0.0036	0.68	0.12	4	0.071
212	0.24	0.0013	0.00075	0.08	0.68	0	4	0.071
213	0.94	0.035	0.021	0	0.0041	0	0	0.11
214	0.058	0.55	0.33	2.3e-06	0.00054	0.062	1	0.16
215	0.25	0.47	0.28	0	0.00058	0.00015	1	0.16
216	0.77	0.072	0.043	0.0015	0.11	6.2e-06	0	0.11
217	0.014	0	0	0.27	0.72	0	4	0.071
218	0.098	1.4e-05	8.4e-06	0.075	0.83	0	4	0.071
219	0.041	0.6	0.36	0	3e-05	0.0046	1	0.16
220	0.0074	0.62	0.37	0	0	0.0022	1	0.16
221	0.064	0.58	0.34	0	0.00023	0.014	1	0.16
222	0.00059	0.49	0.29	0	0	0.22	1	0.16
223	0	0.039	0.023	0	0	0.94	5	0.24
224	0.041	0.56	0.33	0	0.00023	0.07	1	0.16
225	0.05	0.5	0.3	6e-06	0.00079	0.14	1	0.16
226	0.27	0.44	0.26	0.00036	0.019	0.013	1	0.16
227	0.59	0.26	0.15	0	2.6e-05	0	0	0.11
228	0.78	0.13	0.076	1.8e-05	0.012	1.6e-06	0	0.11
229	0.27	0.00024	0.00014	0.035	0.69	0	4	0.071
230	0.64	0.15	0.089	0.003	0.12	0.00017	0	0.11
231	0.61	0.2	0.12	0.0011	0.067	0.00025	0	0.11
232	0.5	0.19	0.11	0.012	0.18	0.002	0	0.11
233	0.7	0.0011	0.00068	0.0026	0.3	0	0	0.11
234	0.28	0.45	0.27	6e-05	0.0082	0.0038	1	0.16
235	0.85	0.091	0.054	0	0.0018	0	0	0.11
236	0.043	6.8e-06	4.1e-06	0.18	0.78	0	4	0.071
237	0.41	0.33	0.2	0.0019	0.059	0.0052	0	0.11
238	0.15	6.3e-05	3.8e-05	0.044	0.71	0.092	4	0.071
239	0.013	0	0	0.12	0.79	0.077	4	0.071
240	0.37	0.0029	0.0017	0.028	0.52	0.074	4	0.071
241	0.014	0	0	0.3	0.64	0.055	4	0.071
