k	loglikelihood	observations	parameters	BIC
1	-5255.15	5602	2	10527.6
2	-3732.6	5602	3	7491.09
3	-3621.7	5602	4	7277.91
4	-3592.68	5602	5	7228.52
5	-3590.15	5602	6	7232.08
6	-3589.51	5602	7	7239.44
7	-3589.51	5602	8	7248.07
8	-3588.8	5602	9	7255.27
9	-3588.4	5602	10	7263.1
10	-3587.75	5602	11	7270.44
11	-3587.76	5602	12	7279.09
12	-3588.15	5602	13	7288.5
13	-3588.06	5602	14	7296.95
14	-3588.17	5602	15	7305.8
15	-3588.12	5602	16	7314.34
16	-3587.77	5602	17	7322.26
17	-3588.27	5602	18	7331.9
18	-3589.58	5602	19	7343.15
19	-3589.69	5602	20	7352
20	-3587.84	5602	21	7356.93
