SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.00026	0.24	0.21	0	0.00026	0.0051	1.2e-06	0.54	0	7	0.16
1	0.038	0.017	0.015	1.6e-05	0.038	0.11	0.0019	0.78	0.0025	7	0.16
2	0.0022	0.0054	0.0047	0	0.0022	0.032	1.1e-05	0.95	0	7	0.16
3	0.0032	0	0	0.031	0.0032	3.1e-05	0.021	0	0.94	8	0.071
4	0.22	1.5e-05	1.3e-05	0.00032	0.22	0.27	0.023	0.21	0.047	5	0.12
5	0.088	0.011	0.01	0.0009	0.088	0.16	0.0091	0.6	0.032	7	0.16
6	0.057	0	0	0	0.057	0.39	0.00026	0.5	3.2e-06	7	0.16
7	0.1	0.0066	0.0058	0.00092	0.1	0.17	0.011	0.57	0.036	7	0.16
8	0.0014	0.048	0.042	0	0.0014	0.019	8.4e-06	0.89	0	7	0.16
9	0.23	9.3e-06	8.1e-06	0.00041	0.23	0.27	0.026	0.18	0.056	5	0.12
10	0.00017	0.0047	0.0041	0	0.00017	0.0086	0	0.98	0	7	0.16
11	0.11	0.00057	0.00049	6.4e-05	0.11	0.23	0.0078	0.53	0.011	7	0.16
12	0.16	7.7e-06	6.7e-06	0.036	0.16	0.099	0.047	0.044	0.46	8	0.071
13	0.00053	0.087	0.076	0	0.00053	0.011	2.1e-06	0.83	0	7	0.16
14	0.067	0.018	0.016	0.00035	0.067	0.14	0.0059	0.67	0.016	7	0.16
15	0.18	0	0	0	0.18	0.42	0.0044	0.21	0.00064	5	0.12
16	0.21	3.2e-05	2.8e-05	0.0068	0.21	0.19	0.04	0.13	0.21	0	0.11
17	0.029	2.2e-06	1.9e-06	0	0.029	0.23	0.00016	0.72	3.4e-06	7	0.16
18	0.015	0	0	0.2	0.015	0.002	0.019	3.5e-05	0.75	8	0.071
19	0.18	0.00025	0.00022	0.016	0.18	0.16	0.036	0.18	0.26	8	0.071
20	0.043	0.0048	0.0042	4.8e-06	0.043	0.14	0.0018	0.77	0.0015	7	0.16
21	0.19	0.00021	0.00018	0.0059	0.19	0.2	0.032	0.22	0.16	7	0.16
22	0.18	0.00025	0.00022	0.0078	0.18	0.19	0.033	0.22	0.18	7	0.16
23	0.086	0	0	0.028	0.086	0.015	0.059	0.00023	0.73	8	0.071
24	0.17	0.00026	0.00023	0.00071	0.17	0.24	0.019	0.35	0.051	7	0.16
25	0.019	0	0	0.1	0.019	0.0018	0.027	9.7e-06	0.83	8	0.071
26	0.17	0.00054	0.00047	0.016	0.17	0.17	0.033	0.22	0.24	8	0.071
27	0.016	0.0037	0.0032	0	0.016	0.088	0.00028	0.87	6.5e-05	7	0.16
28	0.011	0.00014	0.00012	0	0.011	0.1	7.3e-05	0.87	3e-06	7	0.16
29	0.13	0.002	0.0018	0.0015	0.13	0.2	0.016	0.45	0.058	7	0.16
30	0.12	0	0	0.03	0.12	0.035	0.058	0.0019	0.63	8	0.071
31	0.014	0	0	0.19	0.014	0.0017	0.019	2.2e-05	0.76	8	0.071
32	0.25	1.4e-06	1.2e-06	0.003	0.25	0.19	0.046	0.069	0.18	0	0.11
33	0.19	5.9e-05	5.2e-05	0.014	0.19	0.16	0.041	0.12	0.28	8	0.071
34	0.21	4.6e-05	4e-05	0.00088	0.21	0.25	0.026	0.23	0.071	5	0.12
35	0.26	2.5e-06	2.1e-06	0.0012	0.26	0.23	0.038	0.1	0.11	0	0.11
36	0.21	4.3e-05	3.7e-05	0.00091	0.21	0.25	0.026	0.23	0.073	5	0.12
37	0.078	0	0	0.085	0.078	0.027	0.041	0.0033	0.69	8	0.071
38	0.26	0	0	6.2e-05	0.26	0.3	0.022	0.13	0.026	5	0.12
39	0.26	0	0	0.0038	0.26	0.12	0.065	0.012	0.29	8	0.071
40	0.21	0	0	2.7e-06	0.21	0.36	0.01	0.2	0.0048	5	0.12
41	0.0033	0.072	0.063	0	0.0033	0.029	4.4e-05	0.83	9.3e-06	7	0.16
42	0.034	0.058	0.051	8.8e-05	0.034	0.092	0.0024	0.72	0.0052	7	0.16
43	0.064	0.0091	0.0079	9.4e-05	0.064	0.15	0.0045	0.69	0.0085	7	0.16
44	0.21	0	0	0.0028	0.21	0.038	0.094	0.00026	0.45	8	0.071
45	0.084	0.015	0.013	0.0011	0.084	0.15	0.009	0.61	0.034	7	0.16
46	0.12	0.0036	0.0032	0.0015	0.12	0.19	0.014	0.5	0.053	7	0.16
47	2.9e-06	0.44	0.38	0	2.9e-06	0.00025	0	0.18	0	1	0.24
48	0.00072	0.022	0.019	0	0.00072	0.015	2.2e-06	0.94	0	7	0.16
49	0.1	0.016	0.014	0.0065	0.1	0.15	0.015	0.5	0.094	7	0.16
50	0.22	7.1e-06	6.2e-06	0.0088	0.22	0.17	0.046	0.079	0.27	8	0.071
51	0.051	0.012	0.011	4.2e-05	0.051	0.13	0.0031	0.74	0.0048	7	0.16
52	0.00063	0.0055	0.0048	0	0.00063	0.017	1.3e-06	0.97	0	7	0.16
53	0.27	0	0	2.1e-05	0.27	0.32	0.021	0.099	0.017	5	0.12
54	0.0028	0.0084	0.0074	0	0.0028	0.035	1.8e-05	0.94	1e-06	7	0.16
55	0.28	0	0	0.0019	0.28	0.16	0.057	0.022	0.2	0	0.11
56	0.0027	0.0075	0.0066	0	0.0027	0.034	1.6e-05	0.95	0	7	0.16
57	0.19	7e-05	6.1e-05	0.00045	0.19	0.26	0.02	0.29	0.047	7	0.16
58	0.092	0.012	0.01	0.0014	0.092	0.16	0.01	0.58	0.041	7	0.16
59	0.22	3.4e-06	3e-06	0.0083	0.22	0.16	0.049	0.065	0.27	8	0.071
60	0.095	0.016	0.014	0.0028	0.095	0.15	0.012	0.56	0.058	7	0.16
61	0.061	0	0	0.083	0.061	0.015	0.04	0.00079	0.74	8	0.071
62	0.00011	0.0038	0.0033	0	0.00011	0.007	0	0.99	0	7	0.16
63	0.022	0.0017	0.0015	0	0.022	0.11	0.00041	0.84	0.0001	7	0.16
64	0.27	0	0	0.0027	0.27	0.16	0.057	0.026	0.22	0	0.11
