SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.00014	0.00014	0.00014	0	0.15	0	0.15	0	0.0045	0.00014	0.15	0.54	11	0.16
1	0.021	0.021	0.021	1.6e-05	0.01	0.0013	0.011	0.0025	0.099	0.021	0.011	0.78	11	0.16
2	0.0012	0.0012	0.0012	0	0.0032	6.8e-06	0.0033	0	0.028	0.0012	0.0033	0.96	11	0.16
3	0.0018	0.0018	0.0018	0.03	0	0.014	0	0.95	2.7e-05	0.0018	0	0	7	0.071
4	0.12	0.12	0.12	0.00032	8.8e-06	0.015	9.1e-06	0.047	0.24	0.12	9.1e-06	0.21	8	0.12
5	0.048	0.048	0.048	0.0009	0.0069	0.006	0.0072	0.032	0.14	0.048	0.0072	0.61	11	0.16
6	0.032	0.032	0.032	0	0	0.00018	0	3.3e-06	0.35	0.032	0	0.52	11	0.16
7	0.055	0.055	0.055	0.00092	0.004	0.0069	0.0042	0.036	0.15	0.055	0.0042	0.57	11	0.16
8	0.00074	0.00074	0.00074	0	0.029	5.4e-06	0.03	0	0.017	0.00074	0.03	0.89	11	0.16
9	0.13	0.13	0.13	0.00041	5.6e-06	0.017	5.8e-06	0.056	0.23	0.13	5.8e-06	0.18	8	0.12
10	9.3e-05	9.3e-05	9.3e-05	0	0.0028	0	0.0029	0	0.0074	9.3e-05	0.0029	0.98	11	0.16
11	0.062	0.062	0.062	6.4e-05	0.00034	0.0051	0.00036	0.011	0.2	0.062	0.00036	0.53	11	0.16
12	0.086	0.086	0.086	0.036	4.6e-06	0.03	4.8e-06	0.46	0.086	0.086	4.8e-06	0.044	7	0.071
13	0.00029	0.00029	0.00029	0	0.052	1.4e-06	0.054	0	0.0092	0.00029	0.054	0.83	11	0.16
14	0.036	0.036	0.036	0.00035	0.011	0.0038	0.011	0.017	0.12	0.036	0.011	0.68	11	0.16
15	0.1	0.1	0.1	0	0	0.0029	0	0.00065	0.37	0.1	0	0.22	8	0.12
16	0.12	0.12	0.12	0.0068	1.9e-05	0.026	2e-05	0.21	0.16	0.12	2e-05	0.13	7	0.071
17	0.016	0.016	0.016	0	1.3e-06	0.0001	1.4e-06	3.5e-06	0.2	0.016	1.4e-06	0.74	11	0.16
18	0.0082	0.0082	0.0082	0.2	0	0.013	0	0.75	0.0018	0.0082	0	3.5e-05	7	0.071
19	0.095	0.095	0.095	0.016	0.00015	0.023	0.00016	0.26	0.14	0.095	0.00016	0.18	7	0.071
20	0.023	0.023	0.023	4.8e-06	0.0029	0.0012	0.0031	0.0016	0.12	0.023	0.0031	0.78	11	0.16
21	0.1	0.1	0.1	0.0059	0.00013	0.021	0.00013	0.16	0.17	0.1	0.00013	0.23	11	0.16
22	0.1	0.1	0.1	0.0078	0.00015	0.021	0.00016	0.18	0.17	0.1	0.00016	0.22	11	0.16
23	0.047	0.047	0.047	0.028	0	0.038	0	0.73	0.013	0.047	0	0.00023	7	0.071
24	0.093	0.093	0.093	0.00071	0.00016	0.012	0.00016	0.052	0.21	0.093	0.00016	0.35	11	0.16
25	0.01	0.01	0.01	0.1	0	0.018	0	0.84	0.0016	0.01	0	9.8e-06	7	0.071
26	0.09	0.09	0.09	0.016	0.00032	0.021	0.00034	0.24	0.14	0.09	0.00034	0.22	7	0.071
27	0.0085	0.0085	0.0085	0	0.0022	0.00018	0.0023	6.5e-05	0.077	0.0085	0.0023	0.88	11	0.16
28	0.0062	0.0062	0.0062	0	8.4e-05	4.8e-05	8.8e-05	3e-06	0.09	0.0062	8.8e-05	0.89	11	0.16
29	0.073	0.073	0.073	0.0015	0.0012	0.01	0.0013	0.058	0.17	0.073	0.0013	0.46	11	0.16
30	0.065	0.065	0.065	0.03	0	0.038	0	0.64	0.031	0.065	0	0.0019	7	0.071
31	0.0075	0.0075	0.0075	0.19	0	0.012	0	0.76	0.0015	0.0075	0	2.3e-05	7	0.071
32	0.14	0.14	0.14	0.003	0	0.03	0	0.18	0.17	0.14	0	0.069	7	0.071
33	0.1	0.1	0.1	0.014	3.6e-05	0.027	3.7e-05	0.28	0.14	0.1	3.7e-05	0.12	7	0.071
34	0.11	0.11	0.11	0.00087	2.8e-05	0.017	2.9e-05	0.071	0.22	0.11	2.9e-05	0.23	11	0.16
35	0.14	0.14	0.14	0.0012	1.5e-06	0.024	1.5e-06	0.11	0.2	0.14	1.5e-06	0.1	8	0.12
36	0.12	0.12	0.12	0.0009	2.6e-05	0.017	2.7e-05	0.073	0.22	0.12	2.7e-05	0.23	11	0.16
37	0.043	0.043	0.043	0.085	0	0.027	0	0.69	0.023	0.043	0	0.0033	7	0.071
38	0.14	0.14	0.14	6.2e-05	0	0.014	0	0.026	0.26	0.14	0	0.13	8	0.12
39	0.14	0.14	0.14	0.0038	0	0.042	0	0.29	0.1	0.14	0	0.012	7	0.071
40	0.12	0.12	0.12	2.7e-06	0	0.0067	0	0.0049	0.32	0.12	0	0.2	8	0.12
41	0.0018	0.0018	0.0018	0	0.043	2.9e-05	0.045	9.3e-06	0.025	0.0018	0.045	0.84	11	0.16
42	0.019	0.019	0.019	8.7e-05	0.035	0.0015	0.036	0.0053	0.08	0.019	0.036	0.73	11	0.16
