SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.00015	0.28	0.17	0.00015	0.00015	0.54	0	0.004	0	0.00015	5	0.16
1	0.022	0.02	0.012	0.022	0.022	0.79	0.0026	0.089	1.5e-05	0.022	5	0.16
2	0.0013	0.0062	0.0037	0.0013	0.0013	0.96	0	0.025	0	0.0013	5	0.16
3	0.0019	0	0	0.0019	0.0019	0	0.96	2.4e-05	0.028	0.0018	6	0.071
4	0.13	1.7e-05	1e-05	0.13	0.13	0.21	0.049	0.21	0.0003	0.13	7	0.12
5	0.052	0.013	0.0079	0.052	0.052	0.61	0.033	0.12	0.00084	0.051	5	0.16
6	0.036	0	0	0.036	0.036	0.54	3.5e-06	0.32	0	0.035	5	0.16
7	0.059	0.0077	0.0046	0.059	0.059	0.58	0.037	0.14	0.00086	0.058	5	0.16
8	0.0008	0.056	0.033	0.0008	0.0008	0.89	0	0.015	0	0.00078	5	0.16
9	0.14	1.1e-05	6.4e-06	0.14	0.14	0.18	0.058	0.21	0.00038	0.13	7	0.12
10	0.0001	0.0054	0.0032	0.0001	0.0001	0.98	0	0.0066	0	9.8e-05	5	0.16
11	0.068	0.00066	0.00039	0.068	0.068	0.54	0.012	0.18	6e-05	0.066	5	0.16
12	0.093	8.9e-06	5.3e-06	0.093	0.093	0.045	0.48	0.077	0.034	0.09	6	0.071
13	0.00031	0.1	0.059	0.00031	0.00031	0.83	0	0.0082	0	0.0003	5	0.16
14	0.04	0.021	0.012	0.04	0.04	0.68	0.017	0.11	0.00033	0.039	5	0.16
15	0.11	0	0	0.11	0.11	0.22	0.00068	0.34	0	0.11	7	0.12
16	0.12	3.7e-05	2.2e-05	0.12	0.12	0.13	0.22	0.15	0.0063	0.12	6	0.071
17	0.018	2.6e-06	1.5e-06	0.018	0.018	0.75	3.6e-06	0.18	0	0.017	5	0.16
18	0.0089	0	0	0.0089	0.0089	3.6e-05	0.78	0.0016	0.19	0.0086	6	0.071
19	0.1	0.00029	0.00017	0.1	0.1	0.18	0.27	0.13	0.015	0.1	6	0.071
20	0.026	0.0057	0.0034	0.026	0.026	0.78	0.0016	0.11	4.5e-06	0.025	5	0.16
21	0.11	0.00025	0.00015	0.11	0.11	0.23	0.17	0.16	0.0055	0.11	5	0.16
22	0.11	0.00029	0.00017	0.11	0.11	0.22	0.19	0.15	0.0073	0.11	5	0.16
23	0.051	0	0	0.051	0.051	0.00023	0.76	0.012	0.026	0.05	6	0.071
24	0.1	0.0003	0.00018	0.1	0.1	0.35	0.053	0.19	0.00066	0.099	5	0.16
25	0.011	0	0	0.011	0.011	9.8e-06	0.86	0.0014	0.096	0.011	6	0.071
26	0.098	0.00062	0.00037	0.098	0.098	0.22	0.25	0.13	0.015	0.095	6	0.071
27	0.0093	0.0043	0.0025	0.0093	0.0093	0.89	6.8e-05	0.069	0	0.009	5	0.16
28	0.0067	0.00016	9.7e-05	0.0067	0.0067	0.89	3.1e-06	0.081	0	0.0066	5	0.16
29	0.079	0.0024	0.0014	0.079	0.079	0.46	0.06	0.16	0.0014	0.077	5	0.16
30	0.071	0	0	0.071	0.071	0.0019	0.66	0.028	0.028	0.069	6	0.071
31	0.0081	0	0	0.0081	0.0081	2.3e-05	0.79	0.0013	0.18	0.0079	6	0.071
32	0.15	1.6e-06	0	0.15	0.15	0.069	0.19	0.15	0.0028	0.14	6	0.071
33	0.11	6.8e-05	4.1e-05	0.11	0.11	0.12	0.29	0.13	0.013	0.11	6	0.071
34	0.12	5.3e-05	3.1e-05	0.12	0.12	0.23	0.074	0.2	0.00082	0.12	5	0.16
35	0.15	2.8e-06	1.7e-06	0.15	0.15	0.1	0.11	0.18	0.0011	0.15	7	0.12
36	0.13	5e-05	3e-05	0.13	0.13	0.23	0.076	0.2	0.00085	0.12	5	0.16
37	0.046	0	0	0.046	0.046	0.0033	0.71	0.021	0.08	0.045	6	0.071
38	0.15	0	0	0.15	0.15	0.13	0.027	0.24	5.8e-05	0.15	7	0.12
39	0.15	0	0	0.15	0.15	0.012	0.3	0.093	0.0035	0.15	6	0.071
40	0.13	0	0	0.13	0.13	0.2	0.005	0.28	2.5e-06	0.12	7	0.12
41	0.002	0.083	0.049	0.002	0.002	0.84	9.6e-06	0.022	0	0.0019	5	0.16
42	0.02	0.067	0.04	0.02	0.02	0.73	0.0054	0.072	8.2e-05	0.02	5	0.16
43	0.038	0.011	0.0063	0.038	0.038	0.71	0.0089	0.12	8.8e-05	0.037	5	0.16
44	0.12	0	0	0.12	0.12	0.00027	0.47	0.03	0.0027	0.12	6	0.071
45	0.05	0.018	0.011	0.05	0.05	0.62	0.035	0.12	0.001	0.048	5	0.16
