SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0.00077	0	0.58	0.42	2	0.16
1	0.11	0.003	0.85	0.03	2	0.16
2	0.0063	0	0.98	0.0087	2	0.16
3	0.0085	0.99	0	0	1	0.071
4	0.7	0.059	0.24	2.6e-05	0	0.11
5	0.27	0.039	0.67	0.02	2	0.16
6	0.24	5.2e-06	0.76	0	2	0.16
7	0.31	0.044	0.64	0.012	2	0.16
8	0.0039	0	0.92	0.079	2	0.16
9	0.73	0.069	0.21	1.7e-05	0	0.11
10	0.00047	0	0.99	0.0075	2	0.16
11	0.37	0.014	0.62	0.0011	2	0.16
12	0.44	0.51	0.045	1.2e-05	1	0.071
13	0.0015	0	0.86	0.14	2	0.16
14	0.2	0.02	0.75	0.032	2	0.16
15	0.7	0.00098	0.3	0	0	0.11
16	0.62	0.24	0.14	5.4e-05	0	0.11
17	0.1	4.6e-06	0.9	4.3e-06	2	0.16
18	0.048	0.95	4.1e-05	0	1	0.071
19	0.51	0.3	0.19	0.00042	0	0.11
20	0.13	0.0019	0.86	0.0086	2	0.16
21	0.56	0.19	0.24	0.00037	0	0.11
22	0.55	0.22	0.24	0.00043	0	0.11
23	0.23	0.77	0.00022	0	1	0.071
24	0.54	0.064	0.4	0.00047	0	0.11
25	0.055	0.95	1e-05	0	1	0.071
26	0.49	0.28	0.23	0.00092	0	0.11
27	0.046	7.7e-05	0.95	0.0063	2	0.16
28	0.034	3.6e-06	0.97	0.00024	2	0.16
29	0.41	0.071	0.51	0.0036	2	0.16
30	0.32	0.68	0.0019	0	1	0.071
31	0.044	0.96	2.6e-05	0	1	0.071
32	0.72	0.21	0.072	2.3e-06	0	0.11
33	0.55	0.32	0.13	9.9e-05	0	0.11
34	0.65	0.087	0.26	8.2e-05	0	0.11
35	0.76	0.13	0.11	4.2e-06	0	0.11
36	0.65	0.089	0.26	7.7e-05	0	0.11
37	0.22	0.78	0.0034	0	1	0.071
38	0.81	0.033	0.15	1.3e-06	0	0.11
39	0.68	0.31	0.012	0	0	0.11
40	0.74	0.0066	0.25	0	0	0.11
41	0.0096	1.1e-05	0.87	0.12	2	0.16
42	0.1	0.0062	0.79	0.1	2	0.16
43	0.2	0.01	0.78	0.016	2	0.16
44	0.54	0.46	0.00025	0	0	0.11
45	0.26	0.041	0.68	0.027	2	0.16
46	0.37	0.065	0.56	0.0065	2	0.16
47	9.2e-06	0	0.21	0.79	3	0.24
48	0.002	0	0.96	0.036	2	0.16
49	0.31	0.11	0.55	0.029	2	0.16
50	0.62	0.3	0.082	1.2e-05	0	0.11
51	0.15	0.0059	0.82	0.021	2	0.16
52	0.0018	0	0.99	0.0088	2	0.16
53	0.86	0.022	0.11	0	0	0.11
54	0.008	1.2e-06	0.98	0.014	2	0.16
55	0.76	0.21	0.022	0	0	0.11
56	0.0075	0	0.98	0.012	2	0.16
57	0.61	0.059	0.33	0.00013	0	0.11
58	0.28	0.05	0.65	0.021	2	0.16
59	0.63	0.31	0.067	5.5e-06	0	0.11
60	0.29	0.07	0.62	0.027	2	0.16
61	0.17	0.83	0.00082	0	1	0.071
62	0.00031	0	0.99	0.0061	2	0.16
63	0.066	0.00012	0.93	0.0029	2	0.16
64	0.74	0.24	0.026	0	0	0.11
65	0.00086	0	0.86	0.14	2	0.16
66	0.3	0.002	0.7	0.00019	2	0.16
67	0.98	0.0054	0.014	0	0	0.11
68	0.0025	0	0.98	0.015	2	0.16
69	0.00015	0	0.6	0.4	2	0.16
70	0.79	4.4e-05	0.21	0	0	0.11
71	0.0021	0	0.84	0.15	2	0.16
72	0.0058	1.1e-06	0.96	0.039	2	0.16
73	0.1	0.9	0.00011	0	1	0.071
74	0.39	0.58	0.022	2.1e-06	1	0.071
75	0.12	0.88	0.002	0	1	0.071
76	0.015	0.99	0	0	1	0.071
77	0.17	0.83	0.00068	0	1	0.071
78	0.49	0.5	0.011	0	1	0.071
79	0.21	0.01	0.77	0.012	2	0.16
80	0.037	9.7e-06	0.96	0.00074	2	0.16
81	0.69	0.31	0.0026	0	0	0.11
82	0.067	0.86	2.8e-05	0.078	1	0.071
83	0.002	0	0.97	0.029	2	0.16
84	0.52	0.41	0.01	0.054	0	0.11
85	0.3	0.62	0.012	0.065	1	0.071
86	0.31	0.028	0.65	0.0061	2	0.16
87	0.71	0.004	0.29	0.0012	0	0.11
88	0.83	0.087	0.086	0	0	0.11
89	0.91	0.011	0.084	0	0	0.11
90	0.63	0.29	0.073	6.9e-06	0	0.11
91	0.042	0.96	6.3e-06	0	1	0.071
92	0.16	0.0048	0.82	0.013	2	0.16
93	0.0014	0	0.46	0.53	3	0.24
94	0.25	0.00045	0.75	5.8e-05	2	0.16
95	0.095	0.00045	0.9	0.0045	2	0.16
96	0.54	0.023	0.43	0.00013	0	0.11
97	0.87	0.085	0.043	0	0	0.11
98	0.024	9.7e-05	0.92	0.051	2	0.16
99	0.22	0.0099	0.76	0.006	2	0.16
100	0.16	0.014	0.78	0.048	2	0.16
101	0.66	0.29	0.051	1.8e-06	0	0.11
102	0.91	0.053	0.033	0	0	0.11
103	0.49	0.0067	0.5	5e-05	2	0.16
104	0.0043	0	0.95	0.048	2	0.16
105	0.2	0.0033	0.8	0.0032	2	0.16
106	0.01	1.1e-06	0.98	0.0052	2	0.16
107	0.31	0.0021	0.69	0.00018	2	0.16
108	0.78	0.22	0.0019	0	0	0.11
109	0.08	0.00022	0.92	0.0032	2	0.16
110	0.77	0.068	0.16	5.5e-06	0	0.11
111	0.71	0.28	0.01	0	0	0.11
112	0.21	0.79	0.00049	0	1	0.071
113	0.27	0.73	0.00053	0	1	0.071
114	0.042	0.00018	0.93	0.03	2	0.16
115	0.74	0.19	0.07	1.7e-06	0	0.11
116	0.13	0.87	6.6e-05	0	1	0.071
117	0.55	0.44	0.014	0	0	0.11
118	0.36	0.04	0.59	0.0041	2	0.16
119	0.43	0.55	0.02	0	1	0.071
120	0.12	0.88	0.00024	0	1	0.071
121	0.55	0.0032	0.45	7.5e-06	0	0.11
122	0.05	6.8e-06	0.95	0.00013	2	0.16
123	0.44	0.061	0.5	0.002	2	0.16
124	0.99	0.002	0.006	0	0	0.11
125	0.3	0.68	0.017	3.1e-06	1	0.071
126	0.13	0.87	3.6e-06	0	1	0.071
127	0.048	3.6e-06	0.95	6.3e-05	2	0.16
128	0.0026	1	0	0	1	0.071
129	0.62	0.22	0.17	8.2e-05	0	0.11
130	0.8	0.18	0.02	0	0	0.11
131	0.09	0.91	9.1e-05	0	1	0.071
132	0.081	0.92	5.5e-05	0	1	0.071
133	0.0012	1	0	0	1	0.071
134	0.41	0.045	0.54	0.0022	2	0.16
135	0.0024	0	0.97	0.023	2	0.16
136	0.0021	0	0.93	0.068	2	0.16
137	0.029	0.97	2.1e-05	0	1	0.071
138	0.65	0.0067	0.34	4.6e-06	0	0.11
139	0.47	0.33	0.2	0.00081	0	0.11
140	0.7	0.023	0.27	1e-05	0	0.11
