SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.00014	0	0	0.00014	0.00014	0.23	0	0.00014	0.22	0.23	0.0043	0	0	0.32	13	0.16
1	0.021	0.0013	8.3e-06	0.021	0.021	0.016	0.0025	0.021	0.32	0.016	0.095	8.3e-06	0	0.46	13	0.16
2	0.0012	7.1e-06	0	0.0012	0.0012	0.0049	0	0.0012	0.39	0.0049	0.027	0	0	0.57	13	0.16
3	0.0018	0.014	0.016	0.0018	0.0018	0	0.95	0.0018	0	0	2.6e-05	0.016	0	0	6	0.071
4	0.12	0.016	0.00016	0.12	0.12	1.3e-05	0.047	0.12	0.087	1.3e-05	0.23	0.00016	0	0.13	10	0.12
5	0.049	0.0062	0.00045	0.049	0.049	0.011	0.032	0.049	0.25	0.011	0.13	0.00045	0	0.36	13	0.16
6	0.033	0.00019	0	0.033	0.033	0	3.3e-06	0.033	0.22	0	0.34	0	0	0.31	10	0.12
7	0.056	0.0072	0.00047	0.056	0.056	0.0061	0.036	0.056	0.24	0.0061	0.15	0.00047	0	0.34	13	0.16
8	0.00075	5.7e-06	0	0.00075	0.00075	0.045	0	0.00075	0.36	0.045	0.016	0	0	0.53	13	0.16
9	0.13	0.018	0.00021	0.13	0.13	8.6e-06	0.056	0.13	0.075	8.6e-06	0.22	0.00021	0	0.11	10	0.12
10	9.4e-05	0	0	9.4e-05	9.4e-05	0.0043	0	9.4e-05	0.4	0.0043	0.0071	0	0	0.58	13	0.16
11	0.063	0.0054	3.3e-05	0.063	0.063	0.00053	0.011	0.063	0.22	0.00053	0.19	3.3e-05	0	0.32	13	0.16
12	0.087	0.032	0.018	0.087	0.087	7.1e-06	0.46	0.087	0.018	7.1e-06	0.083	0.018	0	0.026	6	0.071
13	0.00029	1.4e-06	0	0.00029	0.00029	0.08	0	0.00029	0.34	0.08	0.0088	0	0	0.49	13	0.16
14	0.037	0.004	0.00018	0.037	0.037	0.017	0.017	0.037	0.28	0.017	0.12	0.00018	0	0.4	13	0.16
15	0.1	0.0031	0	0.1	0.1	0	0.00065	0.1	0.09	0	0.36	0	0	0.13	10	0.12
16	0.12	0.027	0.0034	0.12	0.12	2.9e-05	0.21	0.12	0.054	2.9e-05	0.16	0.0034	0	0.078	6	0.071
17	0.016	0.00011	0	0.016	0.016	2.1e-06	3.4e-06	0.016	0.3	2.1e-06	0.19	0	0	0.44	13	0.16
18	0.0083	0.013	0.1	0.0083	0.0083	0	0.75	0.0083	1.5e-05	0	0.0017	0.1	0	2.1e-05	6	0.071
19	0.097	0.024	0.0079	0.097	0.097	0.00023	0.26	0.097	0.073	0.00023	0.14	0.0079	0	0.11	6	0.071
20	0.024	0.0012	2.5e-06	0.024	0.024	0.0045	0.0015	0.024	0.32	0.0045	0.11	2.5e-06	0	0.46	13	0.16
