SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0.0017	0.00038	0	0.17	0	0.17	0.53	0.12	0.0019	0	0	0.00018	0	0	2.8e-06	0	0.0017	0.0017	6	0.16
1	0.036	0.055	5.6e-06	0.012	5.6e-06	0.012	0.75	0.0083	0.042	0	5.6e-06	0.00087	0	0.0024	0.0044	0	0.036	0.036	6	0.16
2	0.01	0.0033	0	0.0039	0	0.0039	0.94	0.0026	0.012	0	0	0.00066	0	0	2.4e-05	0	0.01	0.01	6	0.16
3	1e-05	0.0047	0.011	0	0.011	0	0	0	1.2e-05	0	0.011	0	0	0.92	0.048	0	1e-05	1e-05	13	0.071
4	0.089	0.33	0.00011	1e-05	0.00011	1e-05	0.21	7.1e-06	0.1	0	0.00011	0.00075	0	0.046	0.053	0	0.089	0.089	1	0.11
5	0.051	0.13	0.00031	0.0081	0.00031	0.0081	0.59	0.0056	0.059	0	0.00031	0.00085	0	0.031	0.021	0	0.051	0.051	6	0.16
6	0.11	0.076	0	0	0	0	0.45	0	0.13	0	0	0.0019	0	2.8e-06	0.00055	0	0.11	0.11	6	0.16
7	0.056	0.15	0.00031	0.0047	0.00031	0.0047	0.55	0.0032	0.064	0	0.00031	0.00087	0	0.035	0.024	0	0.056	0.056	6	0.16
8	0.0063	0.002	0	0.035	0	0.035	0.88	0.024	0.0072	0	0	0.00046	0	0	1.9e-05	0	0.0063	0.0063	6	0.16
9	0.087	0.34	0.00014	6.7e-06	0.00014	6.7e-06	0.18	4.6e-06	0.1	0	0.00014	0.00069	0	0.055	0.06	0	0.087	0.087	1	0.11
10	0.0028	0.00026	0	0.0034	0	0.0034	0.98	0.0023	0.0032	0	0	0.00041	0	0	0	0	0.0028	0.0028	6	0.16
11	0.072	0.16	2.2e-05	0.0004	2.2e-05	0.0004	0.51	0.00027	0.083	0	2.2e-05	0.001	0	0.011	0.018	0	0.072	0.072	6	0.16
12	0.032	0.23	0.013	5.5e-06	0.013	5.5e-06	0.043	3.8e-06	0.037	0	0.013	0.00019	0	0.45	0.11	0	0.032	0.032	13	0.071
13	0.0035	0.00078	0	0.063	0	0.063	0.82	0.043	0.004	0	0	0.00034	0	0	4.9e-06	0	0.0035	0.0035	6	0.16
14	0.045	0.097	0.00012	0.013	0.00012	0.013	0.65	0.0087	0.052	0	0.00012	0.00085	0	0.016	0.013	0	0.045	0.045	6	0.16
15	0.13	0.25	0	0	0	0	0.2	0	0.15	0	0	0.0011	0	0.00059	0.0096	0	0.13	0.13	1	0.11
16	0.061	0.31	0.0024	2.3e-05	0.0024	2.3e-05	0.13	1.6e-05	0.07	0	0.0024	0.00046	0	0.21	0.091	0	0.061	0.061	1	0.11
17	0.07	0.04	0	1.5e-06	0	1.5e-06	0.67	1e-06	0.08	0	0	0.0016	0	3.1e-06	0.00034	0	0.07	0.07	6	0.16
18	0.00066	0.022	0.069	0	0.069	0	3.4e-05	0	0.00075	0	0.069	0	0	0.72	0.044	0	0.00066	0.00066	13	0.071
19	0.054	0.26	0.0054	0.00018	0.0054	0.00018	0.17	0.00012	0.061	0	0.0054	0.00047	0	0.25	0.082	0	0.054	0.054	1	0.11
20	0.044	0.062	1.6e-06	0.0034	1.6e-06	0.0034	0.74	0.0023	0.05	0	1.6e-06	0.00098	0	0.0015	0.0041	0	0.044	0.044	6	0.16
21	0.065	0.28	0.002	0.00015	0.002	0.00015	0.22	0.0001	0.074	0	0.002	0.0006	0	0.16	0.072	0	0.065	0.065	1	0.11
22	0.062	0.27	0.0027	0.00018	0.0027	0.00018	0.21	0.00012	0.071	0	0.0027	0.00057	0	0.18	0.074	0	0.062	0.062	1	0.11
23	0.0049	0.12	0.0096	0	0.0096	0	0.00022	0	0.0057	0	0.0096	5.9e-06	0	0.69	0.13	0	0.0049	0.0049	13	0.071
24	0.077	0.25	0.00024	0.00018	0.00024	0.00018	0.34	0.00012	0.088	0	0.00024	0.00085	0	0.049	0.043	0	0.077	0.077	6	0.16
25	0.00059	0.028	0.035	0	0.035	0	9.4e-06	0	0.00068	0	0.035	0	0	0.8	0.062	0	0.00059	0.00059	13	0.071
26	0.054	0.24	0.0054	0.00038	0.0054	0.00038	0.21	0.00026	0.062	0	0.0054	0.00052	0	0.23	0.075	0	0.054	0.054	1	0.11
27	0.029	0.023	0	0.0026	0	0.0026	0.85	0.0018	0.033	0	0	0.00092	0	6.3e-05	0.00063	0	0.029	0.029	6	0.16
28	0.033	0.016	0	9.8e-05	0	9.8e-05	0.85	6.7e-05	0.038	0	0	0.0012	0	2.9e-06	0.00017	0	0.033	0.033	6	0.16
29	0.064	0.19	0.00051	0.0014	0.00051	0.0014	0.44	0.00098	0.074	0	0.00051	0.00085	0	0.056	0.036	0	0.064	0.064	6	0.16
30	0.011	0.17	0.01	0	0.01	0	0.0019	0	0.013	0	0.01	2.5e-05	0	0.61	0.13	0	0.011	0.011	13	0.071
31	0.00054	0.02	0.067	0	0.067	0	2.2e-05	0	0.00062	0	0.067	0	0	0.73	0.043	0	0.00054	0.00054	13	0.071
32	0.064	0.38	0.0011	1e-06	0.0011	1e-06	0.068	0	0.073	0	0.0011	0.00036	0	0.18	0.11	0	0.064	0.064	1	0.11
33	0.052	0.28	0.005	4.2e-05	0.005	4.2e-05	0.12	2.9e-05	0.06	0	0.005	0.0004	0	0.27	0.094	0	0.052	0.052	1	0.11
34	0.081	0.31	0.0003	3.3e-05	0.0003	3.3e-05	0.23	2.2e-05	0.093	0	0.0003	0.00072	0	0.069	0.059	0	0.081	0.081	1	0.11
35	0.077	0.38	0.00041	1.8e-06	0.00041	1.8e-06	0.1	1.2e-06	0.088	0	0.00041	0.00049	0	0.11	0.087	0	0.077	0.077	1	0.11
36	0.081	0.31	0.00031	3.1e-05	0.00031	3.1e-05	0.22	2.1e-05	0.093	0	0.00031	0.00072	0	0.071	0.06	0	0.081	0.081	1	0.11
37	0.0086	0.11	0.029	0	0.029	0	0.0032	0	0.0099	0	0.029	2.6e-05	0	0.67	0.094	0	0.0086	0.0086	13	0.071
38	0.099	0.38	2.2e-05	0	2.2e-05	0	0.13	0	0.11	0	2.2e-05	0.00067	0	0.026	0.051	0	0.099	0.099	1	0.11
39	0.04	0.38	0.0013	0	0.0013	0	0.012	0	0.046	0	0.0013	0.00012	0	0.29	0.15	0	0.04	0.04	1	0.11
40	0.11	0.31	0	0	0	0	0.19	0	0.13	0	0	0.00093	0	0.0046	0.023	0	0.11	0.11	1	0.11
41	0.0093	0.0049	0	0.051	0	0.051	0.82	0.035	0.011	0	0	0.0005	0	9e-06	0.0001	0	0.0093	0.0093	6	0.16
42	0.03	0.05	3e-05	0.041	3e-05	0.041	0.71	0.028	0.034	0	3e-05	0.00072	0	0.0051	0.0054	0	0.03	0.03	6	0.16
43	0.048	0.093	3.2e-05	0.0064	3.2e-05	0.0064	0.67	0.0044	0.055	0	3.2e-05	0.00092	0	0.0082	0.01	0	0.048	0.048	6	0.16
44	0.012	0.3	0.00097	0	0.00097	0	0.00026	0	0.014	0	0.00097	1.1e-05	0	0.43	0.21	0	0.012	0.012	13	0.071
45	0.049	0.12	0.00038	0.011	0.00038	0.011	0.59	0.0075	0.056	0	0.00038	0.00083	0	0.033	0.021	0	0.049	0.049	6	0.16
46	0.06	0.17	0.00051	0.0026	0.00051	0.0026	0.48	0.0018	0.069	0	0.00051	0.00085	0	0.051	0.032	0	0.06	0.06	6	0.16
47	7.9e-05	4.2e-06	0	0.31	0	0.31	0.18	0.21	9.1e-05	0	0	2.6e-05	0	0	0	0	7.9e-05	7.9e-05	3	0.24
48	0.005	0.0011	0	0.016	0	0.016	0.93	0.011	0.0057	0	0	0.00046	0	0	5.2e-06	0	0.005	0.005	6	0.16
49	0.048	0.15	0.0022	0.012	0.0022	0.012	0.49	0.0079	0.055	0	0.0022	0.00073	0	0.091	0.035	0	0.048	0.048	6	0.16
