SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0.00012	0.00012	0	0	0.55	0	0	0.00012	0.17	0	0.17	0.00012	0.00012	0.0038	0.00059	0	0.11	4	0.16
1	0.018	0.018	1.7e-05	0	0.79	0.0025	0	0.018	0.012	0	0.012	0.017	0.018	0.083	0.0029	0.0011	0.0077	4	0.16
2	0.001	0.001	0	0	0.96	0	0	0.001	0.0037	0	0.0037	0.001	0.001	0.023	0.0021	6e-06	0.0024	4	0.16
3	0.0015	0.0015	0.031	0	0	0.95	0	0.0015	0	0	0	0.0015	0.0015	2.3e-05	0	0.012	0	5	0.071
4	0.1	0.1	0.00033	0	0.22	0.047	0	0.1	1e-05	0	1e-05	0.1	0.1	0.2	0.0025	0.013	6.5e-06	4	0.16
5	0.041	0.041	0.00091	0	0.62	0.032	0	0.041	0.0081	0	0.0081	0.04	0.041	0.12	0.0028	0.0053	0.0052	4	0.16
6	0.029	0.029	0	0	0.55	3.4e-06	0	0.029	0	0	0	0.028	0.029	0.3	0.0072	0.00016	0	4	0.16
7	0.047	0.047	0.00094	0	0.58	0.036	0	0.047	0.0046	0	0.0046	0.046	0.047	0.13	0.0029	0.0061	0.003	4	0.16
8	0.00063	0.00063	0	0	0.89	0	0	0.00063	0.033	0	0.033	0.00061	0.00063	0.014	0.0015	4.8e-06	0.021	4	0.16
9	0.11	0.11	0.00042	0	0.18	0.056	0	0.11	6.5e-06	0	6.5e-06	0.11	0.11	0.2	0.0023	0.015	4.2e-06	13	0.12
10	7.9e-05	7.9e-05	0	0	0.98	0	0	7.9e-05	0.0032	0	0.0032	7.7e-05	7.9e-05	0.0062	0.0013	0	0.0021	4	0.16
11	0.054	0.054	6.6e-05	0	0.54	0.011	0	0.054	0.0004	0	0.0004	0.052	0.054	0.17	0.0035	0.0045	0.00026	4	0.16
12	0.073	0.073	0.037	0	0.045	0.45	0	0.073	5.3e-06	0	5.3e-06	0.071	0.073	0.072	0.0006	0.027	3.4e-06	5	0.071
13	0.00025	0.00025	0	0	0.83	0	0	0.00025	0.06	0	0.06	0.00024	0.00025	0.0077	0.0011	1.2e-06	0.038	4	0.16
14	0.031	0.031	0.00036	0	0.68	0.016	0	0.031	0.013	0	0.013	0.03	0.031	0.1	0.0028	0.0034	0.0081	4	0.16
15	0.089	0.089	0	0	0.23	0.00066	0	0.089	0	0	0	0.086	0.089	0.32	0.0041	0.0027	0	13	0.12
16	0.099	0.099	0.0069	0	0.13	0.21	0	0.099	2.2e-05	0	2.2e-05	0.096	0.099	0.14	0.0015	0.023	1.4e-05	5	0.071
17	0.014	0.014	0	0	0.75	3.5e-06	0	0.014	1.6e-06	0	1.6e-06	0.014	0.014	0.17	0.0058	9.4e-05	1e-06	4	0.16
18	0.0071	0.0071	0.2	0	3.6e-05	0.75	0	0.0071	0	0	0	0.0068	0.0071	0.0015	2.5e-06	0.011	0	5	0.071
19	0.082	0.082	0.016	0	0.18	0.25	0	0.082	0.00017	0	0.00017	0.079	0.082	0.12	0.0015	0.021	0.00011	5	0.071
20	0.02	0.02	4.9e-06	0	0.78	0.0015	0	0.02	0.0034	0	0.0034	0.02	0.02	0.1	0.0033	0.001	0.0022	4	0.16
21	0.088	0.088	0.006	0	0.23	0.16	0	0.088	0.00015	0	0.00015	0.085	0.088	0.15	0.002	0.018	9.5e-05	4	0.16
22	0.086	0.086	0.0079	0	0.22	0.18	0	0.086	0.00018	0	0.00018	0.083	0.086	0.14	0.0019	0.019	0.00011	4	0.16
23	0.041	0.041	0.029	0	0.00023	0.72	0	0.041	0	0	0	0.039	0.041	0.011	2e-05	0.034	0	5	0.071
24	0.081	0.081	0.00072	0	0.36	0.051	0	0.081	0.00018	0	0.00018	0.078	0.081	0.18	0.0028	0.011	0.00012	4	0.16
25	0.009	0.009	0.11	0	9.9e-06	0.83	0	0.009	0	0	0	0.0087	0.009	0.0014	1.4e-06	0.016	0	5	0.071
26	0.078	0.078	0.016	0	0.22	0.24	0	0.078	0.00038	0	0.00038	0.075	0.078	0.12	0.0017	0.019	0.00024	5	0.071
27	0.0073	0.0073	0	0	0.89	6.5e-05	0	0.0073	0.0026	0	0.0026	0.0071	0.0073	0.065	0.003	0.00016	0.0016	4	0.16
28	0.0053	0.0053	0	0	0.89	3e-06	0	0.0053	9.8e-05	0	9.8e-05	0.0052	0.0053	0.075	0.0038	4.2e-05	6.3e-05	4	0.16
29	0.063	0.063	0.0015	0	0.47	0.058	0	0.063	0.0014	0	0.0014	0.061	0.063	0.15	0.0028	0.0092	0.00092	4	0.16
30	0.056	0.056	0.031	0	0.0019	0.63	0	0.056	0	0	0	0.054	0.056	0.026	8.1e-05	0.033	0	5	0.071
31	0.0065	0.0065	0.2	0	2.3e-05	0.76	0	0.0065	0	0	0	0.0063	0.0065	0.0012	1.8e-06	0.011	0	5	0.071
32	0.12	0.12	0.003	0	0.069	0.18	0	0.12	0	0	0	0.11	0.12	0.14	0.0011	0.026	0	5	0.071
33	0.089	0.089	0.015	0	0.12	0.28	0	0.089	4.1e-05	0	4.1e-05	0.086	0.089	0.12	0.0013	0.023	2.6e-05	5	0.071
34	0.099	0.099	0.00089	0	0.24	0.071	0	0.099	3.2e-05	0	3.2e-05	0.096	0.099	0.18	0.0024	0.015	2e-05	4	0.16
35	0.12	0.12	0.0012	0	0.1	0.11	0	0.12	1.7e-06	0	1.7e-06	0.12	0.12	0.17	0.0016	0.021	1.1e-06	13	0.12
36	0.1	0.1	0.00092	0	0.23	0.073	0	0.1	3e-05	0	3e-05	0.096	0.1	0.18	0.0024	0.015	1.9e-05	4	0.16
37	0.037	0.037	0.087	0	0.0033	0.68	0	0.037	0	0	0	0.035	0.037	0.02	8.7e-05	0.024	0	5	0.071
38	0.12	0.12	6.3e-05	0	0.13	0.026	0	0.12	0	0	0	0.12	0.12	0.22	0.0022	0.013	0	13	0.12
39	0.12	0.12	0.0038	0	0.012	0.28	0	0.12	0	0	0	0.11	0.12	0.086	0.00038	0.036	0	5	0.071
40	0.1	0.1	2.8e-06	0	0.21	0.0049	0	0.1	0	0	0	0.099	0.1	0.27	0.0032	0.006	0	13	0.12
41	0.0016	0.0016	0	0	0.84	9.1e-06	0	0.0016	0.05	0	0.05	0.0015	0.0016	0.021	0.0016	2.5e-05	0.032	4	0.16
42	0.016	0.016	8.9e-05	0	0.74	0.0052	0	0.016	0.04	0	0.04	0.016	0.016	0.067	0.0024	0.0014	0.026	4	0.16
43	0.03	0.03	9.6e-05	0	0.71	0.0085	0	0.03	0.0064	0	0.0064	0.029	0.03	0.11	0.0031	0.0026	0.0041	4	0.16
44	0.096	0.096	0.0028	0	0.00027	0.44	0	0.096	0	0	0	0.093	0.096	0.028	3.6e-05	0.053	0	5	0.071
45	0.039	0.039	0.0011	0	0.62	0.034	0	0.039	0.011	0	0.011	0.038	0.039	0.11	0.0028	0.0052	0.0069	4	0.16
46	0.057	0.057	0.0015	0	0.51	0.053	0	0.057	0.0026	0	0.0026	0.055	0.057	0.14	0.0028	0.0081	0.0016	4	0.16
47	1.4e-06	1.4e-06	0	0	0.19	0	0	1.4e-06	0.31	0	0.31	1.3e-06	1.4e-06	0.00018	8.6e-05	0	0.2	8	0.24
48	0.00033	0.00033	0	0	0.95	0	0	0.00033	0.015	0	0.015	0.00032	0.00033	0.011	0.0015	1.3e-06	0.0098	4	0.16
49	0.048	0.048	0.0066	0	0.51	0.094	0	0.048	0.011	0	0.011	0.046	0.048	0.11	0.0024	0.0088	0.0073	4	0.16
50	0.1	0.1	0.0088	0	0.08	0.26	0	0.1	4.9e-06	0	4.9e-06	0.098	0.1	0.12	0.0011	0.026	3.1e-06	5	0.071
51	0.024	0.024	4.3e-05	0	0.75	0.0048	0	0.024	0.0084	0	0.0084	0.023	0.024	0.098	0.003	0.0018	0.0054	4	0.16
52	0.00029	0.00029	0	0	0.97	0	0	0.00029	0.0038	0	0.0038	0.00028	0.00029	0.012	0.0016	0	0.0024	4	0.16
53	0.13	0.13	2.1e-05	0	0.1	0.017	0	0.13	0	0	0	0.12	0.13	0.23	0.002	0.012	0	13	0.12
54	0.0013	0.0013	0	0	0.95	1e-06	0	0.0013	0.0058	0	0.0058	0.0013	0.0013	0.025	0.0021	1e-05	0.0037	4	0.16
55	0.13	0.13	0.0019	0	0.022	0.19	0	0.13	0	0	0	0.12	0.13	0.11	0.00061	0.032	0	5	0.071
56	0.0012	0.0012	0	0	0.95	0	0	0.0012	0.0052	0	0.0052	0.0012	0.0012	0.025	0.0021	8.8e-06	0.0033	4	0.16
57	0.092	0.092	0.00046	0	0.29	0.047	0	0.092	4.9e-05	0	4.9e-05	0.089	0.092	0.19	0.0027	0.012	3.2e-05	4	0.16
58	0.043	0.043	0.0014	0	0.59	0.041	0	0.043	0.0084	0	0.0084	0.042	0.043	0.12	0.0028	0.006	0.0054	4	0.16
59	0.1	0.1	0.0083	0	0.065	0.27	0	0.1	2.3e-06	0	2.3e-06	0.1	0.1	0.12	0.00097	0.028	1.5e-06	5	0.071
60	0.044	0.044	0.0028	0	0.57	0.058	0	0.044	0.011	0	0.011	0.043	0.044	0.11	0.0026	0.0069	0.007	4	0.16
61	0.029	0.029	0.085	0	0.00081	0.74	0	0.029	0	0	0	0.028	0.029	0.011	3.3e-05	0.023	0	5	0.071
62	5.2e-05	5.2e-05	0	0	0.99	0	0	5.2e-05	0.0026	0	0.0026	5e-05	5.2e-05	0.0051	0.0012	0	0.0017	4	0.16
63	0.01	0.01	0	0	0.86	9.9e-05	0	0.01	0.0012	0	0.0012	0.0099	0.01	0.082	0.0034	0.00024	0.00076	4	0.16
