SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0.00016	0	0.24	0	0	0.17	0	0.17	0.17	0.00016	0.0011	0.00016	0.00016	0.26	0.00016	0	0	0	0	13	0.24
1	0.024	5.3e-06	0.36	0	1.5e-06	0.24	0.0024	0.012	0.24	0.023	0.0056	0.024	0.024	0.018	0.024	0	5.3e-06	5.3e-06	0	2	0.16
2	0.0013	0	0.42	0	0	0.28	0	0.0035	0.28	0.0013	0.004	0.0013	0.0013	0.0054	0.0013	0	0	0	0	2	0.16
3	0.0021	0.01	0	0	0.0029	0	0.96	0	0	0.0021	0	0.0021	0.0021	0	0.0021	0	0.01	0.01	0	6	0.071
4	0.14	0.00011	0.099	0	3e-05	0.067	0.046	1e-05	0.067	0.14	0.0049	0.14	0.14	1.6e-05	0.14	0	0.00011	0.00011	0	0	0.11
5	0.056	0.00029	0.28	0	8.1e-05	0.19	0.031	0.0081	0.19	0.055	0.0056	0.056	0.056	0.012	0.056	0	0.00029	0.00029	0	2	0.16
6	0.049	0	0.31	0	0	0.21	4.2e-06	0	0.21	0.048	0.018	0.049	0.049	0	0.049	0	0	0	0	2	0.16
7	0.064	0.0003	0.27	0	8.4e-05	0.18	0.035	0.0047	0.18	0.063	0.0058	0.064	0.064	0.0072	0.064	0	0.0003	0.0003	0	2	0.16
8	0.00082	0	0.39	0	0	0.26	0	0.032	0.26	0.0008	0.0028	0.00082	0.00082	0.049	0.00082	0	0	0	0	2	0.16
9	0.15	0.00013	0.084	0	3.7e-05	0.057	0.055	6.5e-06	0.057	0.15	0.0045	0.15	0.15	1e-05	0.15	0	0.00013	0.00013	0	0	0.11
10	0.0001	0	0.42	0	0	0.29	0	0.003	0.29	9.9e-05	0.0024	0.0001	0.0001	0.0047	0.0001	0	0	0	0	2	0.16
11	0.076	2.2e-05	0.26	0	6e-06	0.17	0.012	0.00042	0.17	0.074	0.0072	0.076	0.076	0.00064	0.076	0	2.2e-05	2.2e-05	0	2	0.16
