SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0
0	0.00012	0.00012	0.00012	0.23	0	0.00012	0.32	0	0	0	0.0041	0	0.23	0.23	0.00012	6	0.16
1	0.017	0.017	0.017	0.016	8.3e-06	0.017	0.46	0	0.0025	0.0011	0.09	8.3e-06	0.016	0.33	0.017	6	0.16
2	0.001	0.001	0.001	0.0049	0	0.001	0.56	0	0	6.2e-06	0.025	0	0.0049	0.4	0.001	6	0.16
3	0.0015	0.0015	0.0015	0	0.016	0.0015	0	0	0.95	0.012	2.5e-05	0.016	0	0	0.0015	8	0.071
4	0.1	0.1	0.1	1.3e-05	0.00016	0.1	0.13	0	0.047	0.014	0.22	0.00016	1.3e-05	0.089	0.1	10	0.12
5	0.04	0.04	0.04	0.011	0.00046	0.04	0.36	0	0.032	0.0054	0.13	0.00046	0.011	0.25	0.04	6	0.16
6	0.027	0.027	0.027	0	0	0.027	0.32	0	3.3e-06	0.00017	0.32	0	0	0.22	0.027	10	0.12
7	0.046	0.046	0.046	0.0061	0.00047	0.046	0.34	0	0.036	0.0063	0.14	0.00047	0.0061	0.24	0.046	6	0.16
8	0.00061	0.00061	0.00061	0.044	0	0.00061	0.52	0	0	4.9e-06	0.015	0	0.044	0.37	0.00061	6	0.16
9	0.11	0.11	0.11	8.6e-06	0.00021	0.11	0.11	0	0.056	0.015	0.21	0.00021	8.6e-06	0.076	0.11	10	0.12
10	7.7e-05	7.7e-05	7.7e-05	0.0043	0	7.7e-05	0.58	0	0	0	0.0067	0	0.0043	0.41	7.7e-05	6	0.16
11	0.052	0.052	0.052	0.00053	3.3e-05	0.052	0.32	0	0.011	0.0047	0.18	3.3e-05	0.00053	0.22	0.052	6	0.16
12	0.071	0.071	0.071	7.1e-06	0.018	0.071	0.026	0	0.46	0.027	0.078	0.018	7.1e-06	0.019	0.071	8	0.071
13	0.00024	0.00024	0.00024	0.08	0	0.00024	0.49	0	0	1.2e-06	0.0083	0	0.08	0.34	0.00024	6	0.16
14	0.03	0.03	0.03	0.017	0.00018	0.03	0.4	0	0.017	0.0035	0.11	0.00018	0.017	0.28	0.03	6	0.16
15	0.086	0.086	0.086	0	0	0.086	0.13	0	0.00066	0.0027	0.35	0	0	0.092	0.086	10	0.12
16	0.096	0.096	0.096	2.9e-05	0.0034	0.096	0.078	0	0.21	0.023	0.15	0.0034	2.9e-05	0.055	0.096	8	0.071
17	0.014	0.014	0.014	2.1e-06	0	0.014	0.44	0	3.5e-06	9.6e-05	0.18	0	2.1e-06	0.31	0.014	6	0.16
18	0.0068	0.0068	0.0068	0	0.1	0.0068	2.1e-05	0	0.75	0.011	0.0016	0.1	0	1.5e-05	0.0068	8	0.071
19	0.079	0.079	0.079	0.00023	0.0079	0.079	0.1	0	0.26	0.021	0.13	0.0079	0.00023	0.074	0.079	8	0.071
20	0.02	0.02	0.02	0.0045	2.5e-06	0.02	0.46	0	0.0015	0.0011	0.11	2.5e-06	0.0045	0.32	0.02	6	0.16
21	0.086	0.086	0.086	0.0002	0.003	0.086	0.13	0	0.16	0.019	0.16	0.003	0.0002	0.094	0.086	8	0.071
22	0.084	0.084	0.084	0.00023	0.0039	0.084	0.13	0	0.18	0.019	0.15	0.0039	0.00023	0.091	0.084	8	0.071
23	0.039	0.039	0.039	0	0.014	0.039	0.00014	0	0.73	0.035	0.012	0.014	0	9.6e-05	0.039	8	0.071
24	0.078	0.078	0.078	0.00024	0.00036	0.078	0.21	0	0.051	0.011	0.19	0.00036	0.00024	0.15	0.078	6	0.16
25	0.0087	0.0087	0.0087	0	0.052	0.0087	5.8e-06	0	0.83	0.016	0.0015	0.052	0	4.1e-06	0.0087	8	0.071
26	0.075	0.075	0.075	0.0005	0.0079	0.075	0.13	0	0.24	0.019	0.13	0.0079	0.0005	0.091	0.075	8	0.071
27	0.0071	0.0071	0.0071	0.0034	0	0.0071	0.52	0	6.5e-05	0.00016	0.07	0	0.0034	0.37	0.0071	6	0.16
28	0.0052	0.0052	0.0052	0.00013	0	0.0052	0.52	0	3e-06	4.4e-05	0.082	0	0.00013	0.37	0.0052	6	0.16
29	0.061	0.061	0.061	0.0019	0.00076	0.061	0.27	0	0.058	0.0094	0.16	0.00076	0.0019	0.19	0.061	6	0.16
30	0.054	0.054	0.054	0	0.015	0.054	0.0011	0	0.63	0.034	0.028	0.015	0	0.00081	0.054	8	0.071
31	0.0063	0.0063	0.0063	0	0.099	0.0063	1.3e-05	0	0.76	0.011	0.0013	0.099	0	9.4e-06	0.0063	8	0.071
32	0.11	0.11	0.11	1.3e-06	0.0015	0.11	0.04	0	0.18	0.027	0.15	0.0015	1.3e-06	0.029	0.11	8	0.071
33	0.086	0.086	0.086	5.4e-05	0.0073	0.086	0.073	0	0.28	0.024	0.13	0.0073	5.4e-05	0.052	0.086	8	0.071
34	0.096	0.096	0.096	4.2e-05	0.00044	0.096	0.14	0	0.071	0.015	0.2	0.00044	4.2e-05	0.097	0.096	10	0.12
35	0.12	0.12	0.12	2.3e-06	0.00059	0.12	0.061	0	0.11	0.022	0.18	0.00059	2.3e-06	0.043	0.12	10	0.12
36	0.097	0.097	0.097	4e-05	0.00046	0.097	0.13	0	0.073	0.015	0.2	0.00046	4e-05	0.095	0.097	10	0.12
37	0.036	0.036	0.036	0	0.043	0.036	0.0019	0	0.69	0.024	0.021	0.043	0	0.0014	0.036	8	0.071
38	0.12	0.12	0.12	0	3.1e-05	0.12	0.078	0	0.026	0.013	0.24	3.1e-05	0	0.056	0.12	10	0.12
39	0.11	0.11	0.11	0	0.0019	0.11	0.0069	0	0.28	0.038	0.094	0.0019	0	0.0049	0.11	8	0.071
40	0.099	0.099	0.099	0	1.4e-06	0.099	0.12	0	0.0049	0.0061	0.29	1.4e-06	0	0.084	0.099	10	0.12
41	0.0015	0.0015	0.0015	0.066	0	0.0015	0.49	0	9.2e-06	2.6e-05	0.023	0	0.066	0.35	0.0015	6	0.16
42	0.016	0.016	0.016	0.054	4.4e-05	0.016	0.43	0	0.0052	0.0014	0.073	4.4e-05	0.054	0.3	0.016	6	0.16
43	0.029	0.029	0.029	0.0085	4.8e-05	0.029	0.41	0	0.0085	0.0027	0.12	4.8e-05	0.0085	0.29	0.029	6	0.16
44	0.094	0.094	0.094	0	0.0014	0.094	0.00016	0	0.44	0.055	0.03	0.0014	0	0.00011	0.094	8	0.071
45	0.038	0.038	0.038	0.014	0.00056	0.038	0.36	0	0.034	0.0054	0.12	0.00056	0.014	0.26	0.038	6	0.16
46	0.055	0.055	0.055	0.0034	0.00076	0.055	0.3	0	0.053	0.0083	0.15	0.00076	0.0034	0.21	0.055	6	0.16
47	1.3e-06	1.3e-06	1.3e-06	0.41	0	1.3e-06	0.11	0	0	0	0.0002	0	0.41	0.078	1.3e-06	3	0.24
48	0.00032	0.00032	0.00032	0.02	0	0.00032	0.55	0	0	1.3e-06	0.012	0	0.02	0.39	0.00032	6	0.16
49	0.046	0.046	0.046	0.015	0.0033	0.046	0.3	0	0.094	0.009	0.12	0.0033	0.015	0.21	0.046	6	0.16
50	0.098	0.098	0.098	6.5e-06	0.0044	0.098	0.047	0	0.26	0.027	0.13	0.0044	6.5e-06	0.033	0.098	8	0.071
51	0.023	0.023	0.023	0.011	2.1e-05	0.023	0.44	0	0.0049	0.0018	0.11	2.1e-05	0.011	0.31	0.023	6	0.16
52	0.00028	0.00028	0.00028	0.005	0	0.00028	0.57	0	0	0	0.013	0	0.005	0.4	0.00028	6	0.16
53	0.12	0.12	0.12	0	1e-05	0.12	0.059	0	0.017	0.012	0.25	1e-05	0	0.042	0.12	10	0.12
54	0.0013	0.0013	0.0013	0.0077	0	0.0013	0.56	0	1e-06	1e-05	0.027	0	0.0077	0.39	0.0013	6	0.16
55	0.13	0.13	0.13	0	0.00093	0.13	0.013	0	0.19	0.033	0.12	0.00093	0	0.009	0.13	8	0.071
56	0.0012	0.0012	0.0012	0.0069	0	0.0012	0.56	0	0	9.1e-06	0.027	0	0.0069	0.4	0.0012	6	0.16
57	0.089	0.089	0.089	6.5e-05	0.00023	0.089	0.17	0	0.047	0.012	0.21	0.00023	6.5e-05	0.12	0.089	10	0.12
58	0.042	0.042	0.042	0.011	0.00071	0.042	0.35	0	0.041	0.0062	0.13	0.00071	0.011	0.25	0.042	6	0.16
59	0.1	0.1	0.1	3.1e-06	0.0041	0.1	0.038	0	0.27	0.028	0.13	0.0041	3.1e-06	0.027	0.1	8	0.071
60	0.043	0.043	0.043	0.015	0.0014	0.043	0.33	0	0.058	0.0071	0.12	0.0014	0.015	0.23	0.043	6	0.16
61	0.028	0.028	0.028	0	0.042	0.028	0.00047	0	0.74	0.024	0.012	0.042	0	0.00034	0.028	8	0.071
62	5.1e-05	5.1e-05	5.1e-05	0.0035	0	5.1e-05	0.58	0	0	0	0.0055	0	0.0035	0.41	5.1e-05	6	0.16
63	0.0099	0.0099	0.0099	0.0016	0	0.0099	0.5	0	0.0001	0.00024	0.089	0	0.0016	0.36	0.0099	6	0.16
64	0.12	0.12	0.12	0	0.0013	0.12	0.015	0	0.21	0.033	0.12	0.0013	0	0.011	0.12	8	0.071
65	0.00014	0.00014	0.00014	0.079	0	0.00014	0.49	0	0	0	0.0062	0	0.079	0.35	0.00014	6	0.16
66	0.041	0.041	0.041	9.3e-05	0	0.041	0.34	0	0.0016	0.0019	0.2	0	9.3e-05	0.24	0.041	6	0.16
67	0.15	0.15	0.15	0	0	0.15	0.0074	0	0.0046	0.011	0.22	0	0	0.0053	0.15	10	0.12
