SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	8.9e-05	0.062	8.9e-05	0.55	0.062	0.11	0.11	0	0	0.0037	8.9e-05	8.7e-05	8.9e-05	8.9e-05	8.9e-05	0.11	3	0.16
1	0.013	0.0044	0.013	0.79	0.0044	0.0077	0.0077	0.0026	1.6e-05	0.082	0.013	0.013	0.013	0.013	0.013	0.0077	3	0.16
2	0.00076	0.0013	0.00076	0.96	0.0013	0.0024	0.0024	0	0	0.023	0.00076	0.00074	0.00076	0.00076	0.00076	0.0024	3	0.16
3	0.0011	0	0.0011	0	0	0	0	0.96	0.029	2.2e-05	0.0011	0.0011	0.0011	0.0011	0.0011	0	7	0.071
4	0.077	3.7e-06	0.077	0.21	3.7e-06	6.5e-06	6.5e-06	0.049	0.00031	0.2	0.077	0.075	0.077	0.077	0.077	6.5e-06	3	0.16
5	0.03	0.0029	0.03	0.62	0.0029	0.0051	0.0051	0.033	0.00086	0.12	0.03	0.03	0.03	0.03	0.03	0.0051	3	0.16
6	0.021	0	0.021	0.55	0	0	0	3.5e-06	0	0.3	0.021	0.021	0.021	0.021	0.021	0	3	0.16
7	0.035	0.0017	0.035	0.58	0.0017	0.003	0.003	0.037	0.00088	0.13	0.035	0.034	0.035	0.035	0.035	0.003	3	0.16
8	0.00047	0.012	0.00047	0.89	0.012	0.021	0.021	0	0	0.014	0.00047	0.00046	0.00047	0.00047	0.00047	0.021	3	0.16
9	0.081	2.4e-06	0.081	0.18	2.4e-06	4.1e-06	4.1e-06	0.058	0.00039	0.19	0.081	0.079	0.081	0.081	0.081	4.1e-06	9	0.12
10	5.8e-05	0.0012	5.8e-05	0.98	0.0012	0.0021	0.0021	0	0	0.0061	5.8e-05	5.7e-05	5.8e-05	5.8e-05	5.8e-05	0.0021	3	0.16
11	0.04	0.00015	0.04	0.54	0.00015	0.00026	0.00026	0.012	6.2e-05	0.17	0.04	0.039	0.04	0.04	0.04	0.00026	3	0.16
12	0.054	1.9e-06	0.054	0.045	1.9e-06	3.4e-06	3.4e-06	0.47	0.034	0.071	0.054	0.053	0.054	0.054	0.054	3.4e-06	7	0.071
13	0.00018	0.022	0.00018	0.83	0.022	0.038	0.038	0	0	0.0076	0.00018	0.00018	0.00018	0.00018	0.00018	0.038	3	0.16
14	0.023	0.0046	0.023	0.69	0.0046	0.0081	0.0081	0.017	0.00034	0.1	0.023	0.023	0.023	0.023	0.023	0.0081	3	0.16
15	0.066	0	0.066	0.22	0	0	0	0.00069	0	0.32	0.066	0.064	0.066	0.066	0.066	0	9	0.12
16	0.073	8e-06	0.073	0.13	8e-06	1.4e-05	1.4e-05	0.22	0.0064	0.14	0.073	0.071	0.073	0.073	0.073	1.4e-05	7	0.071
17	0.01	0	0.01	0.76	0	1e-06	1e-06	3.6e-06	0	0.17	0.01	0.01	0.01	0.01	0.01	1e-06	3	0.16
18	0.0052	0	0.0052	3.6e-05	0	0	0	0.77	0.19	0.0015	0.0052	0.0051	0.0052	0.0052	0.0052	0	7	0.071
19	0.06	6.3e-05	0.06	0.18	6.3e-05	0.00011	0.00011	0.26	0.015	0.12	0.06	0.059	0.06	0.06	0.06	0.00011	7	0.071
20	0.015	0.0012	0.015	0.79	0.0012	0.0022	0.0022	0.0016	4.6e-06	0.099	0.015	0.015	0.015	0.015	0.015	0.0022	3	0.16
21	0.065	5.4e-05	0.065	0.23	5.4e-05	9.4e-05	9.4e-05	0.17	0.0056	0.14	0.065	0.064	0.065	0.065	0.065	9.4e-05	3	0.16
22	0.064	6.4e-05	0.064	0.22	6.4e-05	0.00011	0.00011	0.19	0.0074	0.14	0.064	0.062	0.064	0.064	0.064	0.00011	3	0.16
23	0.03	0	0.03	0.00023	0	0	0	0.75	0.027	0.011	0.03	0.029	0.03	0.03	0.03	0	7	0.071
24	0.06	6.6e-05	0.06	0.36	6.6e-05	0.00012	0.00012	0.053	0.00068	0.17	0.06	0.058	0.06	0.06	0.06	0.00012	3	0.16
25	0.0066	0	0.0066	9.8e-06	0	0	0	0.86	0.097	0.0013	0.0066	0.0064	0.0066	0.0066	0.0066	0	7	0.071
26	0.057	0.00014	0.057	0.22	0.00014	0.00024	0.00024	0.24	0.015	0.12	0.057	0.056	0.057	0.057	0.057	0.00024	7	0.071
27	0.0054	0.00093	0.0054	0.89	0.00093	0.0016	0.0016	6.7e-05	0	0.064	0.0054	0.0053	0.0054	0.0054	0.0054	0.0016	3	0.16
28	0.0039	3.6e-05	0.0039	0.9	3.6e-05	6.3e-05	6.3e-05	3.1e-06	0	0.075	0.0039	0.0038	0.0039	0.0039	0.0039	6.3e-05	3	0.16
29	0.046	0.00052	0.046	0.47	0.00052	0.00091	0.00091	0.06	0.0014	0.15	0.046	0.045	0.046	0.046	0.046	0.00091	3	0.16
30	0.041	0	0.041	0.002	0	0	0	0.65	0.029	0.026	0.041	0.04	0.041	0.041	0.041	0	7	0.071
31	0.0048	0	0.0048	2.3e-05	0	0	0	0.78	0.18	0.0012	0.0048	0.0047	0.0048	0.0048	0.0048	0	7	0.071
32	0.086	0	0.086	0.069	0	0	0	0.19	0.0028	0.14	0.086	0.084	0.086	0.086	0.086	0	7	0.071
33	0.066	1.5e-05	0.066	0.12	1.5e-05	2.6e-05	2.6e-05	0.29	0.014	0.12	0.066	0.064	0.066	0.066	0.066	2.6e-05	7	0.071
34	0.073	1.2e-05	0.073	0.24	1.2e-05	2e-05	2e-05	0.073	0.00083	0.18	0.073	0.071	0.073	0.073	0.073	2e-05	3	0.16
35	0.088	0	0.088	0.1	0	1.1e-06	1.1e-06	0.11	0.0011	0.17	0.088	0.086	0.088	0.088	0.088	1.1e-06	9	0.12
36	0.073	1.1e-05	0.073	0.23	1.1e-05	1.9e-05	1.9e-05	0.075	0.00086	0.18	0.073	0.072	0.073	0.073	0.073	1.9e-05	3	0.16
37	0.027	0	0.027	0.0033	0	0	0	0.71	0.081	0.019	0.027	0.026	0.027	0.027	0.027	0	7	0.071
38	0.089	0	0.089	0.13	0	0	0	0.027	5.9e-05	0.22	0.089	0.087	0.089	0.089	0.089	0	9	0.12
39	0.087	0	0.087	0.012	0	0	0	0.29	0.0036	0.086	0.087	0.085	0.087	0.087	0.087	0	7	0.071
40	0.075	0	0.075	0.2	0	0	0	0.005	2.6e-06	0.26	0.075	0.074	0.075	0.075	0.075	0	9	0.12
41	0.0011	0.018	0.0011	0.84	0.018	0.032	0.032	9.5e-06	0	0.021	0.0011	0.0011	0.0011	0.0011	0.0011	0.032	3	0.16
42	0.012	0.015	0.012	0.74	0.015	0.026	0.026	0.0054	8.3e-05	0.067	0.012	0.012	0.012	0.012	0.012	0.026	3	0.16
43	0.022	0.0023	0.022	0.71	0.0023	0.0041	0.0041	0.0088	9e-05	0.11	0.022	0.022	0.022	0.022	0.022	0.0041	3	0.16
44	0.072	0	0.072	0.00027	0	0	0	0.46	0.0027	0.028	0.072	0.071	0.072	0.072	0.072	0	7	0.071
45	0.029	0.0039	0.029	0.62	0.0039	0.0069	0.0069	0.035	0.001	0.11	0.029	0.028	0.029	0.029	0.029	0.0069	3	0.16
46	0.042	0.00093	0.042	0.51	0.00093	0.0016	0.0016	0.055	0.0014	0.14	0.042	0.041	0.042	0.042	0.042	0.0016	3	0.16
47	1e-06	0.11	1e-06	0.19	0.11	0.2	0.2	0	0	0.00018	1e-06	1e-06	1e-06	1e-06	1e-06	0.2	5	0.24
48	0.00024	0.0056	0.00024	0.95	0.0056	0.0097	0.0097	0	0	0.011	0.00024	0.00024	0.00024	0.00024	0.00024	0.0097	3	0.16
49	0.035	0.0042	0.035	0.51	0.0042	0.0073	0.0073	0.097	0.0062	0.11	0.035	0.035	0.035	0.035	0.035	0.0073	3	0.16
50	0.075	1.8e-06	0.075	0.08	1.8e-06	3.1e-06	3.1e-06	0.27	0.0083	0.12	0.075	0.073	0.075	0.075	0.075	3.1e-06	7	0.071
51	0.018	0.0031	0.018	0.75	0.0031	0.0054	0.0054	0.005	4e-05	0.096	0.018	0.017	0.018	0.018	0.018	0.0054	3	0.16
52	0.00022	0.0014	0.00022	0.98	0.0014	0.0024	0.0024	0	0	0.012	0.00022	0.00021	0.00022	0.00022	0.00022	0.0024	3	0.16
53	0.094	0	0.094	0.1	0	0	0	0.018	1.9e-05	0.23	0.094	0.091	0.094	0.094	0.094	0	9	0.12
54	0.00097	0.0021	0.00097	0.95	0.0021	0.0037	0.0037	1e-06	0	0.025	0.00097	0.00094	0.00097	0.00097	0.00097	0.0037	3	0.16
55	0.095	0	0.095	0.022	0	0	0	0.2	0.0018	0.11	0.095	0.093	0.095	0.095	0.095	0	7	0.071
56	0.00091	0.0019	0.00091	0.96	0.0019	0.0033	0.0033	0	0	0.024	0.00091	0.00089	0.00091	0.00091	0.00091	0.0033	3	0.16
57	0.067	1.8e-05	0.067	0.29	1.8e-05	3.1e-05	3.1e-05	0.049	0.00043	0.19	0.067	0.066	0.067	0.067	0.067	3.1e-05	3	0.16
58	0.032	0.003	0.032	0.59	0.003	0.0053	0.0053	0.043	0.0013	0.12	0.032	0.031	0.032	0.032	0.032	0.0053	3	0.16
59	0.076	0	0.076	0.065	0	1.5e-06	1.5e-06	0.28	0.0078	0.12	0.076	0.074	0.076	0.076	0.076	1.5e-06	7	0.071
60	0.033	0.004	0.033	0.57	0.004	0.007	0.007	0.06	0.0026	0.11	0.033	0.032	0.033	0.033	0.033	0.007	3	0.16
61	0.021	0	0.021	0.00081	0	0	0	0.76	0.079	0.011	0.021	0.02	0.021	0.021	0.021	0	7	0.071
62	3.8e-05	0.00095	3.8e-05	0.99	0.00095	0.0017	0.0017	0	0	0.005	3.8e-05	3.7e-05	3.8e-05	3.8e-05	3.8e-05	0.0017	3	0.16
63	0.0076	0.00043	0.0076	0.86	0.00043	0.00075	0.00075	0.0001	0	0.081	0.0076	0.0074	0.0076	0.0076	0.0076	0.00075	3	0.16
64	0.091	0	0.091	0.026	0	0	0	0.22	0.0025	0.11	0.091	0.089	0.091	0.091	0.091	0	7	0.071
65	0.0001	0.022	0.0001	0.84	0.022	0.038	0.038	0	0	0.0057	0.0001	0.0001	0.0001	0.0001	0.0001	0.038	3	0.16
66	0.032	2.6e-05	0.032	0.59	2.6e-05	4.5e-05	4.5e-05	0.0016	1.3e-06	0.18	0.032	0.031	0.032	0.032	0.032	4.5e-05	3	0.16
67	0.11	0	0.11	0.013	0	0	0	0.0047	0	0.2	0.11	0.11	0.11	0.11	0.11	0	9	0.12
68	0.0003	0.0023	0.0003	0.97	0.0023	0.0041	0.0041	0	0	0.013	0.0003	0.00029	0.0003	0.0003	0.0003	0.0041	3	0.16
69	1.7e-05	0.06	1.7e-05	0.56	0.06	0.11	0.11	0	0	0.0016	1.7e-05	1.7e-05	1.7e-05	1.7e-05	1.7e-05	0.11	3	0.16
70	0.063	0	0.063	0.13	0	0	0	2.6e-05	0	0.43	0.063	0.061	0.063	0.063	0.063	0	9	0.12
71	0.00026	0.024	0.00026	0.82	0.024	0.041	0.041	0	0	0.0089	0.00026	0.00025	0.00026	0.00026	0.00026	0.041	3	0.16
72	0.0007	0.006	0.0007	0.93	0.006	0.011	0.011	0	0	0.019	0.0007	0.00069	0.0007	0.0007	0.0007	0.011	3	0.16
73	0.013	0	0.013	0.00011	0	0	0	0.82	0.086	0.0043	0.013	0.012	0.013	0.013	0.013	0	7	0.071
74	0.049	0	0.049	0.022	0	0	0	0.54	0.041	0.054	0.049	0.048	0.049	0.049	0.049	0	7	0.071
75	0.012	0	0.012	0.0017	0	0	0	0.7	0.2	0.0081	0.012	0.012	0.012	0.012	0.012	0	7	0.071
76	0.0015	0	0.0015	0	0	0	0	0.75	0.24	0.00019	0.0015	0.0015	0.0015	0.0015	0.0015	0	7	0.071
77	0.021	0	0.021	0.00068	0	0	0	0.77	0.072	0.011	0.021	0.021	0.021	0.021	0.021	0	7	0.071
78	0.062	0	0.062	0.011	0	0	0	0.48	0.016	0.058	0.062	0.061	0.062	0.062	0.062	0	7	0.071
79	0.024	0.0017	0.024	0.7	0.0017	0.0029	0.0029	0.0086	7.7e-05	0.11	0.024	0.023	0.024	0.024	0.024	0.0029	3	0.16
80	0.0043	0.00011	0.0043	0.9	0.00011	0.00019	0.00019	8.4e-06	0	0.07	0.0043	0.0042	0.0043	0.0043	0.0043	0.00019	3	0.16
81	0.09	0	0.09	0.0027	0	0	0	0.3	0.002	0.062	0.09	0.088	0.09	0.09	0.09	0	7	0.071
82	0.0081	0.012	0.0081	2.8e-05	0.012	0.021	0.021	0.78	0.076	0.0019	0.0081	0.0079	0.0081	0.0081	0.0081	0.021	7	0.071
83	0.00024	0.0046	0.00024	0.96	0.0046	0.008	0.008	0	0	0.0088	0.00024	0.00024	0.00024	0.00024	0.00024	0.008	3	0.16
84	0.067	0.0088	0.067	0.011	0.0088	0.015	0.015	0.4	0.0082	0.057	0.067	0.065	0.067	0.067	0.067	0.015	7	0.071
85	0.037	0.01	0.037	0.012	0.01	0.018	0.018	0.57	0.046	0.033	0.037	0.036	0.037	0.037	0.037	0.018	7	0.071
86	0.035	0.00087	0.035	0.6	0.00087	0.0015	0.0015	0.024	0.00029	0.13	0.035	0.034	0.035	0.035	0.035	0.0015	3	0.16
87	0.072	0.00016	0.072	0.24	0.00016	0.00027	0.00027	0.0031	0	0.26	0.072	0.07	0.072	0.072	0.072	0.00027	9	0.12
88	0.096	0	0.096	0.08	0	0	0	0.075	0.00037	0.18	0.096	0.093	0.096	0.096	0.096	0	9	0.12
89	0.097	0	0.097	0.072	0	0	0	0.0085	3.5e-06	0.24	0.097	0.095	0.097	0.097	0.097	0	9	0.12
90	0.077	1.1e-06	0.077	0.072	1.1e-06	1.9e-06	1.9e-06	0.27	0.0072	0.12	0.077	0.075	0.077	0.077	0.077	1.9e-06	7	0.071
91	0.0049	0	0.0049	6e-06	0	0	0	0.84	0.12	0.00091	0.0049	0.0048	0.0049	0.0049	0.0049	0	7	0.071
92	0.018	0.0019	0.018	0.75	0.0019	0.0033	0.0033	0.0041	2.4e-05	0.1	0.018	0.018	0.018	0.018	0.018	0.0033	3	0.16
93	0.00016	0.078	0.00016	0.43	0.078	0.14	0.14	0	0	0.0043	0.00016	0.00016	0.00016	0.00016	0.00016	0.14	3	0.16
94	0.026	7.7e-06	0.026	0.63	7.7e-06	1.3e-05	1.3e-05	0.00035	0	0.19	0.026	0.025	0.026	0.026	0.026	1.3e-05	3	0.16
95	0.011	0.00065	0.011	0.83	0.00065	0.0011	0.0011	0.00039	0	0.092	0.011	0.011	0.011	0.011	0.011	0.0011	3	0.16
96	0.058	1.8e-05	0.058	0.37	1.8e-05	3.1e-05	3.1e-05	0.018	7.7e-05	0.2	0.058	0.057	0.058	0.058	0.058	3.1e-05	3	0.16
97	0.1	0	0.1	0.041	0	0	0	0.075	0.00025	0.16	0.1	0.1	0.1	0.1	0.1	0	9	0.12
98	0.0029	0.0077	0.0029	0.89	0.0077	0.013	0.013	8.7e-05	0	0.035	0.0029	0.0028	0.0029	0.0029	0.0029	0.013	3	0.16
99	0.025	0.00086	0.025	0.69	0.00086	0.0015	0.0015	0.0084	6.6e-05	0.12	0.025	0.024	0.025	0.025	0.025	0.0015	3	0.16
100	0.019	0.007	0.019	0.72	0.007	0.012	0.012	0.012	0.00021	0.089	0.019	0.018	0.019	0.019	0.019	0.012	3	0.16
101	0.08	0	0.08	0.051	0	0	0	0.27	0.006	0.11	0.08	0.078	0.08	0.08	0.08	0	7	0.071
102	0.11	0	0.11	0.032	0	0	0	0.046	7.8e-05	0.17	0.11	0.1	0.11	0.11	0.11	0	9	0.12
103	0.051	6.5e-06	0.051	0.42	6.5e-06	1.1e-05	1.1e-05	0.0052	6.6e-06	0.22	0.051	0.05	0.051	0.051	0.051	1.1e-05	3	0.16
104	0.00052	0.0074	0.00052	0.93	0.0074	0.013	0.013	0	0	0.016	0.00052	0.00051	0.00052	0.00052	0.00052	0.013	3	0.16
105	0.022	0.00045	0.022	0.71	0.00045	0.00079	0.00079	0.0028	8e-06	0.13	0.022	0.021	0.022	0.022	0.022	0.00079	3	0.16
106	0.0012	0.0008	0.0012	0.95	0.0008	0.0014	0.0014	1e-06	0	0.031	0.0012	0.0012	0.0012	0.0012	0.0012	0.0014	3	0.16
107	0.032	2.4e-05	0.032	0.59	2.4e-05	4.3e-05	4.3e-05	0.0017	1.4e-06	0.18	0.032	0.032	0.032	0.032	0.032	4.3e-05	3	0.16
108	0.1	0	0.1	0.0021	0	0	0	0.22	0.00074	0.068	0.1	0.099	0.1	0.1	0.1	0	7	0.071
109	0.0092	0.00047	0.0092	0.84	0.00047	0.00082	0.00082	0.00019	0	0.088	0.0092	0.0089	0.0092	0.0092	0.0092	0.00082	3	0.16
110	0.086	0	0.086	0.15	0	1.4e-06	1.4e-06	0.057	0.00031	0.2	0.086	0.084	0.086	0.086	0.086	1.4e-06	9	0.12
111	0.091	0	0.091	0.01	0	0	0	0.26	0.0025	0.088	0.091	0.089	0.091	0.091	0.091	0	7	0.071
112	0.026	0	0.026	0.0005	0	0	0	0.76	0.045	0.012	0.026	0.026	0.026	0.026	0.026	0	7	0.071
113	0.035	0	0.035	0.00056	0	0	0	0.72	0.028	0.016	0.035	0.034	0.035	0.035	0.035	0	7	0.071
114	0.005	0.0044	0.005	0.88	0.0044	0.0078	0.0078	0.00016	0	0.052	0.005	0.0048	0.005	0.005	0.005	0.0078	3	0.16
115	0.088	0	0.088	0.067	0	0	0	0.17	0.0023	0.14	0.088	0.086	0.088	0.088	0.088	0	7	0.071
116	0.016	0	0.016	6.7e-05	0	0	0	0.83	0.05	0.0048	0.016	0.016	0.016	0.016	0.016	0	7	0.071
117	0.07	0	0.07	0.015	0	0	0	0.42	0.011	0.07	0.07	0.068	0.07	0.07	0.07	0	7	0.071
118	0.041	0.00058	0.041	0.53	0.00058	0.001	0.001	0.033	0.00053	0.14	0.041	0.04	0.041	0.041	0.041	0.001	3	0.16
119	0.054	0	0.054	0.02	0	0	0	0.51	0.03	0.059	0.054	0.053	0.054	0.054	0.054	0	7	0.071
120	0.015	0	0.015	0.00024	0	0	0	0.8	0.093	0.0058	0.015	0.014	0.015	0.015	0.015	0	7	0.071
121	0.055	0	0.055	0.36	0	1.7e-06	1.7e-06	0.0024	1.1e-06	0.25	0.055	0.054	0.055	0.055	0.055	1.7e-06	3	0.16
122	0.0057	1.9e-05	0.0057	0.87	1.9e-05	3.4e-05	3.4e-05	5.8e-06	0	0.094	0.0057	0.0055	0.0057	0.0057	0.0057	3.4e-05	3	0.16
123	0.049	0.00028	0.049	0.45	0.00028	0.00049	0.00049	0.051	0.00092	0.16	0.049	0.048	0.049	0.049	0.049	0.00049	3	0.16
124	0.11	0	0.11	0.0056	0	0	0	0.0017	0	0.19	0.11	0.11	0.11	0.11	0.11	0	9	0.12
125	0.036	0	0.036	0.017	0	0	0	0.62	0.074	0.038	0.036	0.036	0.036	0.036	0.036	0	7	0.071
126	0.017	0	0.017	3.8e-06	0	0	0	0.87	0.017	0.0024	0.017	0.016	0.017	0.017	0.017	0	7	0.071
127	0.0054	8.9e-06	0.0054	0.86	8.9e-06	1.6e-05	1.6e-05	3e-06	0	0.099	0.0054	0.0052	0.0054	0.0054	0.0054	1.6e-05	3	0.16
128	0.00024	0	0.00024	0	0	0	0	0.69	0.31	9.1e-06	0.00024	0.00024	0.00024	0.00024	0.00024	0	7	0.071
