SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	0.0005	0.46	0.0055	0.54	0	3	0.16
1	0.072	0.032	0.12	0.77	0.0031	3	0.16
2	0.0043	0.01	0.034	0.95	0	3	0.16
3	0.0052	0	2.8e-05	0	0.99	4	0.071
4	0.43	2.7e-05	0.3	0.21	0.06	0	0.11
5	0.17	0.022	0.17	0.6	0.04	3	0.16
6	0.11	0	0.4	0.49	3.9e-06	3	0.16
7	0.19	0.012	0.19	0.56	0.045	3	0.16
8	0.0026	0.091	0.021	0.89	0	3	0.16
9	0.46	1.8e-05	0.29	0.18	0.072	0	0.11
10	0.00033	0.0089	0.0092	0.98	0	3	0.16
11	0.22	0.0011	0.24	0.52	0.014	3	0.16
12	0.29	1.4e-05	0.1	0.043	0.56	4	0.071
13	0.001	0.16	0.011	0.82	0	3	0.16
14	0.13	0.034	0.15	0.67	0.021	3	0.16
15	0.35	0	0.45	0.21	0.00079	2	0.12
16	0.41	5.9e-05	0.2	0.13	0.26	0	0.11
17	0.055	4e-06	0.24	0.71	4.2e-06	3	0.16
18	0.03	0	0.0022	3.6e-05	0.97	4	0.071
19	0.33	0.00046	0.17	0.17	0.32	0	0.11
20	0.083	0.0091	0.15	0.76	0.0019	3	0.16
21	0.36	0.0004	0.21	0.22	0.2	0	0.11
22	0.35	0.00047	0.2	0.21	0.23	0	0.11
23	0.15	0	0.015	0.00021	0.83	4	0.071
24	0.33	0.00048	0.26	0.35	0.065	3	0.16
25	0.034	0	0.0018	8.9e-06	0.96	4	0.071
26	0.32	0.001	0.18	0.21	0.3	0	0.11
27	0.03	0.0069	0.095	0.87	8.2e-05	3	0.16
28	0.022	0.00026	0.11	0.87	3.7e-06	3	0.16
29	0.26	0.0038	0.21	0.45	0.073	3	0.16
30	0.22	0	0.035	0.0018	0.75	4	0.071
31	0.027	0	0.0018	2.3e-05	0.97	4	0.071
32	0.49	2.7e-06	0.21	0.069	0.23	0	0.11
33	0.36	0.00011	0.17	0.12	0.35	0	0.11
34	0.41	8.6e-05	0.27	0.23	0.09	0	0.11
35	0.5	4.7e-06	0.25	0.1	0.14	0	0.11
36	0.41	8.1e-05	0.27	0.23	0.093	0	0.11
37	0.14	0	0.027	0.0031	0.83	4	0.071
38	0.5	1.3e-06	0.33	0.13	0.033	0	0.11
39	0.49	0	0.13	0.012	0.37	0	0.11
40	0.41	0	0.39	0.2	0.006	0	0.11
41	0.0065	0.13	0.031	0.83	1.2e-05	3	0.16
42	0.066	0.11	0.098	0.72	0.0066	3	0.16
43	0.12	0.017	0.16	0.69	0.011	3	0.16
44	0.4	0	0.041	0.00026	0.56	4	0.071
45	0.16	0.029	0.16	0.61	0.043	3	0.16
46	0.23	0.0068	0.2	0.49	0.067	3	0.16
47	5.7e-06	0.82	0.00027	0.18	0	1	0.24
48	0.0014	0.042	0.016	0.94	0	3	0.16
49	0.2	0.03	0.16	0.5	0.12	3	0.16
50	0.41	1.3e-05	0.18	0.078	0.33	0	0.11
51	0.097	0.023	0.14	0.73	0.0061	3	0.16
52	0.0012	0.01	0.018	0.97	0	3	0.16
53	0.53	0	0.34	0.1	0.022	0	0.11
54	0.0054	0.016	0.037	0.94	1.3e-06	3	0.16
55	0.55	0	0.17	0.022	0.25	0	0.11
56	0.0051	0.014	0.036	0.94	1e-06	3	0.16
57	0.38	0.00013	0.28	0.29	0.06	0	0.11
58	0.18	0.022	0.17	0.58	0.052	3	0.16
59	0.42	6.3e-06	0.17	0.064	0.34	0	0.11
60	0.18	0.029	0.16	0.55	0.073	3	0.16
61	0.11	0	0.015	0.00074	0.87	4	0.071
62	0.00022	0.0072	0.0075	0.99	0	3	0.16
63	0.042	0.0031	0.12	0.84	0.00013	3	0.16
64	0.52	0	0.17	0.026	0.28	0	0.11
65	0.00058	0.16	0.0085	0.83	0	3	0.16
66	0.17	0.00018	0.26	0.56	0.0019	3	0.16
67	0.67	0	0.31	0.013	0.0061	0	0.11
68	0.0017	0.017	0.02	0.96	0	3	0.16
69	9.7e-05	0.45	0.0024	0.55	0	3	0.16
70	0.31	0	0.57	0.12	2.9e-05	2	0.12
71	0.0014	0.18	0.013	0.81	0	3	0.16
72	0.004	0.045	0.028	0.92	1.2e-06	3	0.16
73	0.066	0	0.0058	9.7e-05	0.93	4	0.071
74	0.26	2.3e-06	0.077	0.021	0.64	4	0.071
75	0.073	0	0.013	0.0017	0.91	4	0.071
76	0.0091	0	0.0003	0	0.99	4	0.071
77	0.11	0	0.015	0.00062	0.87	4	0.071
78	0.34	0	0.083	0.01	0.57	4	0.071
79	0.13	0.012	0.17	0.68	0.01	3	0.16
80	0.024	0.0008	0.1	0.87	1e-05	3	0.16
81	0.52	0	0.095	0.0028	0.38	0	0.11
82	0.041	0.081	0.0026	2.5e-05	0.87	4	0.071
83	0.0014	0.034	0.013	0.95	0	3	0.16
84	0.37	0.064	0.083	0.01	0.48	4	0.071
