SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.16	6.5e-05	0.072	0.28	6.4e-05	0.28	6.5e-05	6.5e-05	0.072	0.072	0.072	6.5e-05	6.5e-05	0	6.5e-05	0.0032	0	6.5e-05	6.5e-05	6.5e-05	3	0.16
1	0.011	0.0095	0.0051	0.4	0.0094	0.4	0.0095	0.0095	0.0051	0.0051	0.0051	0.0095	0.0095	1.6e-05	0.0095	0.07	0.0026	0.0095	0.0095	0.0095	3	0.16
2	0.0034	0.00055	0.0016	0.48	0.00054	0.48	0.00055	0.00055	0.0016	0.0016	0.0016	0.00055	0.00055	0	0.00055	0.02	0	0.00055	0.00055	0.00055	3	0.16
3	0	0.00082	0	0	0.00081	0	0.00082	0.00082	0	0	0	0.00082	0.00082	0.03	0.00082	1.9e-05	0.96	0.00082	0.00082	0.00082	16	0.071
4	9.3e-06	0.056	4.3e-06	0.11	0.056	0.11	0.056	0.056	4.3e-06	4.3e-06	4.3e-06	0.056	0.056	0.00032	0.056	0.17	0.048	0.056	0.056	0.056	15	0.12
5	0.0074	0.022	0.0034	0.31	0.022	0.31	0.022	0.022	0.0034	0.0034	0.0034	0.022	0.022	0.00088	0.022	0.099	0.033	0.022	0.022	0.022	3	0.16
6	0	0.016	0	0.29	0.016	0.29	0.016	0.016	0	0	0	0.016	0.016	0	0.016	0.27	3.6e-06	0.016	0.016	0.016	3	0.16
7	0.0042	0.025	0.002	0.29	0.025	0.29	0.025	0.025	0.002	0.002	0.002	0.025	0.025	0.0009	0.025	0.11	0.037	0.025	0.025	0.025	3	0.16
8	0.03	0.00034	0.014	0.45	0.00033	0.45	0.00034	0.00034	0.014	0.014	0.014	0.00034	0.00034	0	0.00034	0.012	0	0.00034	0.00034	0.00034	3	0.16
9	5.9e-06	0.059	2.8e-06	0.093	0.058	0.093	0.059	0.059	2.8e-06	2.8e-06	2.8e-06	0.059	0.059	0.0004	0.059	0.17	0.057	0.059	0.059	0.059	15	0.12
