SNV	cluster0	cluster1	cluster	dcf0
0	4.1e-05	1	1	0.16
1	0.044	0.96	1	0.16
2	0.0002	1	1	0.16
3	1	0	0	0.089
4	0.67	0.33	0	0.089
5	0.22	0.78	1	0.16
6	0.0096	0.99	1	0.16
7	0.26	0.74	1	0.16
8	0.00018	1	1	0.16
9	0.73	0.27	0	0.089
10	2.6e-06	1	1	0.16
11	0.22	0.78	1	0.16
12	0.95	0.049	0	0.089
13	4.7e-05	1	1	0.16
14	0.14	0.86	1	0.16
15	0.28	0.72	1	0.16
16	0.85	0.15	0	0.089
17	0.0041	1	1	0.16
18	1	9.8e-05	0	0.089
19	0.79	0.21	0	0.089
20	0.042	0.96	1	0.16
21	0.72	0.28	0	0.089
22	0.74	0.26	0	0.089
23	1	0.00021	0	0.089
24	0.5	0.5	1	0.16
25	1	1.9e-05	0	0.089
26	0.74	0.26	0	0.089
27	0.0058	0.99	1	0.16
28	0.0015	1	1	0.16
29	0.39	0.61	1	0.16
30	1	0.0018	0	0.089
31	1	6.3e-05	0	0.089
32	0.93	0.075	0	0.089
33	0.86	0.14	0	0.089
34	0.67	0.33	0	0.089
35	0.87	0.13	0	0.089
36	0.68	0.32	0	0.089
37	1	0.0042	0	0.089
38	0.76	0.24	0	0.089
39	0.99	0.0097	0	0.089
40	0.49	0.51	1	0.16
41	0.00098	1	1	0.16
42	0.057	0.94	1	0.16
43	0.11	0.89	1	0.16
44	1	0.00015	0	0.089
45	0.22	0.78	1	0.16
46	0.34	0.66	1	0.16
47	0	1	1	0.16
48	4.4e-05	1	1	0.16
49	0.36	0.64	1	0.16
50	0.92	0.084	0	0.089
51	0.072	0.93	1	0.16
52	2.4e-05	1	1	0.16
53	0.79	0.21	0	0.089
54	0.00035	1	1	0.16
55	0.98	0.02	0	0.089
56	0.0003	1	1	0.16
57	0.57	0.43	0	0.089
58	0.25	0.75	1	0.16
59	0.93	0.067	0	0.089
60	0.29	0.71	1	0.16
61	1	0.0011	0	0.089
62	1.2e-06	1	1	0.16
63	0.009	0.99	1	0.16
64	0.98	0.024	0	0.089
65	1.8e-05	1	1	0.16
66	0.095	0.91	1	0.16
67	0.96	0.036	0	0.089
68	4.8e-05	1	1	0.16
69	2.5e-06	1	1	0.16
70	0.18	0.82	1	0.16
71	8.9e-05	1	1	0.16
72	0.00027	1	1	0.16
73	1	0.00016	0	0.089
74	0.98	0.024	0	0.089
75	1	0.0036	0	0.089
76	1	3.2e-06	0	0.089
77	1	0.00087	0	0.089
78	0.99	0.0095	0	0.089
79	0.11	0.89	1	0.16
80	0.0023	1	1	0.16
81	1	0.0019	0	0.089
82	1	5.1e-05	0	0.089
83	6e-05	1	1	0.16
84	0.99	0.0092	0	0.089
85	0.99	0.015	0	0.089
86	0.23	0.77	1	0.16
87	0.41	0.59	1	0.16
88	0.89	0.11	0	0.089
89	0.81	0.19	0	0.089
90	0.93	0.075	0	0.089
91	1	1.4e-05	0	0.089
92	0.069	0.93	1	0.16
