SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
0	0.00046	0.21	0	0.25	0	1.8e-06	0.0059	0.53	7	0.16
1	0.067	0.015	1.7e-05	0.017	0.0025	0.0029	0.13	0.77	7	0.16
2	0.004	0.0047	0	0.0055	0	1.6e-05	0.037	0.95	7	0.16
3	0.0058	0	0.031	0	0.93	0.031	3.5e-05	0	4	0.071
4	0.4	1.3e-05	0.00033	1.5e-05	0.046	0.035	0.31	0.21	0	0.11
5	0.16	0.01	0.00091	0.012	0.031	0.014	0.18	0.6	7	0.16
6	0.098	0	0	0	3e-06	0.00038	0.42	0.48	7	0.16
7	0.18	0.0057	0.00093	0.0067	0.035	0.016	0.2	0.56	7	0.16
8	0.0024	0.042	0	0.05	0	1.3e-05	0.022	0.88	7	0.16
9	0.42	8.1e-06	0.00042	9.5e-06	0.056	0.039	0.31	0.18	0	0.11
10	0.00031	0.0041	0	0.0048	0	0	0.0099	0.98	7	0.16
11	0.2	0.00049	6.5e-05	0.00057	0.011	0.012	0.26	0.52	7	0.16
12	0.28	6.7e-06	0.037	7.8e-06	0.46	0.07	0.11	0.044	4	0.071
13	0.00095	0.076	0	0.089	0	3.2e-06	0.012	0.82	7	0.16
14	0.12	0.016	0.00036	0.018	0.016	0.0087	0.16	0.66	7	0.16
15	0.32	0	0	0	0.00062	0.0064	0.47	0.21	6	0.12
16	0.38	2.8e-05	0.0069	3.3e-05	0.21	0.059	0.22	0.13	0	0.11
17	0.051	1.9e-06	0	2.2e-06	3.3e-06	0.00023	0.25	0.7	7	0.16
18	0.027	0	0.2	0	0.74	0.029	0.0023	3.5e-05	4	0.071
19	0.31	0.00022	0.016	0.00025	0.25	0.054	0.19	0.18	0	0.11
20	0.076	0.0042	4.9e-06	0.0049	0.0015	0.0027	0.15	0.76	7	0.16
21	0.34	0.00018	0.006	0.00022	0.16	0.047	0.23	0.22	0	0.11
22	0.33	0.00022	0.0079	0.00026	0.18	0.049	0.22	0.21	0	0.11
23	0.15	0	0.028	0	0.71	0.087	0.018	0.00022	4	0.071
24	0.3	0.00022	0.00072	0.00026	0.05	0.028	0.27	0.34	7	0.16
25	0.034	0	0.1	0	0.82	0.041	0.0021	9.6e-06	4	0.071
26	0.3	0.00047	0.016	0.00055	0.23	0.049	0.19	0.21	0	0.11
27	0.028	0.0032	0	0.0037	6.4e-05	0.00041	0.1	0.86	7	0.16
28	0.02	0.00012	0	0.00014	2.9e-06	0.00011	0.12	0.86	7	0.16
29	0.24	0.0018	0.0015	0.0021	0.057	0.024	0.23	0.45	7	0.16
30	0.21	0	0.031	0	0.63	0.087	0.04	0.0019	4	0.071
31	0.025	0	0.2	0	0.75	0.028	0.0019	2.2e-05	4	0.071
32	0.45	1.2e-06	0.0031	1.5e-06	0.18	0.069	0.22	0.069	0	0.11
33	0.34	5.1e-05	0.015	6e-05	0.28	0.061	0.18	0.12	0	0.11
34	0.38	4e-05	0.00089	4.7e-05	0.07	0.038	0.29	0.23	0	0.11
35	0.46	2.2e-06	0.0012	2.5e-06	0.11	0.056	0.27	0.1	0	0.11
36	0.38	3.7e-05	0.00092	4.4e-05	0.072	0.039	0.29	0.22	0	0.11
37	0.14	0	0.087	0	0.68	0.061	0.031	0.0032	4	0.071
38	0.46	0	6.3e-05	0	0.026	0.033	0.35	0.13	0	0.11
39	0.46	0	0.0039	0	0.29	0.098	0.14	0.012	0	0.11
40	0.38	0	2.7e-06	0	0.0047	0.015	0.41	0.19	6	0.12
41	0.006	0.063	0	0.073	9.2e-06	6.6e-05	0.033	0.83	7	0.16
42	0.061	0.05	8.9e-05	0.059	0.0052	0.0035	0.1	0.72	7	0.16
43	0.11	0.0079	9.5e-05	0.0093	0.0084	0.0066	0.17	0.68	7	0.16
44	0.37	0	0.0029	0	0.44	0.14	0.044	0.00026	4	0.071
45	0.15	0.013	0.0011	0.016	0.034	0.013	0.17	0.6	7	0.16
46	0.21	0.0032	0.0015	0.0037	0.052	0.021	0.21	0.49	7	0.16
47	5.2e-06	0.38	0	0.44	0	0	0.00028	0.18	3	0.24
48	0.0013	0.019	0	0.023	0	3.4e-06	0.018	0.94	7	0.16
49	0.18	0.014	0.0066	0.017	0.093	0.023	0.17	0.49	7	0.16
50	0.39	6.2e-06	0.0089	7.2e-06	0.26	0.069	0.19	0.078	0	0.11
51	0.09	0.01	4.2e-05	0.012	0.0048	0.0046	0.15	0.73	7	0.16
52	0.0011	0.0048	0	0.0056	0	1.9e-06	0.019	0.97	7	0.16
53	0.49	0	2.1e-05	0	0.017	0.031	0.36	0.099	0	0.11
54	0.0051	0.0074	0	0.0086	1e-06	2.6e-05	0.04	0.94	7	0.16
55	0.51	0	0.0019	0	0.2	0.086	0.19	0.022	0	0.11
56	0.0048	0.0066	0	0.0077	0	2.3e-05	0.039	0.94	7	0.16
57	0.35	6.1e-05	0.00046	7.1e-05	0.046	0.03	0.3	0.28	0	0.11
58	0.16	0.01	0.0014	0.012	0.041	0.015	0.18	0.57	7	0.16
59	0.4	3e-06	0.0084	3.5e-06	0.27	0.073	0.18	0.064	0	0.11
60	0.17	0.014	0.0028	0.016	0.058	0.018	0.17	0.55	7	0.16
61	0.11	0	0.084	0	0.73	0.06	0.017	0.00079	4	0.071
62	0.0002	0.0033	0	0.0039	0	0	0.0081	0.98	7	0.16
63	0.039	0.0015	0	0.0017	9.8e-05	0.00061	0.13	0.83	7	0.16
64	0.49	0	0.0027	0	0.22	0.085	0.18	0.026	0	0.11
