SNV	cluster0	cluster1	cluster2	cluster	dcf0
0	0.0011	1	0	1	0.16
1	0.1	0.9	0.0029	1	0.16
2	0.0053	0.99	0	1	0.16
3	0.0077	0	0.99	2	0.071
4	0.66	0.27	0.062	0	0.11
5	0.24	0.72	0.039	1	0.16
6	0.21	0.79	5.1e-06	1	0.16
7	0.28	0.68	0.044	1	0.16
8	0.0035	1	0	1	0.16
9	0.69	0.23	0.073	0	0.11
10	0.0004	1	0	1	0.16
11	0.33	0.66	0.014	1	0.16
12	0.41	0.051	0.53	2	0.071
13	0.0015	1	0	1	0.16
14	0.18	0.8	0.02	1	0.16
15	0.66	0.34	0.001	0	0.11
16	0.59	0.16	0.26	0	0.11
17	0.085	0.91	4.4e-06	1	0.16
18	0.044	4.4e-05	0.96	2	0.071
19	0.48	0.21	0.31	0	0.11
20	0.11	0.88	0.0018	1	0.16
21	0.53	0.27	0.2	0	0.11
22	0.51	0.26	0.23	0	0.11
23	0.21	0.00024	0.79	2	0.071
24	0.5	0.44	0.065	0	0.11
25	0.05	1.1e-05	0.95	2	0.071
26	0.46	0.26	0.29	0	0.11
27	0.04	0.96	7.3e-05	1	0.16
28	0.029	0.97	3.4e-06	1	0.16
29	0.37	0.55	0.072	1	0.16
30	0.3	0.0021	0.7	2	0.071
31	0.04	2.8e-05	0.96	2	0.071
32	0.7	0.082	0.22	0	0.11
33	0.52	0.15	0.34	0	0.11
34	0.62	0.29	0.091	0	0.11
35	0.73	0.13	0.14	0	0.11
36	0.62	0.29	0.094	0	0.11
37	0.2	0.0037	0.79	2	0.071
38	0.79	0.18	0.035	0	0.11
39	0.66	0.013	0.33	0	0.11
40	0.71	0.28	0.007	0	0.11
41	0.0092	0.99	1.1e-05	1	0.16
42	0.098	0.9	0.0066	1	0.16
43	0.17	0.82	0.01	1	0.16
44	0.51	0.00028	0.49	0	0.11
45	0.23	0.73	0.041	1	0.16
46	0.33	0.6	0.065	1	0.16
47	3.7e-05	1	0	1	0.16
48	0.0017	1	0	1	0.16
49	0.28	0.6	0.12	1	0.16
50	0.59	0.093	0.32	0	0.11
51	0.14	0.86	0.0057	1	0.16
52	0.0015	1	0	1	0.16
53	0.84	0.13	0.023	0	0.11
54	0.0068	0.99	1.1e-06	1	0.16
55	0.74	0.025	0.23	0	0.11
56	0.0064	0.99	0	1	0.16
57	0.57	0.37	0.061	0	0.11
58	0.25	0.7	0.05	1	0.16
59	0.6	0.076	0.32	0	0.11
60	0.26	0.67	0.071	1	0.16
61	0.16	0.00089	0.84	2	0.071
62	0.00026	1	0	1	0.16
63	0.056	0.94	0.00011	1	0.16
64	0.72	0.03	0.25	0	0.11
65	0.00084	1	0	1	0.16
66	0.27	0.73	0.002	1	0.16
67	0.98	0.016	0.006	0	0.11
68	0.0021	1	0	1	0.16
69	0.00021	1	0	1	0.16
70	0.76	0.24	4.7e-05	0	0.11
71	0.0021	1	0	1	0.16
72	0.0051	0.99	1e-06	1	0.16
73	0.095	0.00012	0.9	2	0.071
74	0.37	0.025	0.61	2	0.071
75	0.11	0.0021	0.89	2	0.071
76	0.013	0	0.99	2	0.071
77	0.16	0.00074	0.84	2	0.071
78	0.46	0.012	0.53	2	0.071
79	0.18	0.81	0.0099	1	0.16
80	0.032	0.97	9.1e-06	1	0.16
81	0.67	0.003	0.33	0	0.11
82	0.066	3.3e-05	0.93	2	0.071
83	0.0017	1	0	1	0.16
84	0.53	0.012	0.46	0	0.11
85	0.3	0.015	0.68	2	0.071
86	0.28	0.69	0.028	1	0.16
87	0.67	0.32	0.0042	0	0.11
88	0.81	0.099	0.094	0	0.11
89	0.89	0.098	0.012	0	0.11
90	0.61	0.083	0.31	0	0.11
91	0.038	6.8e-06	0.96	2	0.071
92	0.14	0.85	0.0046	1	0.16
93	0.0025	1	1.5e-06	1	0.16
94	0.22	0.78	0.00044	1	0.16
95	0.081	0.92	0.00043	1	0.16
96	0.5	0.47	0.024	0	0.11
97	0.86	0.05	0.092	0	0.11
98	0.022	0.98	9.6e-05	1	0.16
99	0.2	0.79	0.0097	1	0.16
100	0.15	0.84	0.014	1	0.16
101	0.63	0.059	0.31	0	0.11
102	0.9	0.039	0.058	0	0.11
103	0.45	0.54	0.0067	1	0.16
104	0.0038	1	0	1	0.16
105	0.17	0.82	0.0032	1	0.16
106	0.0087	0.99	1.1e-06	1	0.16
107	0.27	0.73	0.0021	1	0.16
108	0.76	0.0023	0.24	0	0.11
109	0.068	0.93	0.00021	1	0.16
110	0.74	0.18	0.072	0	0.11
111	0.69	0.012	0.3	0	0.11
112	0.19	0.00053	0.81	2	0.071
113	0.25	0.00059	0.75	2	0.071
114	0.037	0.96	0.00017	1	0.16
115	0.71	0.08	0.21	0	0.11
116	0.12	7.1e-05	0.88	2	0.071
117	0.52	0.016	0.46	0	0.11
118	0.33	0.63	0.04	1	0.16
119	0.41	0.023	0.57	2	0.071
120	0.11	0.00027	0.89	2	0.071
121	0.51	0.49	0.0032	0	0.11
122	0.043	0.96	6.4e-06	1	0.16
123	0.4	0.54	0.062	1	0.16
124	0.99	0.0072	0.0022	0	0.11
125	0.28	0.019	0.7	2	0.071
126	0.11	3.9e-06	0.89	2	0.071
127	0.041	0.96	3.4e-06	1	0.16
128	0.0024	0	1	2	0.071
129	0.58	0.19	0.23	0	0.11
130	0.78	0.023	0.2	0	0.11
131	0.082	9.8e-05	0.92	2	0.071
132	0.074	5.9e-05	0.93	2	0.071
133	0.001	0	1	2	0.071
134	0.37	0.58	0.045	1	0.16
135	0.0021	1	0	1	0.16
136	0.0019	1	0	1	0.16
137	0.026	2.3e-05	0.97	2	0.071
138	0.61	0.38	0.0069	0	0.11
139	0.44	0.22	0.34	0	0.11
140	0.67	0.31	0.025	0	0.11
141	0.46	0.19	0.35	0	0.11
142	0.46	0.54	0.0004	1	0.16
143	0.6	0.4	0.00044	0	0.11
144	0.32	0.59	0.082	1	0.16
145	0.61	0.38	0.014	0	0.11
146	0.24	0.75	0.01	1	0.16
147	0.47	0.053	0.48	2	0.071
148	0.15	0.002	0.84	2	0.071
149	0.011	0.99	4.7e-06	1	0.16
150	0.077	0.92	0.00069	1	0.16
151	0.017	0	0.98	2	0.071
152	0.01	0.99	0	1	0.16
153	0.82	0.17	0.0095	0	0.11
154	0.36	0.49	0.15	1	0.16
155	0.12	0.87	0.0056	1	0.16
156	0.31	0.69	0.0041	1	0.16
157	0.35	0.55	0.097	1	0.16
158	0.018	0.98	1.6e-06	1	0.16
159	0.18	0.78	0.04	1	0.16
160	0.62	0.21	0.17	0	0.11
161	0	1	0	1	0.16
162	0.12	2.5e-05	0.88	2	0.071
163	0.076	0.00083	0.92	2	0.071
164	0.068	0	0.93	2	0.071
165	0.36	0.64	2.2e-06	1	0.16
166	2.1e-05	1	0.00079	1	0.16
167	0.021	0.98	1.3e-05	1	0.16
168	0	1	0	1	0.16
169	0.44	0.51	0.048	1	0.16
170	0.46	0.2	0.34	0	0.11
171	0.54	0.46	0.0018	0	0.11
172	0.29	0.71	0.0016	1	0.16
173	4.2e-05	1	0	1	0.16
174	0.033	0.97	0.00025	1	0.16
175	0.0039	1	0	1	0.16
176	0.26	0.74	0.0033	1	0.16
177	0.54	0.29	0.17	0	0.11
178	0.013	0.99	3.1e-05	1	0.16
179	0.062	0.94	0.00024	1	0.16
180	0.0085	0.99	3.1e-05	1	0.16
181	0.064	0.93	0.0013	1	0.16
182	0.03	0.97	0.00044	1	0.16
183	0.6	0.35	0.05	0	0.11
184	0.3	0.68	0.025	1	0.16
185	5.1e-06	1	0	1	0.16
186	0.52	0.04	0.44	0	0.11
187	0.096	0.9	7.9e-05	1	0.16
188	0.27	0.73	0.0036	1	0.16
189	0.81	0.15	0.048	0	0.11
190	0.72	0.14	0.14	0	0.11
191	0.33	0.67	0.00064	1	0.16
192	0.22	0.73	0.056	1	0.16
193	0.0023	1	0	1	0.16
194	0.95	0.027	0.02	0	0.11
195	0.46	0.42	0.12	0	0.11
196	0.45	0.42	0.13	0	0.11
197	0.41	0.49	0.1	1	0.16
198	0.4	0.6	0.0019	1	0.16
199	0.00056	1	0	1	0.16
200	0.85	0.058	0.094	0	0.11
201	0.89	0.04	0.07	0	0.11
202	0.2	0.0021	0.8	2	0.071
203	0.31	0.57	0.12	1	0.16
204	0.012	0	0.99	2	0.071
205	0.17	0.79	0.04	1	0.16
206	0.00093	1	0	1	0.16
207	0.0083	0	0.99	2	0.071
208	0.013	0	0.99	2	0.071
209	0.035	1.5e-05	0.97	2	0.071
210	0.33	0.62	0.052	1	0.16
211	0.17	0	0.83	2	0.071
212	0.19	0.0021	0.8	2	0.071
213	0.93	0.069	0.0058	0	0.11
214	0.05	0.95	0.00067	1	0.16
215	0.21	0.79	0.00071	1	0.16
216	0.72	0.13	0.15	0	0.11
217	0.014	0	0.99	2	0.071
218	0.076	2.2e-05	0.92	2	0.071
219	0.033	0.97	3.5e-05	1	0.16
220	0.0059	0.99	0	1	0.16
221	0.052	0.95	0.00027	1	0.16
222	0.0006	1	0	1	0.16
223	0	1	0	1	0.16
224	0.036	0.96	0.00029	1	0.16
225	0.047	0.95	0.0011	1	0.16
226	0.23	0.75	0.023	1	0.16
227	0.53	0.47	3.3e-05	0	0.11
228	0.74	0.24	0.017	0	0.11
229	0.21	0.00038	0.79	2	0.071
230	0.58	0.27	0.15	0	0.11
231	0.55	0.36	0.087	0	0.11
232	0.44	0.34	0.22	0	0.11
233	0.62	0.002	0.38	0	0.11
234	0.23	0.76	0.01	1	0.16
235	0.82	0.18	0.0026	0	0.11
236	0.037	1.2e-05	0.96	2	0.071
237	0.36	0.57	0.074	1	0.16
238	0.13	0.00011	0.87	2	0.071
239	0.011	0	0.99	2	0.071
240	0.33	0.0052	0.67	2	0.071
241	0.015	3.1e-06	0.99	2	0.071
242	0.0012	0	1	2	0.071
243	0.037	0	0.96	2	0.071
244	0.39	0.33	0.28	0	0.11
245	0.0004	0	1	2	0.071
246	0.19	0.00019	0.81	2	0.071
247	0.051	4.2e-05	0.95	2	0.071
248	0.088	1.3e-05	0.91	2	0.071
249	0.061	0.00038	0.94	2	0.071
250	0.27	0.00019	0.73	2	0.071
251	0.011	0	0.99	2	0.071
252	0.15	0.0036	0.84	2	0.071
253	0.028	8.7e-06	0.97	2	0.071
254	0.16	0.83	0.01	1	0.16
255	0.47	0.37	0.15	0	0.11
256	0.5	0.053	0.45	0	0.11
257	0.14	0.84	0.023	1	0.16
258	0.27	0.0063	0.73	2	0.071
259	0.84	0.052	0.11	0	0.11
260	0.17	0.0026	0.83	2	0.071
261	0.45	0.29	0.26	0	0.11
262	0.21	0.0037	0.79	2	0.071
263	0.11	0.00082	0.89	2	0.071
264	0.39	0.003	0.61	2	0.071
265	0.0049	0	1	2	0.071
266	0.55	0.025	0.42	0	0.11
267	0.003	0	1	2	0.071
268	0.076	0.00028	0.92	2	0.071
269	0.26	0.006	0.73	2	0.071
270	0.29	0.7	0.017	1	0.16
271	0.026	0.97	8.5e-05	1	0.16
272	0.49	0.29	0.22	0	0.11
273	0.23	0.73	0.046	1	0.16
274	0.84	0.15	0.01	0	0.11
275	0.97	0.016	0.011	0	0.11
276	0.48	0.41	0.11	0	0.11
277	0.37	0.63	0.0038	1	0.16
278	0.11	0.89	1.8e-05	1	0.16
279	0.43	0.54	0.029	1	0.16
280	0.11	0.89	0.00016	1	0.16
281	0.14	0.84	0.015	1	0.16
282	0.5	0.15	0.35	0	0.11
283	0.067	0.00026	0.93	2	0.071
284	0.15	0.84	0.012	1	0.16
