SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	1.1e-05	0	0	0.012	0	0	8	0.35	0.13	0.15
1	0.99	0	0	0.0011	0	0.00065	0.00015	0	0.00066	0	0	0.0058	0	0	2.4e-05	0	0	0	0	0.00085	0	0.58	0.29	0.23
2	8.9e-06	0.0051	0	0.00032	0	4.3e-06	0.0018	0	0.94	0	0.00037	0.00024	0	0.001	0.015	0	0.00017	0.036	0	2.6e-05	8	0.35	0.13	0.15
3	0.001	0.063	0	0.039	0	8.6e-05	0.082	0	0.62	0	0.0013	0.0023	0	0.00063	0.15	0	0.036	0.0034	0	0.0085	8	0.35	0.13	0.15
4	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0.014	0	0	8	0.35	0.13	0.15
5	0	0	0	0	0	0	0	0	2.3e-06	0.34	0	0	0	0.66	0	0	0	4.7e-06	0	0	13	0.16	0.13	0.017
6	0	0.0038	0	0	0	0	2.7e-06	0	0.99	0	0	0	0	0	2.6e-05	0	5.6e-05	0.0066	0	0	8	0.35	0.13	0.15
7	0	8.8e-05	0	0	0	0	1.5e-05	0	0.055	0	2e-06	4.2e-06	0	0.93	0.00036	0	1e-06	0.012	0	0	13	0.16	0.13	0.017
8	0.85	6e-06	0	0.0025	0	4.4e-06	0.0054	0	0.0045	0	0.012	0.0093	0	0	0.11	3.5e-06	0	0	0	0.0049	0	0.58	0.29	0.23
9	0.12	0.036	0	0.18	0	7.4e-06	0.25	0	0.11	0	0.01	0.042	0	0	0.2	0	0	0	0	0.052	6	0.45	0.21	0.23
10	0	2.2e-05	0	0	0	0	9.2e-06	0	0.53	0	5.8e-06	0	0	0.048	0.0011	0	5.4e-06	0.42	0	0	8	0.35	0.13	0.15
11	0	5.8e-05	0	0	0	0	3.3e-05	0	0.96	0	3.6e-06	0	0	0	0.002	0	6.4e-06	0.034	0	0	8	0.35	0.13	0.15
12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.13	0
13	0	6.2e-06	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0	0	0.026	0	0	8	0.35	0.13	0.15
14	0	0	0	0	0	0	0	0	0.32	0	3.7e-06	0	0	0	0.0034	0	0	0.68	0	0	17	0.23	0.13	0.15
15	0	0.011	0	0.00011	0	0	0.00091	0	0.98	0	3.5e-05	9.8e-06	0	0	0.0036	0	0	0	0	2.7e-05	8	0.35	0.13	0.15
16	3.5e-06	0.0069	0	0.0014	0	0	0.011	0	0.94	0	0.00044	0.00032	0	0	0.034	0	0.0011	0.00051	0	4.2e-05	8	0.35	0.13	0.15
17	0.0049	0.0093	0	0.008	0	1.3e-05	0.015	0	0.86	0	0.0079	0.007	0	0	0.04	0	0.0032	0.043	0	0.0025	8	0.35	0.13	0.15
18	0	0.0013	0	6.2e-06	0	0	0.00014	0	1	0	0	7.4e-06	0	0	0.00094	0	0	0.00017	0	0	8	0.35	0.13	0.15
19	0	0.0029	0	0.00018	0	0	0.002	0	0.98	0	4.6e-05	2.1e-05	0	0	0.012	0	0.0012	0.0018	0	4.4e-06	8	0.35	0.13	0.15
20	0	6.6e-06	0	3.4e-05	0	0	0.041	0	0.51	0	4e-05	0	0	0	0.44	0	0.0022	0	0	0	8	0.35	0.13	0.15
21	0	0.0031	0	0.0001	0	0	0.00099	0	0.98	0	0.00012	1.7e-05	0	0	0.0058	0	0.0032	0.0026	0	3.1e-06	8	0.35	0.13	0.15
22	0	3.9e-06	0	0	0	0	5.6e-05	0	0.98	0	1.6e-05	0	0	0	0.0008	0	0.021	5.4e-06	0	0	8	0.35	0.13	0.15
23	0.36	0.015	0	0.069	0	0	0.00021	0	0.067	0	0.00013	0	0	0	1.6e-05	0	0	0	0	0.49	19	0.58	0.21	0.23
24	0.0003	0.02	0	0.0091	0	0	0.021	0	0.91	0	0.0026	0.0011	0	0	0.026	0	0.012	0.0012	0	0.0014	8	0.35	0.13	0.15
25	0	0.00011	0	0	0	0	5.6e-06	0	0.67	0	0	0	0	0.022	0.00031	0	1.3e-05	0.31	0	0	8	0.35	0.13	0.15
26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.35	0.13	0.15
27	0	0	0	0	0	0	0	0	0.66	0	0	0	0	0	5.9e-05	0	0	0.34	0	0	8	0.35	0.13	0.15
28	3.5e-06	0.00023	0	0.00011	0	0	0.0022	0	0.86	0	0.0011	0.0027	0	0	0.076	0	1.2e-05	0.054	0	0	8	0.35	0.13	0.15
29	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0.00017	0	0	0	0.86	0	0	17	0.23	0.13	0.15
30	0.0087	0.042	0	0.037	0	8.5e-05	0.083	0	0.69	0	0.0037	0.027	0	0	0.1	0	0.00041	0.00087	0	0.006	8	0.35	0.13	0.15
31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9.2e-06	0.0042	0	0	8	0.35	0.13	0.15
32	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0.99	0	0	17	0.23	0.13	0.15
33	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.6e-05	0	0	9	0.12	0	0.15
34	0	0	0	0	0	0	0	0	0.19	0.00043	0	0	0	0.022	0	0	0	0.79	0	0	17	0.23	0.13	0.15
35	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0.5	0	0	0	0.47	0	0	13	0.16	0.13	0.017
36	0	0	0	0	0	0	0	0	0	1	0	0	0	0.00059	0	0	0	3.3e-06	0	0	9	0.12	0	0.15
37	0	5.6e-05	0	0	0	0	3.2e-06	0	0.84	0	0	0	0	0	0.00024	0	1.2e-05	0.16	0	0	8	0.35	0.13	0.15
38	0.096	0.016	0	0.054	0	0	0.091	0	0.44	0	0.04	0.13	0	0	0.12	0	0	0.002	0	0.015	8	0.35	0.13	0.15
39	0.0027	0.011	0	0.00019	0	0	0.00029	0	0.98	0	0.00092	1.1e-05	0	0	0.0034	0	0	0	0	0.00088	8	0.35	0.13	0.15
40	0	0	0	0	0	0	1.1e-05	0	0.96	0	0	0	0	0	0.039	0	0	0.0013	0	0	8	0.35	0.13	0.15
41	0.17	0.0052	0	0.031	0	0	0.08	0	0.067	0	0.03	0.46	0	0	0.15	2.4e-05	0	0	0	0.0075	11	0.42	0.29	0.23
42	0.031	0.0045	0	0.19	0	0	0.38	0	0.18	0	0.015	0.11	0	0	0.076	0	0	0	0	0.017	6	0.45	0.21	0.23
43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.12	0	0.15
44	0.027	0.0063	0	0.00036	0	0	0.0031	0	0.91	0	0.023	3.4e-05	0	0	0.014	0	0	0	0	0.012	8	0.35	0.13	0.15
45	0.025	0.22	0	0.022	0	0	0.0062	0	0.69	0	0.00061	0.00048	0	0	0.0058	0	3.9e-06	0	0	0.022	8	0.35	0.13	0.15
46	0.37	0.022	0	0.0062	0	0	9.5e-05	0	0.55	0	0.01	7.7e-06	0	0	0.0046	0	0	0	0	0.036	8	0.35	0.13	0.15
47	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0.93	0	0	17	0.23	0.13	0.15
48	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0.99	0	0	0	2.5e-05	0	0	13	0.16	0.13	0.017
49	0	0	0	0	0	0	3.3e-05	0	0.13	0	0.00085	8.4e-05	0	0	0.031	0	0	0.84	0	0	17	0.23	0.13	0.15
50	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0.011	0	0	8	0.35	0.13	0.15
51	0.49	0.031	0	0.00075	0	0	0	0	0.31	0	0.16	0	0	0	0.00023	0	0	0	0	0.012	0	0.58	0.29	0.23
52	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0.00035	0	0	0.76	0	0	17	0.23	0.13	0.15
53	2.1e-05	0.0024	0	6.3e-06	0	0	0.00016	0	0.89	0	0.1	8.2e-06	0	0	0.00087	0	0	0	0	0	8	0.35	0.13	0.15
54	0.00016	0.057	0	0.001	0	0.00014	0.0016	0	0.92	0	6.3e-05	0.00018	0	6.4e-05	0.003	0	0.0024	0.019	0	0.00033	8	0.35	0.13	0.15
55	2.3e-05	0.026	0	0.00028	0	0	0.00033	0	0.97	0	0.00012	4.4e-06	0	0	0.004	0	0	0	0	0.00077	8	0.35	0.13	0.15
56	0	2.6e-05	0	0.00044	0	0	0.028	0	0.26	0	0.0045	0.0033	0	0	0.7	0	2.4e-05	0.00012	0	0	14	0.35	0.21	0.23
