SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.35	0.13	0.15
1	1	0	0.35	0.13	0.15
2	1	0	0.35	0.13	0.15
3	1	0	0.35	0.13	0.15
4	1	0	0.35	0.13	0.15
5	1	0	0.35	0.13	0.15
6	1	0	0.35	0.13	0.15
7	1	0	0.35	0.13	0.15
8	1	0	0.35	0.13	0.15
9	1	0	0.35	0.13	0.15
10	1	0	0.35	0.13	0.15
11	1	0	0.35	0.13	0.15
12	1	0	0.35	0.13	0.15
13	1	0	0.35	0.13	0.15
14	1	0	0.35	0.13	0.15
15	1	0	0.35	0.13	0.15
16	1	0	0.35	0.13	0.15
17	1	0	0.35	0.13	0.15
18	1	0	0.35	0.13	0.15
19	1	0	0.35	0.13	0.15
20	1	0	0.35	0.13	0.15
21	1	0	0.35	0.13	0.15
22	1	0	0.35	0.13	0.15
23	1	0	0.35	0.13	0.15
24	1	0	0.35	0.13	0.15
25	1	0	0.35	0.13	0.15
26	1	0	0.35	0.13	0.15
27	1	0	0.35	0.13	0.15
28	1	0	0.35	0.13	0.15
29	1	0	0.35	0.13	0.15
30	1	0	0.35	0.13	0.15
31	1	0	0.35	0.13	0.15
32	1	0	0.35	0.13	0.15
33	1	0	0.35	0.13	0.15
34	1	0	0.35	0.13	0.15
35	1	0	0.35	0.13	0.15
36	1	0	0.35	0.13	0.15
37	1	0	0.35	0.13	0.15
38	1	0	0.35	0.13	0.15
39	1	0	0.35	0.13	0.15
40	1	0	0.35	0.13	0.15
41	1	0	0.35	0.13	0.15
42	1	0	0.35	0.13	0.15
43	1	0	0.35	0.13	0.15
44	1	0	0.35	0.13	0.15
45	1	0	0.35	0.13	0.15
46	1	0	0.35	0.13	0.15
47	1	0	0.35	0.13	0.15
48	1	0	0.35	0.13	0.15
49	1	0	0.35	0.13	0.15
50	1	0	0.35	0.13	0.15
51	1	0	0.35	0.13	0.15
52	1	0	0.35	0.13	0.15
53	1	0	0.35	0.13	0.15
54	1	0	0.35	0.13	0.15
55	1	0	0.35	0.13	0.15
56	1	0	0.35	0.13	0.15
57	1	0	0.35	0.13	0.15
58	1	0	0.35	0.13	0.15
59	1	0	0.35	0.13	0.15
60	1	0	0.35	0.13	0.15
61	1	0	0.35	0.13	0.15
62	1	0	0.35	0.13	0.15
63	1	0	0.35	0.13	0.15
64	1	0	0.35	0.13	0.15
65	1	0	0.35	0.13	0.15
66	1	0	0.35	0.13	0.15
67	1	0	0.35	0.13	0.15
68	1	0	0.35	0.13	0.15
69	1	0	0.35	0.13	0.15
70	1	0	0.35	0.13	0.15
71	1	0	0.35	0.13	0.15
72	1	0	0.35	0.13	0.15
73	1	0	0.35	0.13	0.15
74	1	0	0.35	0.13	0.15
75	1	0	0.35	0.13	0.15
76	1	0	0.35	0.13	0.15
77	1	0	0.35	0.13	0.15
78	1	0	0.35	0.13	0.15
79	1	0	0.35	0.13	0.15
80	1	0	0.35	0.13	0.15
81	1	0	0.35	0.13	0.15
82	1	0	0.35	0.13	0.15
83	1	0	0.35	0.13	0.15
84	1	0	0.35	0.13	0.15
85	1	0	0.35	0.13	0.15
86	1	0	0.35	0.13	0.15
87	1	0	0.35	0.13	0.15
88	1	0	0.35	0.13	0.15
89	1	0	0.35	0.13	0.15
90	1	0	0.35	0.13	0.15
91	1	0	0.35	0.13	0.15
92	1	0	0.35	0.13	0.15
93	1	0	0.35	0.13	0.15
94	1	0	0.35	0.13	0.15
95	1	0	0.35	0.13	0.15
96	1	0	0.35	0.13	0.15
97	1	0	0.35	0.13	0.15
98	1	0	0.35	0.13	0.15
99	1	0	0.35	0.13	0.15
100	1	0	0.35	0.13	0.15
101	1	0	0.35	0.13	0.15
102	1	0	0.35	0.13	0.15
103	1	0	0.35	0.13	0.15
104	1	0	0.35	0.13	0.15
105	1	0	0.35	0.13	0.15
106	1	0	0.35	0.13	0.15
107	1	0	0.35	0.13	0.15
108	1	0	0.35	0.13	0.15
109	1	0	0.35	0.13	0.15
110	1	0	0.35	0.13	0.15
111	1	0	0.35	0.13	0.15
112	1	0	0.35	0.13	0.15
113	1	0	0.35	0.13	0.15
114	1	0	0.35	0.13	0.15
115	1	0	0.35	0.13	0.15
116	1	0	0.35	0.13	0.15
117	1	0	0.35	0.13	0.15
118	1	0	0.35	0.13	0.15
