k	loglikelihood	observations	parameters	BIC
1	-31586.9	39882	6	63237.4
2	-24570.1	39882	9	49235.6
3	-22987.9	39882	12	46103
4	-20772.1	39882	15	41703.1
5	-19579.8	39882	18	39350.3
6	-18547.1	39882	21	37316.7
7	-19035.9	39882	24	38326
8	-19317.9	39882	27	38921.8
9	-18483.3	39882	30	37284.4
10	-17559.9	39882	33	35469.4
11	-18288.8	39882	36	36959
12	-18800.6	39882	39	38014.4
13	-17885.6	39882	42	36216
14	-17387	39882	45	35250.8
15	-18181.1	39882	48	36870.7
16	-17420.9	39882	51	35382
17	-17723.2	39882	54	36018.4
18	-17899.7	39882	57	36403.2
19	-17389.1	39882	60	35413.8
20	-17785.8	39882	63	36239
