SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	0	1	0	0	0	1	0.35	0.13	0.15
1	0.0019	0.00074	0	1	0	3	0.58	0.29	0.23
2	0.0028	1	4.7e-05	8.6e-06	0	1	0.35	0.13	0.15
3	0.24	0.76	1.3e-05	0.0011	0	1	0.35	0.13	0.15
4	0	1	0	0	0	1	0.35	0.13	0.15
5	0	1.9e-05	1	0	0	2	0.12	0.13	0.017
6	3.1e-06	1	0	0	0	1	0.35	0.13	0.15
7	6.5e-05	0.22	0.78	0	0	2	0.12	0.13	0.017
8	0.0098	0.0057	0	0.98	0	3	0.58	0.29	0.23
9	0.78	0.11	0	0.11	0	0	0.48	0.21	0.23
10	1e-05	0.99	0.0063	0	0	1	0.35	0.13	0.15
11	1.8e-05	1	0	0	0	1	0.35	0.13	0.15
12	0	0	0	0	1	4	0	0	0.083
13	0	1	0	0	0	1	0.35	0.13	0.15
14	0	1	0	0	0	1	0.35	0.13	0.15
15	0.0012	1	0	0	0	1	0.35	0.13	0.15
16	0.015	0.98	0	3.3e-06	0	1	0.35	0.13	0.15
17	0.041	0.95	0	0.0049	0	1	0.35	0.13	0.15
18	0.00012	1	0	0	0	1	0.35	0.13	0.15
19	0.0023	1	0	0	0	1	0.35	0.13	0.15
20	0.012	0.99	0	0	0	1	0.35	0.13	0.15
21	0.0012	1	0	0	0	1	0.35	0.13	0.15
22	2.2e-05	1	0	0	0	1	0.35	0.13	0.15
23	0.049	0.16	0	0.79	0	3	0.58	0.29	0.23
24	0.053	0.95	0	0.00028	0	1	0.35	0.13	0.15
25	6.4e-06	1	0.0026	0	0	1	0.35	0.13	0.15
26	0	1	0	0	0	1	0.35	0.13	0.15
27	0	1	0	0	0	1	0.35	0.13	0.15
28	0.002	1	0	3.6e-06	0	1	0.35	0.13	0.15
29	0	1	0	0	0	1	0.35	0.13	0.15
30	0.22	0.77	0	0.0088	0	1	0.35	0.13	0.15
31	0	1	0	0	0	1	0.35	0.13	0.15
32	0	1	0	0	0	1	0.35	0.13	0.15
33	0	0.68	0.32	0	0	1	0.35	0.13	0.15
34	0	1	0.0016	0	0	1	0.35	0.13	0.15
35	0	0.6	0.4	0	0	1	0.35	0.13	0.15
36	0	0	1	0	0	2	0.12	0.13	0.017
37	0	1	0	0	0	1	0.35	0.13	0.15
38	0.32	0.57	0	0.11	0	1	0.35	0.13	0.15
39	0.00045	1	0	0.0025	0	1	0.35	0.13	0.15
40	0	1	0	0	0	1	0.35	0.13	0.15
41	0.44	0.17	0	0.39	0	0	0.48	0.21	0.23
42	0.84	0.14	0	0.022	0	0	0.48	0.21	0.23
43	0	1	6.3e-05	0	0	1	0.35	0.13	0.15
44	0.0038	0.97	0	0.026	0	1	0.35	0.13	0.15
45	0.057	0.91	0	0.03	0	1	0.35	0.13	0.15
46	0.0034	0.62	0	0.38	0	1	0.35	0.13	0.15
47	0	1	0	0	0	1	0.35	0.13	0.15
48	0	0	1	0	0	2	0.12	0.13	0.017
49	8.1e-05	1	0	0	0	1	0.35	0.13	0.15
50	0	1	0	0	0	1	0.35	0.13	0.15
51	0.00015	0.41	0	0.59	0	3	0.58	0.29	0.23
52	0	1	0	0	0	1	0.35	0.13	0.15
53	0.00015	1	0	2.1e-05	0	1	0.35	0.13	0.15
54	0.0048	1	4.8e-06	0.00016	0	1	0.35	0.13	0.15
55	0.00064	1	0	2.2e-05	0	1	0.35	0.13	0.15
56	0.052	0.95	0	0	0	1	0.35	0.13	0.15
57	0.00025	1	0	0	0	1	0.35	0.13	0.15
58	0.26	0.12	0	0.62	0	3	0.58	0.29	0.23
59	0	0	0	0	1	4	0	0	0.083
60	0.014	0.55	0	0.43	0	1	0.35	0.13	0.15
61	0	1	0	0	0	1	0.35	0.13	0.15
62	7e-05	1	0	0	0	1	0.35	0.13	0.15
63	0	1	0	0	0	1	0.35	0.13	0.15
64	0	1	8.7e-06	0	0	1	0.35	0.13	0.15
65	0.00064	1	0	0.0001	0	1	0.35	0.13	0.15
