SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1	dcf2
0	0	0	0	1	0	0	0.00028	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
1	0.0017	0.029	4.2e-05	0.00071	0	0.0003	6.3e-05	3.8e-05	0	0.00011	0.97	0	0	0	0	10	0.55	0.29	0.23
2	0.0011	0	0.0057	0.98	0.0012	0.00023	0.015	0	0	3.3e-05	2.3e-05	0	0	0	0.00024	3	0.35	0.13	0.15
3	0.0043	0	0.15	0.62	0.00066	0.0013	0.0051	0.00019	0	0.0039	0.0015	0	0	0	0.22	3	0.35	0.13	0.15
4	0	0	0	1	0	0	1.3e-05	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
5	0	0	0	3.3e-06	1	0	0	0	0	0	0	0	0	0	0	4	0.16	0.13	0.017
6	1.3e-05	0	9.9e-06	1	0	0	0.00066	0	0	0	0	0	0	0	4.7e-06	3	0.35	0.13	0.15
7	2e-05	0	6e-05	0.053	0.95	5.4e-06	0.0013	0	0	0	0	0	0	0	0	4	0.16	0.13	0.017
8	0.00058	0.25	0.037	0.0072	0	0.017	0.0012	0.0022	0	0.0004	0.68	0	0	0	2.8e-05	10	0.55	0.29	0.23
9	0.042	0.043	0.47	0.14	0	0.023	0.017	0.0085	0	0.023	0.098	0	0	0	0.13	2	0.42	0.21	0.23
10	0	0	0.00012	0.91	0.087	4.6e-06	0.003	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
11	0	0	0.00025	0.99	0	3.5e-06	0.0064	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.13	0
13	0	0	0	1	0	0	7.2e-05	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
14	0	0	0.00014	0.99	0	9.6e-06	0.0068	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
15	0.00045	0	0.0026	0.99	0	7.1e-06	0.0093	1.9e-05	0	1.1e-05	0	0	0	0	0.00023	3	0.35	0.13	0.15
16	0.00074	0	0.031	0.95	0	0.00022	0.015	0	0	0.00014	1.5e-05	0	0	0	0.0008	3	0.35	0.13	0.15
17	0.0036	5.1e-05	0.031	0.94	0	0.0049	0.0039	0.0014	0	0.00086	0.0065	0	0	0	0.012	3	0.35	0.13	0.15
18	0.0002	0	0.00056	0.96	0	6.2e-06	0.044	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
19	9e-05	0	0.0066	0.99	0	1.7e-05	0.0042	0	0	1.8e-05	0	0	0	0	0.00028	3	0.35	0.13	0.15
20	0	0	0.46	0.54	0	0	0.0023	0	0	3.5e-06	0	0	0	0	3.7e-06	3	0.35	0.13	0.15
21	5.2e-05	0	0.0033	0.99	0	1.5e-05	0.0019	0	0	1e-05	0	0	0	0	0.00036	3	0.35	0.13	0.15
22	0	0	0.0004	1	0	0	0	0	0	0	0	0	0	0	1.6e-05	3	0.35	0.13	0.15
23	1.3e-05	0	0	0.0066	0	0	0	0.95	0	0.00067	0.013	0	0	0	0.025	7	0.58	0.21	0.31
24	0.0021	0	0.039	0.93	0	0.00053	0.0029	0.00036	0	0.00092	0.00058	0	0	0	0.025	3	0.35	0.13	0.15
25	4.6e-06	0	4.8e-05	0.97	0.033	0	0.0018	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
26	0	0	0	1	0	0	2.3e-05	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
27	0	0	0	1	0	0	3.2e-05	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
28	6.8e-05	0	0.013	0.96	0	0.0044	0.021	0	0	1.1e-05	2.1e-05	0	0	0	1.5e-05	3	0.35	0.13	0.15
29	0	0	0	1	0.0013	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
30	0.033	7.5e-06	0.15	0.72	0	0.014	0.041	0.00057	0	0.0038	0.016	0	0	0	0.015	3	0.35	0.13	0.15
31	0	0	0	1	0	0	9.4e-06	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
33	0	0	0	0.98	0.021	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
34	0	0	0	0.89	0.11	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
35	0	0	0	0.061	0.94	0	3.7e-06	0	0	0	0	0	0	0	0	4	0.16	0.13	0.017
36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.16	0.13	0.017
37	0	0	2.7e-05	1	0	0	0.0009	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
38	0.024	0.0019	0.18	0.51	0	0.074	0.017	0.015	0	0.0062	0.15	0	0	0	0.019	3	0.35	0.13	0.15
39	0.0054	3.2e-05	0.001	0.97	0	1.1e-05	0.0077	0.011	0	1.4e-05	0.0009	0	0	0	0.0017	3	0.35	0.13	0.15
40	0	0	0.00053	0.99	0	0	0.0097	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
41	0.16	0.029	0.11	0.049	0	0.19	0.3	0.0097	0	0.0022	0.15	0	0	0	0.00015	6	0.38	0.21	0.15
42	0.0026	0	0.56	0.21	0	0.035	0.0014	0.01	0	0.022	0.096	0	0	0	0.068	2	0.42	0.21	0.23
43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
44	9e-05	0.001	0.01	0.93	0	2.6e-05	0.004	0.048	0	3.5e-05	0.0022	0	0	0	0.0022	3	0.35	0.13	0.15
45	0.035	8.8e-05	0.0046	0.76	0	9.5e-05	0.0024	0.092	0	0.0024	0.02	0	0	0	0.087	3	0.35	0.13	0.15
46	0.031	0.0032	0.00023	0.54	0	5.2e-06	0.0036	0.25	0	0.00061	0.13	0	0	0	0.038	3	0.35	0.13	0.15
47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.16	0.13	0.017
49	0	0	0.0041	0.99	0	0.0029	0.007	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
50	0	0	0	1	0	0	0.0013	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
51	0.0015	7.7e-06	0	0.014	0	0	9.3e-06	0.98	0	0	0.0062	0	0	0	0.0016	7	0.58	0.21	0.31
52	0	0	3.3e-05	1	0	0	0.0027	0	0	0	0	0	0	0	0	3	0.35	0.13	0.15
53	0.00065	2.9e-05	0.00058	0.84	0	6.2e-06	0.16	0.0022	0	0	0	0	0	0	0	3	0.35	0.13	0.15
54	0.0068	0	0.0031	0.98	7.2e-05	0.00011	0.0051	1.9e-05	0	0.00011	0.00021	0	0	0	0.0053	3	0.35	0.13	0.15
