SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0.39	0.35	0.2	0.4	0.17
1	1	0	0	0	0.39	0.35	0.2	0.4	0.17
2	1	0	0	0	0.39	0.35	0.2	0.4	0.17
3	0	0	1	2	0	0	0	0.089	0.076
4	1	0	0	0	0.39	0.35	0.2	0.4	0.17
5	1	0	0	0	0.39	0.35	0.2	0.4	0.17
6	1	0	0	0	0.39	0.35	0.2	0.4	0.17
7	1	0	0	0	0.39	0.35	0.2	0.4	0.17
8	0	1	0	1	0.13	0.12	0.044	0.13	0.019
9	0	1	0	1	0.13	0.12	0.044	0.13	0.019
10	1	0	0	0	0.39	0.35	0.2	0.4	0.17
11	1	0	0	0	0.39	0.35	0.2	0.4	0.17
12	1	0	0	0	0.39	0.35	0.2	0.4	0.17
13	1	0	0	0	0.39	0.35	0.2	0.4	0.17
14	0	1	0	1	0.13	0.12	0.044	0.13	0.019
15	1	0	0	0	0.39	0.35	0.2	0.4	0.17
16	1	0	0	0	0.39	0.35	0.2	0.4	0.17
17	1	0	0	0	0.39	0.35	0.2	0.4	0.17
18	1	0	0	0	0.39	0.35	0.2	0.4	0.17
19	1	0	0	0	0.39	0.35	0.2	0.4	0.17
20	0	1	0	1	0.13	0.12	0.044	0.13	0.019
21	1	0	1.4e-05	0	0.39	0.35	0.2	0.4	0.17
22	1	0	0	0	0.39	0.35	0.2	0.4	0.17
23	1	0	0	0	0.39	0.35	0.2	0.4	0.17
24	1	0	0	0	0.39	0.35	0.2	0.4	0.17
25	1	0	0	0	0.39	0.35	0.2	0.4	0.17
26	1	0	0	0	0.39	0.35	0.2	0.4	0.17
27	1	0	0	0	0.39	0.35	0.2	0.4	0.17
28	1	0	0	0	0.39	0.35	0.2	0.4	0.17
29	1	0	0	0	0.39	0.35	0.2	0.4	0.17
30	1	0	0	0	0.39	0.35	0.2	0.4	0.17
31	0	1	0	1	0.13	0.12	0.044	0.13	0.019
32	1	0	0.0006	0	0.39	0.35	0.2	0.4	0.17
33	1	0	0	0	0.39	0.35	0.2	0.4	0.17
34	1	0	0	0	0.39	0.35	0.2	0.4	0.17
35	1	0	0	0	0.39	0.35	0.2	0.4	0.17
36	1	0	0	0	0.39	0.35	0.2	0.4	0.17
37	1	0	0	0	0.39	0.35	0.2	0.4	0.17
38	0	1	0	1	0.13	0.12	0.044	0.13	0.019
39	1	0	0	0	0.39	0.35	0.2	0.4	0.17
40	1	0	0	0	0.39	0.35	0.2	0.4	0.17
41	1	0.00017	0	0	0.39	0.35	0.2	0.4	0.17
42	1.1e-05	1	0	1	0.13	0.12	0.044	0.13	0.019
43	1	0	0	0	0.39	0.35	0.2	0.4	0.17
44	1	0	0	0	0.39	0.35	0.2	0.4	0.17
45	1	0	0	0	0.39	0.35	0.2	0.4	0.17
46	1	0	0	0	0.39	0.35	0.2	0.4	0.17
47	1	0	0	0	0.39	0.35	0.2	0.4	0.17
48	1	0	0	0	0.39	0.35	0.2	0.4	0.17
49	1	0.00012	0	0	0.39	0.35	0.2	0.4	0.17
50	1	0	0	0	0.39	0.35	0.2	0.4	0.17
51	1	0	0	0	0.39	0.35	0.2	0.4	0.17
52	1	0	0	0	0.39	0.35	0.2	0.4	0.17
53	1	0	0	0	0.39	0.35	0.2	0.4	0.17
54	1	0	0	0	0.39	0.35	0.2	0.4	0.17
55	0	1	0	1	0.13	0.12	0.044	0.13	0.019
56	1	0	0	0	0.39	0.35	0.2	0.4	0.17
57	1	0	0	0	0.39	0.35	0.2	0.4	0.17
58	1	0	0	0	0.39	0.35	0.2	0.4	0.17
59	1	0	0	0	0.39	0.35	0.2	0.4	0.17
60	1	0	0	0	0.39	0.35	0.2	0.4	0.17
61	1	0	0	0	0.39	0.35	0.2	0.4	0.17
62	1	0	0	0	0.39	0.35	0.2	0.4	0.17
63	1	0	0	0	0.39	0.35	0.2	0.4	0.17
64	1	0	0	0	0.39	0.35	0.2	0.4	0.17
65	1	0	0	0	0.39	0.35	0.2	0.4	0.17
66	1	0	0	0	0.39	0.35	0.2	0.4	0.17
67	1	0	0	0	0.39	0.35	0.2	0.4	0.17
68	1	0	0	0	0.39	0.35	0.2	0.4	0.17
69	1	0	0	0	0.39	0.35	0.2	0.4	0.17
70	1	0	0	0	0.39	0.35	0.2	0.4	0.17
71	1	0	0	0	0.39	0.35	0.2	0.4	0.17
72	1	0	0	0	0.39	0.35	0.2	0.4	0.17
73	1	0	0	0	0.39	0.35	0.2	0.4	0.17
74	1	0	0	0	0.39	0.35	0.2	0.4	0.17
75	1	0	0	0	0.39	0.35	0.2	0.4	0.17
76	1	0	0	0	0.39	0.35	0.2	0.4	0.17
77	1	0	0	0	0.39	0.35	0.2	0.4	0.17
78	1	0	0	0	0.39	0.35	0.2	0.4	0.17
79	1	0	0	0	0.39	0.35	0.2	0.4	0.17
80	1	0	0	0	0.39	0.35	0.2	0.4	0.17
81	0	0.034	0.97	2	0	0	0	0.089	0.076
82	1	0	0	0	0.39	0.35	0.2	0.4	0.17
83	1	0	0	0	0.39	0.35	0.2	0.4	0.17
84	1	0	0	0	0.39	0.35	0.2	0.4	0.17
85	1	0	0	0	0.39	0.35	0.2	0.4	0.17
86	1	0	0	0	0.39	0.35	0.2	0.4	0.17
87	1	0	0	0	0.39	0.35	0.2	0.4	0.17
88	1	0	0	0	0.39	0.35	0.2	0.4	0.17
89	1	0	0	0	0.39	0.35	0.2	0.4	0.17
90	0	1	0	1	0.13	0.12	0.044	0.13	0.019
91	1	0	0	0	0.39	0.35	0.2	0.4	0.17
92	1	0	0	0	0.39	0.35	0.2	0.4	0.17
93	0	1	0	1	0.13	0.12	0.044	0.13	0.019
94	1	0	0	0	0.39	0.35	0.2	0.4	0.17
95	0.01	0.99	0	1	0.13	0.12	0.044	0.13	0.019
96	1	0	0	0	0.39	0.35	0.2	0.4	0.17
97	1	0	0	0	0.39	0.35	0.2	0.4	0.17
98	1	0	0	0	0.39	0.35	0.2	0.4	0.17
99	1	0	0	0	0.39	0.35	0.2	0.4	0.17
100	0.23	0	0.77	2	0	0	0	0.089	0.076
101	0	4.2e-05	1	2	0	0	0	0.089	0.076
102	1	0	0	0	0.39	0.35	0.2	0.4	0.17
103	1	0	0	0	0.39	0.35	0.2	0.4	0.17
104	1	0	0	0	0.39	0.35	0.2	0.4	0.17
105	1	0	0	0	0.39	0.35	0.2	0.4	0.17
106	0	1	0	1	0.13	0.12	0.044	0.13	0.019
107	0	1	0	1	0.13	0.12	0.044	0.13	0.019
108	1	0	0	0	0.39	0.35	0.2	0.4	0.17
109	1	0	0	0	0.39	0.35	0.2	0.4	0.17
110	1	0	0	0	0.39	0.35	0.2	0.4	0.17
111	1	0	0	0	0.39	0.35	0.2	0.4	0.17
112	1	0	0	0	0.39	0.35	0.2	0.4	0.17
113	1	0	0	0	0.39	0.35	0.2	0.4	0.17
114	1	0	0	0	0.39	0.35	0.2	0.4	0.17
115	0	1	0	1	0.13	0.12	0.044	0.13	0.019
116	1	0	0	0	0.39	0.35	0.2	0.4	0.17
117	1	0	0	0	0.39	0.35	0.2	0.4	0.17
118	1	0	0	0	0.39	0.35	0.2	0.4	0.17
119	1	0	0	0	0.39	0.35	0.2	0.4	0.17
120	0	1	0	1	0.13	0.12	0.044	0.13	0.019
121	1	0	0	0	0.39	0.35	0.2	0.4	0.17
122	1	0	0	0	0.39	0.35	0.2	0.4	0.17
123	1	0	0	0	0.39	0.35	0.2	0.4	0.17
124	1	0	0	0	0.39	0.35	0.2	0.4	0.17
125	1	0	0	0	0.39	0.35	0.2	0.4	0.17
126	1	0	0	0	0.39	0.35	0.2	0.4	0.17
127	1	0	0	0	0.39	0.35	0.2	0.4	0.17
128	1	0	0	0	0.39	0.35	0.2	0.4	0.17
129	1	0	0	0	0.39	0.35	0.2	0.4	0.17
130	0	1	0	1	0.13	0.12	0.044	0.13	0.019
131	1	0	0	0	0.39	0.35	0.2	0.4	0.17
132	1	0	0	0	0.39	0.35	0.2	0.4	0.17
133	1	0	0	0	0.39	0.35	0.2	0.4	0.17
134	1	0	0	0	0.39	0.35	0.2	0.4	0.17
135	1	0	0	0	0.39	0.35	0.2	0.4	0.17
136	1	0	0	0	0.39	0.35	0.2	0.4	0.17
137	1	0	0	0	0.39	0.35	0.2	0.4	0.17
138	1	0	0	0	0.39	0.35	0.2	0.4	0.17
139	1	0	0	0	0.39	0.35	0.2	0.4	0.17
140	1	0	0	0	0.39	0.35	0.2	0.4	0.17
141	1	0	0	0	0.39	0.35	0.2	0.4	0.17
142	1	0	0	0	0.39	0.35	0.2	0.4	0.17
143	1	0	0	0	0.39	0.35	0.2	0.4	0.17
144	0	1	0	1	0.13	0.12	0.044	0.13	0.019
145	1	0	0	0	0.39	0.35	0.2	0.4	0.17
146	1	0	0	0	0.39	0.35	0.2	0.4	0.17
147	0	1	0	1	0.13	0.12	0.044	0.13	0.019
148	1	0	0	0	0.39	0.35	0.2	0.4	0.17
149	0	0	1	2	0	0	0	0.089	0.076
150	1	0	0	0	0.39	0.35	0.2	0.4	0.17
151	1	0	0	0	0.39	0.35	0.2	0.4	0.17
152	1	0	0	0	0.39	0.35	0.2	0.4	0.17
153	1	0	0	0	0.39	0.35	0.2	0.4	0.17
154	1	0	0	0	0.39	0.35	0.2	0.4	0.17
155	1	0	0	0	0.39	0.35	0.2	0.4	0.17
156	1	0	0	0	0.39	0.35	0.2	0.4	0.17
157	1	0	0	0	0.39	0.35	0.2	0.4	0.17
158	1	0	0	0	0.39	0.35	0.2	0.4	0.17
159	1	0	0	0	0.39	0.35	0.2	0.4	0.17
160	1	0	0	0	0.39	0.35	0.2	0.4	0.17
161	1	0	0	0	0.39	0.35	0.2	0.4	0.17
162	1	0	0	0	0.39	0.35	0.2	0.4	0.17
163	1	0	0	0	0.39	0.35	0.2	0.4	0.17
164	1	0	0	0	0.39	0.35	0.2	0.4	0.17
165	0.26	0.74	0	1	0.13	0.12	0.044	0.13	0.019
166	0	0	1	2	0	0	0	0.089	0.076
167	1	0	0	0	0.39	0.35	0.2	0.4	0.17
168	1	0	0	0	0.39	0.35	0.2	0.4	0.17
169	1	0	0	0	0.39	0.35	0.2	0.4	0.17
170	1	0	0	0	0.39	0.35	0.2	0.4	0.17
171	1	0	0	0	0.39	0.35	0.2	0.4	0.17
172	1	0	0	0	0.39	0.35	0.2	0.4	0.17
173	1	0	0	0	0.39	0.35	0.2	0.4	0.17
174	1	0	0	0	0.39	0.35	0.2	0.4	0.17
175	1	0	0	0	0.39	0.35	0.2	0.4	0.17
176	0	1	0	1	0.13	0.12	0.044	0.13	0.019
177	1	0	0	0	0.39	0.35	0.2	0.4	0.17
178	1	0	0	0	0.39	0.35	0.2	0.4	0.17
179	1	0	0	0	0.39	0.35	0.2	0.4	0.17
180	1	0	0	0	0.39	0.35	0.2	0.4	0.17
181	1	0	0	0	0.39	0.35	0.2	0.4	0.17
182	1	0	0	0	0.39	0.35	0.2	0.4	0.17
183	1	0	0	0	0.39	0.35	0.2	0.4	0.17
184	0	1	0	1	0.13	0.12	0.044	0.13	0.019
185	1	0	0	0	0.39	0.35	0.2	0.4	0.17
186	1	0	0	0	0.39	0.35	0.2	0.4	0.17
187	1	0	0	0	0.39	0.35	0.2	0.4	0.17
188	1	0	0	0	0.39	0.35	0.2	0.4	0.17
189	1	0	0	0	0.39	0.35	0.2	0.4	0.17
190	1	0	0	0	0.39	0.35	0.2	0.4	0.17
191	1	0	0	0	0.39	0.35	0.2	0.4	0.17
192	1	0	0	0	0.39	0.35	0.2	0.4	0.17
193	1	0	0	0	0.39	0.35	0.2	0.4	0.17
194	1	0	0	0	0.39	0.35	0.2	0.4	0.17
195	1	0	0	0	0.39	0.35	0.2	0.4	0.17
196	1	0	0	0	0.39	0.35	0.2	0.4	0.17
197	1	0	0	0	0.39	0.35	0.2	0.4	0.17
198	1	0	0	0	0.39	0.35	0.2	0.4	0.17
199	1	0	0	0	0.39	0.35	0.2	0.4	0.17
200	1	0	0	0	0.39	0.35	0.2	0.4	0.17
