k	loglikelihood	observations	parameters	BIC
1	-12313.1	24015	10	24727.1
2	-9849.63	24015	15	19850.6
3	-9568.96	24015	20	19339.7
4	-9420.34	24015	25	19092.8
5	-9327.57	24015	30	18957.7
6	-9522.87	24015	35	19398.8
7	-9396.15	24015	40	19195.8
8	-9216.95	24015	45	18887.8
9	-9183.95	24015	50	18872.2
10	-9052.63	24015	55	18660
11	-8990.77	24015	60	18586.7
12	-9037.6	24015	65	18730.8
13	-8989.18	24015	70	18684.4
14	-8908.97	24015	75	18574.4
15	-9030.63	24015	80	18868.2
16	-8846.77	24015	85	18550.9
17	-8892.69	24015	90	18693.2
18	-8797.99	24015	95	18554.2
19	-8803.63	24015	100	18615.9
20	-8949.48	24015	105	18958
