SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1.7e-05	0.021	0	0	0.98	0	0	0	4	0.66	0.71	0.29	0.73	0.26
1	0.01	0.96	0	0.03	0	0	0.00027	0	1	0.39	0.35	0.2	0.4	0.17
2	0.04	0.86	0	0.021	0.079	0	0	0	1	0.39	0.35	0.2	0.4	0.17
3	0	0	0	0	0	0	1	0	6	0.2	0.14	0.089	0.42	0.17
4	0.017	0.95	0	0.034	0	0	7.3e-06	0	1	0.39	0.35	0.2	0.4	0.17
5	0.00017	1	0	8e-06	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
6	0.031	0.97	0	0.0033	5e-05	0	0	0	1	0.39	0.35	0.2	0.4	0.17
7	0.017	0.00043	0	0.98	0	0	0	0	3	0.39	0.35	0.27	0.4	0.32
8	0	0	0	0	0	0	1	0	6	0.2	0.14	0.089	0.42	0.17
9	0	0	0	0	0	0	1	0	6	0.2	0.14	0.089	0.42	0.17
10	0.02	0.96	0	0.019	0	0	1.5e-06	0	1	0.39	0.35	0.2	0.4	0.17
11	0.0027	0.95	0	0.0012	0	0	0	0.042	1	0.39	0.35	0.2	0.4	0.17
12	0.0096	0.98	0	0.011	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
13	0.0083	0.95	0	0.0017	0	0	0.041	0	1	0.39	0.35	0.2	0.4	0.17
14	0	5.3e-06	0	0	0	0	1	0	6	0.2	0.14	0.089	0.42	0.17
15	0.0046	1	0	8.6e-05	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
16	0.0018	1	0	0.00017	0	0	3.3e-05	0	1	0.39	0.35	0.2	0.4	0.17
17	0.001	0.47	0	7.7e-06	0.53	0	0	0	4	0.66	0.71	0.29	0.73	0.26
18	0.031	0.82	0	0.15	0.00026	0	0	0	1	0.39	0.35	0.2	0.4	0.17
19	0.006	0.99	0	0.00068	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
20	0	0	1	0	0	0	0	0	2	0.13	0.12	0.022	0.13	0
21	1.3e-05	1	0	6.7e-05	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
22	0.0048	0.99	0	0.00053	0	0	6.8e-06	0	1	0.39	0.35	0.2	0.4	0.17
23	0.00092	1	0	0.0027	0.00011	0	0	0	1	0.39	0.35	0.2	0.4	0.17
24	0.0043	0.97	0	0.002	0.028	0	0	0	1	0.39	0.35	0.2	0.4	0.17
25	0.019	0.94	0	0.037	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
26	0.00076	1	0	4.2e-05	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
27	0.0095	0.93	0	0.063	0	0	0.00013	0	1	0.39	0.35	0.2	0.4	0.17
28	0.17	0.57	0	0.26	1.1e-05	0	0	0	1	0.39	0.35	0.2	0.4	0.17
29	0.0081	0.68	0	0.31	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
30	0.017	0.97	0	0.01	1e-05	0	0	0	1	0.39	0.35	0.2	0.4	0.17
31	0	0	1	0	0	0	0	0.00011	2	0.13	0.12	0.022	0.13	0
32	1.1e-05	1	0	6.8e-06	0	0	0	0	1	0.39	0.35	0.2	0.4	0.17
33	0.0082	0.99	0	0.0061	3.4e-05	0	0	0	1	0.39	0.35	0.2	0.4	0.17
