SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0.41	0.38	0.2	0.42	0.17
1	1	0	0.41	0.38	0.2	0.42	0.17
2	1	0	0.41	0.38	0.2	0.42	0.17
3	1	0	0.41	0.38	0.2	0.42	0.17
4	1	0	0.41	0.38	0.2	0.42	0.17
5	1	0	0.41	0.38	0.2	0.42	0.17
6	1	0	0.41	0.38	0.2	0.42	0.17
7	1	0	0.41	0.38	0.2	0.42	0.17
8	1	0	0.41	0.38	0.2	0.42	0.17
9	1	0	0.41	0.38	0.2	0.42	0.17
10	1	0	0.41	0.38	0.2	0.42	0.17
11	1	0	0.41	0.38	0.2	0.42	0.17
12	1	0	0.41	0.38	0.2	0.42	0.17
13	1	0	0.41	0.38	0.2	0.42	0.17
14	1	0	0.41	0.38	0.2	0.42	0.17
15	1	0	0.41	0.38	0.2	0.42	0.17
16	1	0	0.41	0.38	0.2	0.42	0.17
17	1	0	0.41	0.38	0.2	0.42	0.17
18	1	0	0.41	0.38	0.2	0.42	0.17
19	1	0	0.41	0.38	0.2	0.42	0.17
20	1	0	0.41	0.38	0.2	0.42	0.17
21	1	0	0.41	0.38	0.2	0.42	0.17
22	1	0	0.41	0.38	0.2	0.42	0.17
23	1	0	0.41	0.38	0.2	0.42	0.17
24	1	0	0.41	0.38	0.2	0.42	0.17
25	1	0	0.41	0.38	0.2	0.42	0.17
26	1	0	0.41	0.38	0.2	0.42	0.17
27	1	0	0.41	0.38	0.2	0.42	0.17
28	1	0	0.41	0.38	0.2	0.42	0.17
29	1	0	0.41	0.38	0.2	0.42	0.17
30	1	0	0.41	0.38	0.2	0.42	0.17
31	1	0	0.41	0.38	0.2	0.42	0.17
32	1	0	0.41	0.38	0.2	0.42	0.17
33	1	0	0.41	0.38	0.2	0.42	0.17
34	1	0	0.41	0.38	0.2	0.42	0.17
35	1	0	0.41	0.38	0.2	0.42	0.17
36	1	0	0.41	0.38	0.2	0.42	0.17
37	1	0	0.41	0.38	0.2	0.42	0.17
38	1	0	0.41	0.38	0.2	0.42	0.17
39	1	0	0.41	0.38	0.2	0.42	0.17
40	1	0	0.41	0.38	0.2	0.42	0.17
41	1	0	0.41	0.38	0.2	0.42	0.17
42	1	0	0.41	0.38	0.2	0.42	0.17
43	1	0	0.41	0.38	0.2	0.42	0.17
44	1	0	0.41	0.38	0.2	0.42	0.17
45	1	0	0.41	0.38	0.2	0.42	0.17
46	1	0	0.41	0.38	0.2	0.42	0.17
47	1	0	0.41	0.38	0.2	0.42	0.17
48	1	0	0.41	0.38	0.2	0.42	0.17
49	1	0	0.41	0.38	0.2	0.42	0.17
50	1	0	0.41	0.38	0.2	0.42	0.17
51	1	0	0.41	0.38	0.2	0.42	0.17
52	1	0	0.41	0.38	0.2	0.42	0.17
53	1	0	0.41	0.38	0.2	0.42	0.17
54	1	0	0.41	0.38	0.2	0.42	0.17
55	1	0	0.41	0.38	0.2	0.42	0.17
56	1	0	0.41	0.38	0.2	0.42	0.17
57	1	0	0.41	0.38	0.2	0.42	0.17
58	1	0	0.41	0.38	0.2	0.42	0.17
59	1	0	0.41	0.38	0.2	0.42	0.17
60	1	0	0.41	0.38	0.2	0.42	0.17
61	1	0	0.41	0.38	0.2	0.42	0.17
62	1	0	0.41	0.38	0.2	0.42	0.17
63	1	0	0.41	0.38	0.2	0.42	0.17
64	1	0	0.41	0.38	0.2	0.42	0.17
65	1	0	0.41	0.38	0.2	0.42	0.17
66	1	0	0.41	0.38	0.2	0.42	0.17
67	1	0	0.41	0.38	0.2	0.42	0.17
68	1	0	0.41	0.38	0.2	0.42	0.17
69	1	0	0.41	0.38	0.2	0.42	0.17
70	1	0	0.41	0.38	0.2	0.42	0.17
71	1	0	0.41	0.38	0.2	0.42	0.17
72	1	0	0.41	0.38	0.2	0.42	0.17
73	1	0	0.41	0.38	0.2	0.42	0.17
74	1	0	0.41	0.38	0.2	0.42	0.17
75	1	0	0.41	0.38	0.2	0.42	0.17
76	1	0	0.41	0.38	0.2	0.42	0.17
77	1	0	0.41	0.38	0.2	0.42	0.17
78	1	0	0.41	0.38	0.2	0.42	0.17
79	1	0	0.41	0.38	0.2	0.42	0.17
80	1	0	0.41	0.38	0.2	0.42	0.17
81	1	0	0.41	0.38	0.2	0.42	0.17
82	1	0	0.41	0.38	0.2	0.42	0.17
83	1	0	0.41	0.38	0.2	0.42	0.17
84	1	0	0.41	0.38	0.2	0.42	0.17
85	1	0	0.41	0.38	0.2	0.42	0.17
86	1	0	0.41	0.38	0.2	0.42	0.17
87	1	0	0.41	0.38	0.2	0.42	0.17
88	1	0	0.41	0.38	0.2	0.42	0.17
89	1	0	0.41	0.38	0.2	0.42	0.17
90	1	0	0.41	0.38	0.2	0.42	0.17
91	1	0	0.41	0.38	0.2	0.42	0.17
92	1	0	0.41	0.38	0.2	0.42	0.17
93	1	0	0.41	0.38	0.2	0.42	0.17
94	1	0	0.41	0.38	0.2	0.42	0.17
95	1	0	0.41	0.38	0.2	0.42	0.17
96	1	0	0.41	0.38	0.2	0.42	0.17
97	1	0	0.41	0.38	0.2	0.42	0.17
98	1	0	0.41	0.38	0.2	0.42	0.17
99	1	0	0.41	0.38	0.2	0.42	0.17
100	1	0	0.41	0.38	0.2	0.42	0.17
101	1	0	0.41	0.38	0.2	0.42	0.17
102	1	0	0.41	0.38	0.2	0.42	0.17
103	1	0	0.41	0.38	0.2	0.42	0.17
104	1	0	0.41	0.38	0.2	0.42	0.17
105	1	0	0.41	0.38	0.2	0.42	0.17
106	1	0	0.41	0.38	0.2	0.42	0.17
107	1	0	0.41	0.38	0.2	0.42	0.17
108	1	0	0.41	0.38	0.2	0.42	0.17
109	1	0	0.41	0.38	0.2	0.42	0.17
110	1	0	0.41	0.38	0.2	0.42	0.17
111	1	0	0.41	0.38	0.2	0.42	0.17
112	1	0	0.41	0.38	0.2	0.42	0.17
113	1	0	0.41	0.38	0.2	0.42	0.17
114	1	0	0.41	0.38	0.2	0.42	0.17
115	1	0	0.41	0.38	0.2	0.42	0.17
116	1	0	0.41	0.38	0.2	0.42	0.17
117	1	0	0.41	0.38	0.2	0.42	0.17
118	1	0	0.41	0.38	0.2	0.42	0.17
119	1	0	0.41	0.38	0.2	0.42	0.17
120	1	0	0.41	0.38	0.2	0.42	0.17
121	1	0	0.41	0.38	0.2	0.42	0.17
122	1	0	0.41	0.38	0.2	0.42	0.17
123	1	0	0.41	0.38	0.2	0.42	0.17
124	1	0	0.41	0.38	0.2	0.42	0.17
125	1	0	0.41	0.38	0.2	0.42	0.17
126	1	0	0.41	0.38	0.2	0.42	0.17
127	1	0	0.41	0.38	0.2	0.42	0.17
128	1	0	0.41	0.38	0.2	0.42	0.17
129	1	0	0.41	0.38	0.2	0.42	0.17
130	1	0	0.41	0.38	0.2	0.42	0.17
131	1	0	0.41	0.38	0.2	0.42	0.17
132	1	0	0.41	0.38	0.2	0.42	0.17
133	1	0	0.41	0.38	0.2	0.42	0.17
134	1	0	0.41	0.38	0.2	0.42	0.17
135	1	0	0.41	0.38	0.2	0.42	0.17
136	1	0	0.41	0.38	0.2	0.42	0.17
137	1	0	0.41	0.38	0.2	0.42	0.17
138	1	0	0.41	0.38	0.2	0.42	0.17
139	1	0	0.41	0.38	0.2	0.42	0.17
140	1	0	0.41	0.38	0.2	0.42	0.17
141	1	0	0.41	0.38	0.2	0.42	0.17
142	1	0	0.41	0.38	0.2	0.42	0.17
143	1	0	0.41	0.38	0.2	0.42	0.17
144	1	0	0.41	0.38	0.2	0.42	0.17
145	1	0	0.41	0.38	0.2	0.42	0.17
146	1	0	0.41	0.38	0.2	0.42	0.17
147	1	0	0.41	0.38	0.2	0.42	0.17
148	1	0	0.41	0.38	0.2	0.42	0.17
149	1	0	0.41	0.38	0.2	0.42	0.17
150	1	0	0.41	0.38	0.2	0.42	0.17
151	1	0	0.41	0.38	0.2	0.42	0.17
152	1	0	0.41	0.38	0.2	0.42	0.17
153	1	0	0.41	0.38	0.2	0.42	0.17
154	1	0	0.41	0.38	0.2	0.42	0.17
155	1	0	0.41	0.38	0.2	0.42	0.17
156	1	0	0.41	0.38	0.2	0.42	0.17
157	1	0	0.41	0.38	0.2	0.42	0.17
158	1	0	0.41	0.38	0.2	0.42	0.17
159	1	0	0.41	0.38	0.2	0.42	0.17
160	1	0	0.41	0.38	0.2	0.42	0.17
161	1	0	0.41	0.38	0.2	0.42	0.17
162	1	0	0.41	0.38	0.2	0.42	0.17
163	1	0	0.41	0.38	0.2	0.42	0.17
164	1	0	0.41	0.38	0.2	0.42	0.17
165	1	0	0.41	0.38	0.2	0.42	0.17
166	1	0	0.41	0.38	0.2	0.42	0.17
167	1	0	0.41	0.38	0.2	0.42	0.17
168	1	0	0.41	0.38	0.2	0.42	0.17
169	1	0	0.41	0.38	0.2	0.42	0.17
170	1	0	0.41	0.38	0.2	0.42	0.17
171	1	0	0.41	0.38	0.2	0.42	0.17
172	1	0	0.41	0.38	0.2	0.42	0.17
173	1	0	0.41	0.38	0.2	0.42	0.17
174	1	0	0.41	0.38	0.2	0.42	0.17
175	1	0	0.41	0.38	0.2	0.42	0.17
176	1	0	0.41	0.38	0.2	0.42	0.17
177	1	0	0.41	0.38	0.2	0.42	0.17
178	1	0	0.41	0.38	0.2	0.42	0.17
179	1	0	0.41	0.38	0.2	0.42	0.17
180	1	0	0.41	0.38	0.2	0.42	0.17
181	1	0	0.41	0.38	0.2	0.42	0.17
182	1	0	0.41	0.38	0.2	0.42	0.17
183	1	0	0.41	0.38	0.2	0.42	0.17
184	1	0	0.41	0.38	0.2	0.42	0.17
185	1	0	0.41	0.38	0.2	0.42	0.17
186	1	0	0.41	0.38	0.2	0.42	0.17
187	1	0	0.41	0.38	0.2	0.42	0.17
188	1	0	0.41	0.38	0.2	0.42	0.17
189	1	0	0.41	0.38	0.2	0.42	0.17
190	1	0	0.41	0.38	0.2	0.42	0.17
191	1	0	0.41	0.38	0.2	0.42	0.17
192	1	0	0.41	0.38	0.2	0.42	0.17
193	1	0	0.41	0.38	0.2	0.42	0.17
194	1	0	0.41	0.38	0.2	0.42	0.17
195	1	0	0.41	0.38	0.2	0.42	0.17
196	1	0	0.41	0.38	0.2	0.42	0.17
197	1	0	0.41	0.38	0.2	0.42	0.17
198	1	0	0.41	0.38	0.2	0.42	0.17
199	1	0	0.41	0.38	0.2	0.42	0.17
200	1	0	0.41	0.38	0.2	0.42	0.17
201	1	0	0.41	0.38	0.2	0.42	0.17
202	1	0	0.41	0.38	0.2	0.42	0.17
203	1	0	0.41	0.38	0.2	0.42	0.17
204	1	0	0.41	0.38	0.2	0.42	0.17
205	1	0	0.41	0.38	0.2	0.42	0.17
206	1	0	0.41	0.38	0.2	0.42	0.17
207	1	0	0.41	0.38	0.2	0.42	0.17
208	1	0	0.41	0.38	0.2	0.42	0.17
209	1	0	0.41	0.38	0.2	0.42	0.17
210	1	0	0.41	0.38	0.2	0.42	0.17
211	1	0	0.41	0.38	0.2	0.42	0.17
212	1	0	0.41	0.38	0.2	0.42	0.17
213	1	0	0.41	0.38	0.2	0.42	0.17
214	1	0	0.41	0.38	0.2	0.42	0.17
215	1	0	0.41	0.38	0.2	0.42	0.17
216	1	0	0.41	0.38	0.2	0.42	0.17
