SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1.5e-06	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0.00011	0.00041	0	0	0.024	4	0.61	0.65	0.33	0.6	0.24
1	0.073	0	0	0	0	0.0003	0	0	0.00071	0	0.00014	0	0	0.00028	0	0	0	7.1e-06	0.00033	0.93	19	0.39	0.35	0.2	0.4	0.17
2	0.026	0	3.5e-06	7.4e-05	0.1	0	0	0	0	0	0	0	0	0	0	0.077	0.00042	1.1e-05	0	0.79	19	0.39	0.35	0.2	0.4	0.17
3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0.044	0.094
4	0.048	0	0	0	0	8.4e-06	1.1e-06	0	0.00022	0	0	0	0	0	0	0	0	0	3.2e-06	0.95	19	0.39	0.35	0.2	0.4	0.17
5	1.4e-05	0	0	0	0	0	0	0	0.032	0	0	0	0	0.43	0	0	0	0	2.6e-05	0.54	19	0.39	0.35	0.2	0.4	0.17
6	0.011	0	1.3e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0.0013	0	0.39	0.35	0.2	0.42	0.32
8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	5	0.2	0.14	0.089	0.42	0.17
9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.2	0.14	0.089	0.42	0.17
10	0.025	0	3.8e-06	0	6.5e-05	1.8e-06	2.4e-05	0	0.0019	0	0	0	0	2.2e-05	0	0	0	5.8e-05	1.9e-05	0.97	19	0.39	0.35	0.2	0.4	0.17
11	0.0003	0	0	0	0	0	0.00051	0	0.02	0	0	0	0	0.54	0.003	0	0	0	1.1e-05	0.43	13	0.39	0.35	0.18	0.31	0.019
12	0.0091	0	0	0	0	0	0	0	0.00016	0	0	0	0	0	0	0	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
13	0.054	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	19	0.39	0.35	0.2	0.4	0.17
14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.17	0.35	0.11	0.044	0.17
15	0.00066	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
16	0.00046	0	0	0	0	3.7e-05	0.00012	0	0.013	0	0	0	0	0.0095	0	0	0	0	1.4e-06	0.98	19	0.39	0.35	0.2	0.4	0.17
17	0.00014	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	8.5e-06	0.0014	0	0	0.85	19	0.39	0.35	0.2	0.4	0.17
18	0.15	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	4.1e-05	0	0.85	19	0.39	0.35	0.2	0.4	0.17
19	0.0032	0	0	0	0	0	1.8e-06	0	0.0018	0	0	0	0	2.4e-06	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.2	0.14	0.089	0.42	0.17
21	0.0008	0	0	0	0	0	0	0	0.00045	0	0	0.00086	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
22	0.0011	0	0	0	0	7e-06	0.0031	0	0.023	0	0	0	0	0.073	0	0	0	0	7e-06	0.9	19	0.39	0.35	0.2	0.4	0.17
23	0.00051	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	1.9e-06	0	1	19	0.39	0.35	0.2	0.4	0.17
24	0.0023	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	2.1e-06	4.9e-05	0	0	0.91	19	0.39	0.35	0.2	0.4	0.17
25	0.029	0	0	0	0	0	2.5e-05	0	0.00055	0	0	0	0	0	0	0	0	1e-05	7.3e-05	0.97	19	0.39	0.35	0.2	0.4	0.17
26	8.6e-05	0	0	0	0	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	2.4e-06	1	19	0.39	0.35	0.2	0.4	0.17
27	0.038	0	0	0	7e-06	0.00016	8.7e-06	0	0.001	0	0	0	0	0.00017	0	0	0	0.00087	0.0012	0.96	19	0.39	0.35	0.2	0.4	0.17
28	0.48	0	1.6e-05	0	0.0006	1e-06	1.4e-06	0	4.6e-05	0	0	0	0	0	0	0	0.00017	0.0027	0	0.51	19	0.39	0.35	0.2	0.4	0.17
29	0.16	0	0	0	0	0	0	0	1.5e-06	0	0	0	0	0	0	0	0	5.6e-05	3.2e-06	0.84	19	0.39	0.35	0.2	0.4	0.17
30	0.0034	0	5.6e-06	1.2e-06	5.5e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.2e-05	0	1	19	0.39	0.35	0.2	0.4	0.17
31	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0.96	0	0	0	0	0	0	13	0.39	0.35	0.18	0.31	0.019
32	8.8e-05	0	0	0	0	0	0	0	0.0021	0	0	0.0097	0	0	0	0	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
33	0.0094	0	0	0	6.7e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
34	0.0092	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	1.9e-06	0	0	0	0.98	19	0.39	0.35	0.2	0.4	0.17
35	0.22	0	7.5e-05	0	0.0033	0	0	0	0.0011	0	0	0	0	0	0	0	0.00095	0.011	0	0.76	19	0.39	0.35	0.2	0.4	0.17
36	0.41	0	0	0.00043	0.011	0	0	3.3e-06	8.9e-05	0	0	0	0	0	0	0	0	0.0016	0	0.58	19	0.39	0.35	0.2	0.4	0.17
37	0.58	0	0	0.00058	0.004	0	0	3.1e-06	5.7e-05	0	0	0	0	0	0	0	0	0.0011	0	0.41	0	0.39	0.35	0.2	0.42	0.32
38	0	0	0	0	0	0.033	5.8e-05	0	4.6e-05	0	0	0	0.97	0	0	0	0	0	0	0	12	0.043	0.039	0.2	0.089	0
39	0.3	0	0	0.0015	0.0049	0	0	3.5e-06	1.5e-05	0	0	0	0	0	0	0	1.1e-06	0.6	0	0.099	17	0.46	0.35	0.47	0.44	0.39
40	0.15	0	2.8e-06	0	0.00025	0	0	0	0.00018	0	0	0	0	0	0	3.4e-06	0	7.6e-06	0	0.85	19	0.39	0.35	0.2	0.4	0.17
41	0.00012	0	0	0	0	0.2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.00046	10	0.17	0.35	0.11	0.044	0.17
42	0	0	0	0	0	1.9e-06	0	0	0	1	0.00068	0	0	2.6e-05	0	0	0	0	0	0	9	0.13	0.12	0	0	0.019
43	0.0039	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	3.9e-06	0	1.1e-05	0	0.87	19	0.39	0.35	0.2	0.4	0.17
44	0.028	0	3.9e-06	0	6.1e-05	0	2.2e-06	0	0.0012	0	0	0	0	0	0	0	0	4.8e-06	4.6e-06	0.97	19	0.39	0.35	0.2	0.4	0.17
45	0.0018	0	2.6e-06	0.0021	0.007	0	0	7e-05	0	0	0	0	0	0	0	0.0015	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
46	0.1	0	8.9e-06	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0.00063	6.3e-06	0	0.9	19	0.39	0.35	0.2	0.4	0.17
47	0.00045	0	3.4e-05	0	0	0	0.00085	0	0.028	0	0	0	0	0.00085	0	0	0	0	0	0.97	19	0.39	0.35	0.2	0.4	0.17
48	0.0021	0	1.3e-06	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
49	0.00011	0	0	0	0	0.00026	0.0015	0	0.0074	0	0	0	0	0.58	0.26	0	0	0	3.1e-06	0.15	13	0.39	0.35	0.18	0.31	0.019
50	0.00061	0	3.3e-06	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
51	0.0076	0	0	0	0.00087	0	7.9e-05	0	0.0051	0	0	0	0	3.2e-05	0	0	0	0	0.00096	0.99	19	0.39	0.35	0.2	0.4	0.17
52	0.13	0	0	0	2.7e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0	0.87	19	0.39	0.35	0.2	0.4	0.17
53	0.2	0	3.9e-06	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	6.4e-06	0.00045	0	0.8	19	0.39	0.35	0.2	0.4	0.17
54	0.00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.043	0.039	0.2	0.089	0
56	0.061	0	8.2e-06	0	0.00066	0	0	0	0	0	0	0	0	0	0	0	6.2e-05	0.00073	0	0.94	19	0.39	0.35	0.2	0.4	0.17
57	0.17	0	3.4e-06	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0.83	19	0.39	0.35	0.2	0.4	0.17
58	0.044	0	1.5e-06	0	0.0009	0	0	0	0	0	0	0	0	0	0	0	2.3e-06	0.00099	0	0.95	19	0.39	0.35	0.2	0.4	0.17
59	0.19	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	4.5e-06	0	0.81	19	0.39	0.35	0.2	0.4	0.17
60	0.015	0	2.9e-06	0	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	19	0.39	0.35	0.2	0.4	0.17
61	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	19	0.39	0.35	0.2	0.4	0.17
62	0.0033	0	2e-06	0	2.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.39	0.35	0.2	0.4	0.17
63	0.2	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0.79	19	0.39	0.35	0.2	0.4	0.17
64	0.07	0	0	0	0.00091	0	0	0	0	0	0	0	0	0	0	0	0	6.8e-05	0	0.93	19	0.39	0.35	0.2	0.4	0.17
65	0.31	0	1.3e-06	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0.68	19	0.39	0.35	0.2	0.4	0.17
66	0.023	0	2.1e-06	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0.97	19	0.39	0.35	0.2	0.4	0.17
67	0.12	0	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0	0	7.3e-05	0	0.88	19	0.39	0.35	0.2	0.4	0.17
68	0.47	0	4.8e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8e-06	0	0.53	19	0.39	0.35	0.2	0.4	0.17
69	0.16	0	4.9e-06	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	5e-05	0	0.84	19	0.39	0.35	0.2	0.4	0.17
