SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	0	0	0.98	0	0.024	0	0	5.4e-05	0	4	0.66	0.64	0.33	0.73	0.24
1	0	0.018	3.2e-06	0	0	0.00012	0.92	0	0.023	0.038	0.00068	6	0.39	0.35	0.2	0.4	0.17
2	0	0.038	5e-06	0	0.031	0	0.87	0	0.024	0.033	0	6	0.39	0.35	0.2	0.4	0.17
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0.076
4	0	0.001	6.6e-06	0	0	0	0.92	0	0.033	0.045	7.9e-06	6	0.39	0.35	0.2	0.4	0.17
5	0	0.0048	0	0	0	0.18	0.82	0	4.2e-06	0.00059	5.1e-05	6	0.39	0.35	0.2	0.4	0.17
6	0	0.00099	2.5e-06	0	0.00016	0	0.96	0	0.0051	0.038	0	6	0.39	0.35	0.2	0.4	0.17
7	0	5.7e-06	8.2e-06	0	0	0	0.00039	0	0.99	0.013	0	8	0.39	0.35	0.27	0.42	0.32
8	0	0	0	1	0	0	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
9	0	0	0	1	0	0	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
10	0	0.023	4e-06	0	0	7.7e-05	0.93	0	0.023	0.026	2.6e-05	6	0.39	0.35	0.2	0.4	0.17
11	0	0.0025	0	0	0	0.81	0.18	0	0.00028	0.00073	6e-06	5	0.39	0.35	0.18	0.4	0.019
12	0	7.4e-05	6.9e-06	0	0	0	0.96	0	0.012	0.027	0	6	0.39	0.35	0.2	0.4	0.17
13	0	0	0	0	0	0	0.89	0	0.0018	0.11	0	6	0.39	0.35	0.2	0.4	0.17
14	0	0	0	1	0	0	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
15	0	0.00087	0	0	0	0	0.99	0	7.3e-05	0.0083	0	6	0.39	0.35	0.2	0.4	0.17
16	0	0.00089	0	0	0	0.018	0.98	0	0.00017	0.0038	2.7e-06	6	0.39	0.35	0.2	0.4	0.17
17	0	2.3e-05	0	0	0.61	0	0.38	0	7.4e-06	0.0017	0	4	0.66	0.64	0.33	0.73	0.24
18	0	0.0064	1.7e-05	0	0.00044	0	0.78	0	0.13	0.082	0	6	0.39	0.35	0.2	0.4	0.17
19	0	0.00075	0	0	0	5.6e-06	0.99	0	0.00068	0.012	0	6	0.39	0.35	0.2	0.4	0.17
20	0	0	0	1	0	0	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
21	2e-05	0	0	0	0	0	1	0	1.6e-05	0.0039	0	6	0.39	0.35	0.2	0.4	0.17
22	0	0.0027	0	0	0	0.15	0.84	0	0.00048	0.0047	4.1e-06	6	0.39	0.35	0.2	0.4	0.17
23	0	0.0073	5.1e-06	0	0.0051	0	0.98	0	0.0022	0.0046	0	6	0.39	0.35	0.2	0.4	0.17
24	0	0.00086	1.8e-06	0	0.12	0	0.87	0	0.0018	0.01	0	6	0.39	0.35	0.2	0.4	0.17
25	0	0.0028	9.2e-06	0	0	0	0.92	0	0.038	0.034	9.4e-05	6	0.39	0.35	0.2	0.4	0.17
26	0	0.015	0	0	0	0	0.98	0	3.3e-05	0.0021	3.1e-06	6	0.39	0.35	0.2	0.4	0.17
27	0	0.011	1e-05	0	0	0.00014	0.9	0	0.056	0.029	0.0027	6	0.39	0.35	0.2	0.4	0.17
28	0	0.014	1.3e-05	0	3.3e-05	0	0.5	0	0.35	0.13	0	6	0.39	0.35	0.2	0.4	0.17
29	0	0.00023	4.8e-05	0	0	0	0.65	0	0.25	0.096	7.2e-05	6	0.39	0.35	0.2	0.4	0.17
30	0	0.041	9.5e-06	0	5.8e-05	0	0.93	0	0.012	0.015	0	6	0.39	0.35	0.2	0.4	0.17
31	0	0	0	1	0	4e-05	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
32	0.00089	0	0	0	0	0	1	0	2.5e-06	0.0016	0	6	0.39	0.35	0.2	0.4	0.17
33	0	0.00055	4.1e-06	0	0.00022	0	0.96	0	0.0058	0.031	0	6	0.39	0.35	0.2	0.4	0.17
34	0	0.0062	2.1e-06	0	0.012	0	0.96	0	0.0037	0.021	0	6	0.39	0.35	0.2	0.4	0.17
35	0	0.014	2.2e-05	0	0.00032	0	0.57	0	0.32	0.091	0	6	0.39	0.35	0.2	0.4	0.17
36	0	0.0072	2.7e-05	0	0	0	0.48	0	0.39	0.12	0	6	0.39	0.35	0.2	0.4	0.17
37	0	0.031	2e-05	0	2e-06	0	0.41	0	0.41	0.15	0	6	0.39	0.35	0.2	0.4	0.17
38	0	0	0	1	0	0	0	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
39	0	0.015	2.5e-05	0	0.0017	0	0.12	0	0.81	0.05	0	8	0.39	0.35	0.27	0.42	0.32
40	0	0.041	1.1e-05	0	0.0019	0	0.77	0	0.069	0.11	0	6	0.39	0.35	0.2	0.4	0.17
41	0	7e-06	9.3e-06	0.00012	0	0	0.85	0	0.067	0.08	0.0042	6	0.39	0.35	0.2	0.4	0.17
42	0	0	0	1	0	3.3e-05	5.9e-06	0	0	0	0	3	0.13	0.16	0.044	0.13	0.019
43	0	0.012	9.1e-06	0	0.014	0	0.95	0	0.011	0.012	0	6	0.39	0.35	0.2	0.4	0.17
44	0	0.089	3.4e-06	0	0	2.6e-06	0.86	0	0.016	0.032	2.9e-06	6	0.39	0.35	0.2	0.4	0.17
45	0	0.32	0	0	0.0058	0	0.67	0	0.00093	0.0056	0	6	0.39	0.35	0.2	0.4	0.17
46	0	0.0013	8e-06	0	0.011	0	0.85	0	0.062	0.076	0	6	0.39	0.35	0.2	0.4	0.17
47	0	0.011	0	0	0	0.02	0.96	0	0.0004	0.0049	0	6	0.39	0.35	0.2	0.4	0.17
48	0	0.0049	1.2e-05	0	0.001	0	0.97	0	0.011	0.012	0	6	0.39	0.35	0.2	0.4	0.17
49	0	0.00044	0	0.00015	0	0.89	0.11	0	3.9e-05	0.00044	2e-06	5	0.39	0.35	0.18	0.4	0.019
50	0	0.0033	4.9e-06	0	0.0025	0	0.99	0	0.0028	0.0063	0	6	0.39	0.35	0.2	0.4	0.17
51	0	0.23	0	0	3.1e-06	3.2e-05	0.75	0	0.0042	0.013	0.00014	6	0.39	0.35	0.2	0.4	0.17
52	0	0.23	8.8e-06	0	0	0	0.64	0	0.087	0.044	0	6	0.39	0.35	0.2	0.4	0.17
53	0	0.034	1.1e-05	0	9.4e-06	0	0.74	0	0.16	0.069	0	6	0.39	0.35	0.2	0.4	0.17
54	0	0.02	2e-06	0	0	0	0.97	0	0.001	0.0051	0	6	0.39	0.35	0.2	0.4	0.17
55	0	0	0	0	0	0	0	1	0	0	0	7	0.068	0	0.36	0	0
56	0	0.019	1.6e-05	0	0.0016	0	0.83	0	0.098	0.051	0	6	0.39	0.35	0.2	0.4	0.17
57	0	0.024	1.1e-05	0	0	0	0.76	0	0.15	0.062	0	6	0.39	0.35	0.2	0.4	0.17
58	0	0.045	7.3e-06	0	4.3e-05	0	0.87	0	0.051	0.03	0	6	0.39	0.35	0.2	0.4	0.17
59	0	0.0043	8.4e-06	0	0	0	0.82	0	0.093	0.084	0	6	0.39	0.35	0.2	0.4	0.17
60	0	0.005	2.4e-06	0	0	0	0.96	0	0.0097	0.023	0	6	0.39	0.35	0.2	0.4	0.17
61	0	0.045	0	0	0	0	0.93	0	0.00037	0.023	0	6	0.39	0.35	0.2	0.4	0.17
62	0	0.019	0	0	0	0	0.97	0	0.00089	0.0095	0	6	0.39	0.35	0.2	0.4	0.17
63	0	0.038	1.2e-05	0	2.1e-06	0	0.75	0	0.15	0.064	0	6	0.39	0.35	0.2	0.4	0.17
64	0	0.41	7.1e-06	0	0	0	0.52	0	0.04	0.028	0	6	0.39	0.35	0.2	0.4	0.17
65	0	0.013	2.7e-05	0	0	0	0.49	0	0.42	0.075	0	6	0.39	0.35	0.2	0.4	0.17
66	0	0.005	8.4e-06	0	0	0	0.93	0	0.042	0.026	0	6	0.39	0.35	0.2	0.4	0.17
67	0	0.0013	1.8e-05	0	0	0	0.76	0	0.18	0.058	0	6	0.39	0.35	0.2	0.4	0.17
