SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	1	0	0	1	0.39	0.35	0.2	0.4	0.17
1	0.0034	1	0	0	1	0.39	0.35	0.2	0.4	0.17
2	0.016	0.98	0	0	1	0.39	0.35	0.2	0.4	0.17
3	0	0	1	0	2	0	0	0	0.089	0.076
4	0.0047	1	0	0	1	0.39	0.35	0.2	0.4	0.17
5	0	1	0	0	1	0.39	0.35	0.2	0.4	0.17
6	0.00025	1	0	0	1	0.39	0.35	0.2	0.4	0.17
7	1	0.00045	0	0	0	0.39	0.38	0.33	0.4	0.32
8	0	2.2e-05	0	1	3	0.13	0.12	0.067	0.089	0.019
9	0	0	0	1	3	0.13	0.12	0.067	0.089	0.019
10	0.0066	0.99	0	0	1	0.39	0.35	0.2	0.4	0.17
11	0.00073	1	0	0	1	0.39	0.35	0.2	0.4	0.17
12	0.0017	1	0	0	1	0.39	0.35	0.2	0.4	0.17
13	0	1	0	0	1	0.39	0.35	0.2	0.4	0.17
14	0	0	0	1	3	0.13	0.12	0.067	0.089	0.019
15	2.2e-06	1	0	0	1	0.39	0.35	0.2	0.4	0.17
16	1.7e-05	1	0	0	1	0.39	0.35	0.2	0.4	0.17
17	0	1	0	0	1	0.39	0.35	0.2	0.4	0.17
18	0.042	0.96	0	0	1	0.39	0.35	0.2	0.4	0.17
19	4.6e-05	1	0	0	1	0.39	0.35	0.2	0.4	0.17
20	0	0	0	1	3	0.13	0.12	0.067	0.089	0.019
21	0	1	1.6e-05	0	1	0.39	0.35	0.2	0.4	0.17
22	0.00012	1	0	0	1	0.39	0.35	0.2	0.4	0.17
23	0.0017	1	0	0	1	0.39	0.35	0.2	0.4	0.17
24	0.0004	1	0	0	1	0.39	0.35	0.2	0.4	0.17
25	0.016	0.98	0	0	1	0.39	0.35	0.2	0.4	0.17
26	3.5e-06	1	0	0	1	0.39	0.35	0.2	0.4	0.17
27	0.029	0.97	0	0	1	0.39	0.35	0.2	0.4	0.17
28	0.13	0.87	0	0	1	0.39	0.35	0.2	0.4	0.17
29	0.037	0.96	0	0	1	0.39	0.35	0.2	0.4	0.17
30	0.011	0.99	0	0	1	0.39	0.35	0.2	0.4	0.17
31	0	0	0	1	3	0.13	0.12	0.067	0.089	0.019
32	0	1	0.00069	0	1	0.39	0.35	0.2	0.4	0.17
