SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
0	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
1	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
2	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
3	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
4	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
5	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
6	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
7	0	8.6e-06	1	2	0.036	0.054	0	0	0	0.043	0.04
8	0.012	0.99	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
9	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
10	0	0.0081	0.99	2	0.036	0.054	0	0	0	0.043	0.04
11	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
12	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
13	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
14	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
15	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
16	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
17	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
18	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
19	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
20	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
21	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
22	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
23	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
24	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
25	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
26	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
27	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
28	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
29	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
30	0	0	1	2	0.036	0.054	0	0	0	0.043	0.04
31	1	0	0	0	0.32	0.51	0.73	0.67	0.28	0.13	0.36
32	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
33	0	1	0	1	0.076	0.11	0.12	0.037	0.08	0.097	0.071
