k	loglikelihood	observations	parameters	BIC
1	-144489	57862	14	289132
2	-105194	57862	21	210618
3	-83963.1	57862	28	168233
4	-82372.3	57862	35	165128
5	-104477	57862	42	209414
6	-1.79769e+308	57862	49	inf
7	-1.79769e+308	57862	56	inf
8	-1.79769e+308	57862	63	inf
9	-1.79769e+308	57862	70	inf
10	-1.79769e+308	57862	77	inf
11	-1.79769e+308	57862	84	inf
12	-1.79769e+308	57862	91	inf
13	-1.79769e+308	57862	98	inf
14	-1.79769e+308	57862	105	inf
15	-1.79769e+308	57862	112	inf
16	-1.79769e+308	57862	119	inf
17	-1.79769e+308	57862	126	inf
18	-1.79769e+308	57862	133	inf
19	-1.79769e+308	57862	140	inf
20	-1.79769e+308	57862	147	inf
