SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.25	0.016	0	0.016	0	0.0033	0	7e-05	0	0.7	0	7e-05	0.0033	0.016	9	0.14
1	0	0.028	0	0.028	0	0.46	0	0	0	5.2e-06	0	0	0.46	0.028	5	0.26
2	0.00016	0.072	0	0.072	0	0.39	0	0	0	0.0024	0	0	0.39	0.072	5	0.26
3	0.0005	0	0	0	0	0	0	0.5	0	3.5e-06	0	0.5	0	0	7	0.058
4	0	0.00072	0	0.00072	0	0.5	0	0	0	0	0	0	0.5	0.00072	5	0.26
5	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	2	0
6	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	5	0.26
7	0	0	0.26	0	0	0.24	0	0	0	0	0.26	0	0.24	0	2	0
8	3.1e-06	0.058	0	0.058	0	0.41	0	0	0	0.00021	0	0	0.41	0.058	5	0.26
9	0	0.031	0	0.031	0	0.45	0	0	0	1.5e-05	0	0	0.45	0.031	5	0.26
10	0.093	0.091	0	0.091	0	0.22	0	0.019	0	0.16	0	0.019	0.22	0.091	5	0.26
11	0.0024	0	0	0	0	0	0	0.5	0	2.1e-05	0	0.5	0	0	7	0.058
12	0.12	0.11	0	0.11	0	0.096	0	0.00063	0	0.35	0	0.00063	0.096	0.11	9	0.14
13	0.0076	0	0	0	0	0	0	0.5	0	0.00012	0	0.5	0	0	7	0.058
14	0	0.088	0	0.088	0	0.37	0	0	0	8.2e-05	0	0	0.37	0.088	5	0.26
15	0	0.06	0	0.06	0	0.41	0	0	0	0	0	0	0.41	0.06	5	0.26
16	0	0.12	0	0.12	0	0.31	0	0	0	7.5e-06	0	0	0.31	0.12	5	0.26
17	0.0024	0.12	0	0.12	0	0.31	0	4.1e-06	0	0.017	0	4.1e-06	0.31	0.12	5	0.26
18	0	0.052	0	0.052	0	0.42	0	0	0	0	0	0	0.42	0.052	5	0.26
19	0	0.045	0	0.045	0	0.43	0	0	0	0	0	0	0.43	0.045	5	0.26
20	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	2	0
21	0.00043	0	0	0	0	0	0	0.5	0	1.8e-06	0	0.5	0	0	7	0.058
22	0	0	0.5	0	0	0	0	2.1e-05	0	0	0.5	2.1e-05	0	0	2	0
23	0	0.033	0	0.033	0	0.45	0	0	0	0	0	0	0.45	0.033	5	0.26
24	0.076	0.00012	0	0.00012	0	4e-05	0	0.45	0	0.026	0	0.45	4e-05	0.00012	7	0.058
25	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	2	0
26	0	0.026	0	0.026	0	0.46	0	0	0	0	0	0	0.46	0.026	5	0.26
27	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	7	0.058
28	0	0.096	0	0.096	0	0.36	0	0	0	1.3e-06	0	0	0.36	0.096	5	0.26
29	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1
30	0.77	2e-06	0	2e-06	0	0	0	0.024	0	0.19	0	0.024	0	2e-06	0	0.12
31	0.00014	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	7	0.058
32	0	0.037	0	0.037	0	0.44	0	0	0	0	0	0	0.44	0.037	5	0.26
33	0.18	0.023	0	0.023	0	0.026	0	0.27	0	0.16	0	0.27	0.026	0.023	7	0.058
34	0.38	0.0018	0	0.0018	0	0.00017	0	0.00023	0	0.61	0	0.00023	0.00017	0.0018	9	0.14
35	0	0.028	0	0.028	0	0.46	0	0	0	1.7e-06	0	0	0.46	0.028	5	0.26
36	0	0	0.5	0	0	0	0	5.7e-05	0	0	0.5	5.7e-05	0	0	2	0
37	0	0.066	0	0.066	0	0.4	0	0	0	0	0	0	0.4	0.066	5	0.26
38	2.1e-05	0.18	0	0.18	0	0.23	0	0	0	0.003	0	0	0.23	0.18	5	0.26
39	0.47	0.005	0	0.005	0	0.0016	0	0.062	0	0.39	0	0.062	0.0016	0.005	0	0.12
40	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	2	0
41	0	0.12	0	0.12	0	0.32	0	0	0	2.8e-06	0	0	0.32	0.12	5	0.26
42	0.00043	0.067	0	0.067	0	0.4	7.1e-05	7.5e-06	0	0.0025	0	7.5e-06	0.4	0.067	5	0.26
43	0.015	0.13	0	0.13	0	0.27	0	0.00016	0	0.056	0	0.00016	0.27	0.13	5	0.26
44	0.0091	0.12	0	0.12	0	0.29	0	8.2e-05	0	0.039	0	8.2e-05	0.29	0.12	5	0.26
45	0.0036	0	0	0	0	0	0	0.5	0	6.6e-05	0	0.5	0	0	7	0.058
46	2.4e-06	0.044	0	0.044	0	0.43	0	0	0	8.8e-05	0	0	0.43	0.044	5	0.26
47	0	0	0.5	0	0	0	0	1.2e-06	0	0	0.5	1.2e-06	0	0	2	0
48	0	0.11	0	0.11	0	0.33	0	0	0	8.7e-05	0	0	0.33	0.11	5	0.26
49	0	0.05	0	0.05	0	0.43	0	0	0	1.1e-05	0	0	0.43	0.05	5	0.26
