SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0.25	0.0094	0	0	0.01	0	0.7	0	0.0033	0.0033	0.0094	0	0	0	0.00014	0.0094	0.0094	6	0.14
1	0	0.016	0	0	0.018	0	5.2e-06	0	0.46	0.46	0.016	0	0	0	0	0.016	0.016	8	0.26
2	0.00016	0.042	0	0	0.046	0	0.0024	0	0.39	0.39	0.042	0	0	0	0	0.042	0.042	8	0.26
3	0.0005	0	0	0	0	0	3.5e-06	0	0	0	0	0	0	0	1	0	0	14	0.058
4	0	0.00042	0	0	0.00046	0	0	0	0.5	0.5	0.00042	0	0	0	0	0.00042	0.00042	8	0.26
5	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
6	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	8	0.26
7	0	0	0.13	0	0	0.13	0	0	0.24	0.24	0	0.13	0.13	0	0	0	0	8	0.26
8	3.1e-06	0.034	0	0	0.037	0	0.00021	0	0.41	0.41	0.034	0	0	0	0	0.034	0.034	8	0.26
9	0	0.018	0	0	0.02	0	1.5e-05	0	0.45	0.45	0.018	0	0	0	0	0.018	0.018	8	0.26
10	0.093	0.054	0	0	0.058	0	0.16	0	0.22	0.22	0.054	0	0	0	0.037	0.054	0.054	8	0.26
11	0.0024	0	0	0	0	0	2.1e-05	0	0	0	0	0	0	0	1	0	0	14	0.058
12	0.12	0.067	0	0	0.073	0	0.35	0	0.096	0.096	0.067	0	0	0	0.0013	0.067	0.067	6	0.14
13	0.0076	0	0	0	0	0	0.00012	0	0	0	0	0	0	0	0.99	0	0	14	0.058
14	0	0.052	0	0	0.056	0	8.2e-05	0	0.37	0.37	0.052	0	0	0	0	0.052	0.052	8	0.26
15	0	0.035	0	0	0.038	0	0	0	0.41	0.41	0.035	0	0	0	0	0.035	0.035	8	0.26
16	0	0.073	0	0	0.08	0	7.5e-06	0	0.31	0.31	0.073	0	0	0	0	0.073	0.073	8	0.26
17	0.0024	0.069	0	0	0.075	0	0.017	0	0.31	0.31	0.069	0	0	0	8.1e-06	0.069	0.069	8	0.26
18	0	0.031	0	0	0.033	0	0	0	0.42	0.42	0.031	0	0	0	0	0.031	0.031	8	0.26
19	0	0.026	0	0	0.029	0	0	0	0.43	0.43	0.026	0	0	0	0	0.026	0.026	8	0.26
20	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	1.5e-06	0	0	2	0
21	0.00043	0	0	0	0	0	1.8e-06	0	0	0	0	0	0	0	1	0	0	14	0.058
22	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	4.2e-05	0	0	2	0
23	0	0.02	0	0	0.021	0	0	0	0.45	0.45	0.02	0	0	0	0	0.02	0.02	8	0.26
24	0.076	7.4e-05	0	0	8e-05	0	0.026	0	4e-05	4e-05	7.4e-05	0	0	0	0.9	7.4e-05	7.4e-05	14	0.058
25	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
26	0	0.015	0	0	0.016	0	0	0	0.46	0.46	0.015	0	0	0	0	0.015	0.015	8	0.26
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
28	0	0.057	0	0	0.061	0	1.3e-06	0	0.36	0.36	0.057	0	0	0	0	0.057	0.057	8	0.26
29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1
30	0.77	1.2e-06	0	0	1.3e-06	0	0.19	0	0	0	1.2e-06	0	0	0	0.047	1.2e-06	1.2e-06	0	0.12
31	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
32	0	0.022	0	0	0.024	0	0	0	0.44	0.44	0.022	0	0	0	0	0.022	0.022	8	0.26
33	0.18	0.014	0	0	0.015	0	0.16	0	0.026	0.026	0.014	0	0	0	0.54	0.014	0.014	14	0.058
34	0.38	0.0011	0	0	0.0012	0	0.61	0	0.00017	0.00017	0.0011	0	0	0	0.00045	0.0011	0.0011	6	0.14
35	0	0.016	0	0	0.018	0	1.7e-06	0	0.46	0.46	0.016	0	0	0	0	0.016	0.016	8	0.26
36	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0.00011	0	0	2	0
37	0	0.039	0	0	0.042	0	0	0	0.4	0.4	0.039	0	0	0	0	0.039	0.039	8	0.26
38	2.1e-05	0.11	0	0	0.11	0	0.003	0	0.23	0.23	0.11	0	0	0	0	0.11	0.11	8	0.26
39	0.47	0.003	0	0	0.0032	0	0.39	0	0.0016	0.0016	0.003	0	0	0	0.12	0.003	0.003	0	0.12
40	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
41	0	0.069	0	0	0.075	0	2.8e-06	0	0.32	0.32	0.069	0	0	0	0	0.069	0.069	8	0.26
42	0.00043	0.039	0	0	0.043	0	0.0025	7.1e-05	0.4	0.4	0.039	0	0	0	1.5e-05	0.039	0.039	8	0.26
43	0.015	0.077	0	0	0.083	0	0.056	0	0.27	0.27	0.077	0	0	0	0.00033	0.077	0.077	8	0.26
44	0.0091	0.073	0	0	0.08	0	0.039	0	0.29	0.29	0.073	0	0	0	0.00016	0.073	0.073	8	0.26
45	0.0036	0	0	0	0	0	6.6e-05	0	0	0	0	0	0	0	1	0	0	14	0.058
46	2.4e-06	0.026	0	0	0.028	0	8.8e-05	0	0.43	0.43	0.026	0	0	0	0	0.026	0.026	8	0.26
47	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	2.4e-06	0	0	2	0
48	0	0.067	0	0	0.073	0	8.6e-05	0	0.33	0.33	0.067	0	0	0	0	0.067	0.067	8	0.26
49	0	0.029	0	0	0.032	0	1.1e-05	0	0.43	0.43	0.029	0	0	0	0	0.029	0.029	8	0.26
50	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
51	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	1.1e-05	0	0	2	0
52	0.0011	0.072	0	0	0.078	0	0.012	0	0.31	0.31	0.072	0	0	0	0	0.072	0.072	8	0.26
53	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
54	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	1.2e-06	0	0	2	0
55	0.055	0.082	0	0	0.089	0	0.39	0	0.071	0.071	0.082	0	0	0	4.7e-06	0.082	0.082	6	0.14
56	0	0.036	0	0	0.039	0	1.7e-05	0	0.41	0.41	0.036	0	0	0	0	0.036	0.036	8	0.26
57	0.0023	0	0	0	0	0	2.5e-05	0	0	0	0	0	0	0	1	0	0	14	0.058
58	0.00016	0.085	0	0	0.092	0	0.0055	0	0.28	0.28	0.085	0	0	0	0	0.085	0.085	8	0.26
59	0.0006	0.085	0	0	0.093	0	0.012	0	0.28	0.28	0.085	0	0	0	0	0.085	0.085	8	0.26
60	0	0.027	0	0	0.029	0	8.3e-06	0	0.43	0.43	0.027	0	0	0	0	0.027	0.027	8	0.26
61	0.041	1e-05	0	0	1.1e-05	0	0.01	0	3.8e-06	3.8e-06	1e-05	0	0	0	0.95	1e-05	1e-05	14	0.058
62	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0.0016	0	0	2	0
63	0	0.13	0	0	0.14	0	0.00038	0	0.17	0.17	0.13	0	0	0	0	0.13	0.13	8	0.26
64	7.1e-06	0.14	0	0	0.15	0	0.0033	0	0.15	0.15	0.14	0	0	0	0	0.14	0.14	8	0.26
65	1.2e-06	0.17	0	0	0.18	0	0.0032	0	0.075	0.075	0.17	0	0	0	0	0.17	0.17	4	0.23
66	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
67	0	0.12	0	0	0.13	0	0	0	0.2	0.2	0.12	0	0	0	0	0.12	0.12	8	0.26
68	0	0.034	0	0	0.037	0	6.2e-05	0	0.41	0.41	0.034	0	0	0	0	0.034	0.034	8	0.26
69	0	0.094	0	0	0.1	0	0.00012	0	0.26	0.26	0.094	0	0	0	0	0.094	0.094	8	0.26
70	9.5e-05	0.062	0	0	0.068	0	0.0024	0	0.34	0.34	0.062	0	0	0	0	0.062	0.062	8	0.26
71	1.8e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
72	0	0.026	0	0	0.028	0	0	0	0.43	0.43	0.026	0	0	0	0	0.026	0.026	8	0.26
73	1.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
74	1e-06	0.085	0	0	0.092	0	0.00038	0	0.28	0.28	0.085	0	0	0	0	0.085	0.085	8	0.26
75	0.0044	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	1	0	0	14	0.058
76	0	0.076	0	0	0.082	0	6.9e-06	0	0.31	0.31	0.076	0	0	0	0	0.076	0.076	8	0.26
77	5.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
78	0	0.019	0	0	0.021	0	0	0	0.45	0.45	0.019	0	0	0	0	0.019	0.019	8	0.26
79	0	0.091	0	0	0.099	0	0.00018	0	0.27	0.27	0.091	0	0	0	0	0.091	0.091	8	0.26
80	2.1e-06	0.087	0	0	0.095	0	0.00059	0	0.28	0.28	0.087	0	0	0	0	0.087	0.087	8	0.26
81	0	0.027	0	0	0.029	0	0	0	0.43	0.43	0.027	0	0	0	0	0.027	0.027	8	0.26
82	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
83	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
84	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	1.9e-06	0	0	2	0
85	1.8e-05	0.077	0	0	0.084	0	0.0015	0	0.3	0.3	0.077	0	0	0	0	0.077	0.077	8	0.26
86	0	0.024	0	0	0.026	0	0	0	0.44	0.44	0.024	0	0	0	0	0.024	0.024	8	0.26
87	0.042	0.084	0	0	0.091	0	0.15	0	0.19	0.19	0.084	0	0	0	0.0005	0.084	0.084	8	0.26
88	0.0018	0.06	0	0	0.065	0	0.011	0	0.34	0.34	0.06	0	0	0	1.7e-05	0.06	0.06	8	0.26
89	1.1e-06	0.041	0	0	0.045	0	0.00011	0	0.4	0.4	0.041	0	0	0	0	0.041	0.041	8	0.26
90	0	0.025	0	0	0.027	0	1.2e-06	0	0.44	0.44	0.025	0	0	0	0	0.025	0.025	8	0.26
91	6.2e-05	0.063	0	0	0.068	0	0.0019	0	0.34	0.34	0.063	0	0	0	0	0.063	0.063	8	0.26
92	3e-05	0.043	0	0	0.046	0	0.0007	0	0.39	0.39	0.043	0	0	0	0	0.043	0.043	8	0.26
93	0	0.051	0	0	0.055	0	1.8e-05	0	0.37	0.37	0.051	0	0	0	0	0.051	0.051	8	0.26
94	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
95	6.7e-05	0.081	0	0	0.087	0	0.0032	0	0.29	0.29	0.081	0	0	0	0	0.081	0.081	8	0.26
96	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
97	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	4.6e-06	0	0	2	0
98	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	1.8e-06	0	0	2	0
99	0	0.076	0	0	0.083	0	2e-05	0	0.31	0.31	0.076	0	0	0	0	0.076	0.076	8	0.26
100	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
101	3e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.058
102	0.055	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0.94	0	0	14	0.058
103	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	2	0
104	0.0062	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.99	0	0	14	0.058
105	0.0014	0.12	0	0	0.13	0	0.042	0	0.17	0.17	0.12	0	0	0	0	0.12	0.12	8	0.26
