k	loglikelihood	observations	parameters	BIC
1	-2397.57	569	2	4807.84
2	-878.913	569	3	1776.86
3	-627.341	569	4	1280.06
4	-412.184	569	5	856.087
5	-414.092	569	6	866.248
6	-404.197	569	7	852.801
7	-395.66	569	8	842.071
8	-395.66	569	9	848.414
9	-395.263	569	10	853.965
10	-395.263	569	11	860.309
11	-395.263	569	12	866.653
12	-395.263	569	13	872.997
13	-395.263	569	14	879.341
14	-395.263	569	15	885.684
15	-395.263	569	16	892.028
16	-395.263	569	17	898.372
17	-395.263	569	18	904.716
18	-395.263	569	19	911.06
19	-395.263	569	20	917.404
20	-395.263	569	21	923.748
