SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0.016	0.016	0	0	0	0	0	0.25	0	0.0067	0.016	0.69	0	0	0	0.00014	0	0	11	0.14
1	0.028	0.028	0	0	0	0	0	0	0	0.92	0.028	5.2e-06	0	0	0	0	0	0	9	0.26
2	0.072	0.072	0	0	0	0	0	0.00016	0	0.78	0.072	0.0024	0	0	0	0	0	0	9	0.26
3	0	0	0	0	0	0	0	0.0005	0	0	0	3.5e-06	0	0	0	1	0	0	15	0.058
4	0.00072	0.00072	0	0	0	0	0	0	0	1	0.00072	0	0	0	0	0	0	0	9	0.26
5	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0.17	0.17	2	0
6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0.26
7	0	0	0.087	0.087	0	0	0	0	0.087	0.48	0	0	0	0	0.087	0	0.087	0.087	9	0.26
8	0.058	0.058	0	0	0	0	0	3.1e-06	0	0.83	0.058	0.00021	0	0	0	0	0	0	9	0.26
9	0.031	0.031	0	0	0	0	0	0	0	0.91	0.031	1.5e-05	0	0	0	0	0	0	9	0.26
10	0.091	0.091	0	0	0	0	0	0.093	0	0.44	0.091	0.16	0	0	0	0.037	0	0	9	0.26
11	0	0	0	0	0	0	0	0.0024	0	0	0	2.1e-05	0	0	0	1	0	0	15	0.058
12	0.11	0.11	0	0	0	0	0	0.12	0	0.19	0.11	0.35	0	0	0	0.0013	0	0	11	0.14
13	0	0	0	0	0	0	0	0.0076	0	0	0	0.00012	0	0	0	0.99	0	0	15	0.058
14	0.088	0.088	0	0	0	0	0	0	0	0.74	0.088	8.2e-05	0	0	0	0	0	0	9	0.26
15	0.06	0.06	0	0	0	0	0	0	0	0.82	0.06	0	0	0	0	0	0	0	9	0.26
16	0.12	0.12	0	0	0	0	0	0	0	0.63	0.12	7.5e-06	0	0	0	0	0	0	9	0.26
17	0.12	0.12	0	0	0	0	0	0.0024	0	0.63	0.12	0.017	0	0	0	8.1e-06	0	0	9	0.26
18	0.052	0.052	0	0	0	0	0	0	0	0.84	0.052	0	0	0	0	0	0	0	9	0.26
19	0.045	0.045	0	0	0	0	0	0	0	0.87	0.045	0	0	0	0	0	0	0	9	0.26
20	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	1.5e-06	0.17	0.17	2	0
21	0	0	0	0	0	0	0	0.00044	0	0	0	1.8e-06	0	0	0	1	0	0	15	0.058
22	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	4.2e-05	0.17	0.17	2	0
23	0.033	0.033	0	0	0	0	0	0	0	0.9	0.033	0	0	0	0	0	0	0	9	0.26
24	0.00013	0.00013	0	0	0	0	0	0.076	0	8.1e-05	0.00013	0.026	0	0	0	0.9	0	0	15	0.058
25	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0.17	0.17	2	0
26	0.026	0.026	0	0	0	0	0	0	0	0.92	0.026	0	0	0	0	0	0	0	9	0.26
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0.058
28	0.096	0.096	0	0	0	0	0	0	0	0.71	0.096	1.3e-06	0	0	0	0	0	0	9	0.26
29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
30	2e-06	2e-06	0	0	0	0	0	0.77	0	0	2e-06	0.19	0	0	0	0.047	0	0	7	0.12
31	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	1	0	0	15	0.058
32	0.037	0.037	0	0	0	0	0	0	0	0.89	0.037	0	0	0	0	0	0	0	9	0.26
33	0.023	0.023	0	0	0	0	0	0.18	0	0.053	0.023	0.16	0	0	0	0.54	0	0	15	0.058
34	0.0018	0.0018	0	0	0	0	0	0.38	0	0.00034	0.0018	0.61	0	0	0	0.00045	0	0	11	0.14
35	0.028	0.028	0	0	0	0	0	0	0	0.92	0.028	1.7e-06	0	0	0	0	0	0	9	0.26
36	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0.00011	0.17	0.17	2	0
37	0.066	0.066	0	0	0	0	0	0	0	0.8	0.066	0	0	0	0	0	0	0	9	0.26
38	0.18	0.18	0	0	0	0	0	2.1e-05	0	0.46	0.18	0.003	0	0	0	0	0	0	9	0.26
39	0.005	0.005	0	0	0	0	0	0.47	0	0.0032	0.005	0.39	0	0	0	0.12	0	0	7	0.12
40	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0.17	0.17	2	0
41	0.12	0.12	0	0	0	0	0	0	0	0.65	0.12	2.8e-06	0	0	0	0	0	0	9	0.26
42	0.067	0.067	0	0	7.1e-05	0	0	0.00043	0	0.8	0.067	0.0025	0	0	0	1.5e-05	0	0	9	0.26
43	0.13	0.13	0	0	0	0	0	0.015	0	0.54	0.13	0.056	0	0	0	0.00033	0	0	9	0.26
44	0.12	0.12	0	0	0	0	0	0.0091	0	0.58	0.12	0.039	0	0	0	0.00016	0	0	9	0.26
45	0	0	0	0	0	0	0	0.0036	0	0	0	6.5e-05	0	0	0	1	0	0	15	0.058
46	0.045	0.045	0	0	0	0	0	2.4e-06	0	0.87	0.045	8.8e-05	0	0	0	0	0	0	9	0.26
47	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	2.4e-06	0.17	0.17	2	0
48	0.11	0.11	0	0	0	0	0	0	0	0.66	0.11	8.6e-05	0	0	0	0	0	0	9	0.26
49	0.05	0.05	0	0	0	0	0	0	0	0.85	0.05	1.1e-05	0	0	0	0	0	0	9	0.26
50	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0.17	0.17	2	0
51	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	1.1e-05	0.17	0.17	2	0
52	0.12	0.12	0	0	0	0	0	0.0011	0	0.62	0.12	0.012	0	0	0	0	0	0	9	0.26
53	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0.17	0.17	2	0
54	0	0	0.17	0.17	0	0	0	0	0.17	0	0	0	0	0	0.17	1.2e-06	0.17	0.17	2	0
55	0.14	0.14	0	0	0	0	0	0.055	0	0.14	0.14	0.39	0	0	0	4.7e-06	0	0	11	0.14
56	0.062	0.062	0	0	0	0	0	0	0	0.82	0.062	1.7e-05	0	0	0	0	0	0	9	0.26
57	0	0	0	0	0	0	0	0.0023	0	0	0	2.5e-05	0	0	0	1	0	0	15	0.058
58	0.14	0.14	0	0	0	0	0	0.00016	0	0.56	0.14	0.0055	0	0	0	0	0	0	9	0.26
