SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.092	0	0.9	0	0	0.00024	0.011	2	0.12
1	0.093	0	0	0	0	0	0.91	6	0.26
2	0.24	0	0.00034	0	0	0	0.76	6	0.26
3	0	0	0.001	0	0	1	0	5	0.058
4	0.0024	0	0	0	0	0	1	6	0.26
5	0	1	0	0	0	0	0	1	0
6	0	0	0	0	0	0	1	6	0.26
7	0	0.53	0	0	0	0	0.47	1	0
8	0.19	0	6.3e-06	0	0	0	0.81	6	0.26
9	0.1	0	0	0	0	0	0.9	6	0.26
10	0.31	0	0.2	0	0	0.038	0.45	6	0.26
11	0	0	0.005	0	0	0.99	0	5	0.058
12	0.46	0	0.3	0	0	0.0015	0.23	0	0.23
13	0	0	0.016	0	0	0.98	0	5	0.058
14	0.29	0	0	0	0	0	0.71	6	0.26
15	0.2	0	0	0	0	0	0.8	6	0.26
16	0.4	0	0	0	0	0	0.6	6	0.26
17	0.39	0	0.005	0	0	8e-06	0.61	6	0.26
18	0.17	0	0	0	0	0	0.83	6	0.26
19	0.15	0	0	0	0	0	0.85	6	0.26
20	0	1	0	0	0	1.5e-06	0	1	0
21	0	0	0.0009	0	0	1	0	5	0.058
22	0	1	0	0	0	4.2e-05	0	1	0
23	0.11	0	0	0	0	0	0.89	6	0.26
24	0.00039	0	0.15	0	0	0.85	7.5e-05	5	0.058
25	0	1	0	0	0	0	0	1	0
26	0.086	0	0	0	0	0	0.91	6	0.26
27	0	0	1.4e-06	0	0	1	0	5	0.058
28	0.31	0	0	0	0	0	0.69	6	0.26
29	0	0	0	0	1	0	0	4	1
30	4e-06	0	0.97	0	0	0.029	0	2	0.12
31	0	0	0.00028	0	0	1	0	5	0.058
32	0.12	0	0	0	0	0	0.88	6	0.26
33	0.074	0	0.36	0	0	0.52	0.05	5	0.058
34	0.0076	0	0.99	0	0	0.00057	0.00043	2	0.12
35	0.092	0	0	0	0	0	0.91	6	0.26
36	0	1	0	0	0	0.00011	0	1	0
37	0.22	0	0	0	0	0	0.78	6	0.26
38	0.57	0	4.2e-05	0	0	0	0.43	0	0.23
39	0.015	0	0.87	0	0	0.11	0.0028	2	0.12
40	0	1	0	0	0	0	0	1	0
41	0.38	0	0	0	0	0	0.62	6	0.26
42	0.22	0	0.00089	0	7.1e-05	1.5e-05	0.78	6	0.26
43	0.43	0	0.031	0	0	0.00033	0.53	6	0.26
44	0.41	0	0.019	0	0	0.00016	0.57	6	0.26
45	0	0	0.0074	0	0	0.99	0	5	0.058
46	0.15	0	5e-06	0	0	0	0.85	6	0.26
47	0	1	0	0	0	2.4e-06	0	1	0
48	0.37	0	0	0	0	0	0.63	6	0.26
49	0.16	0	0	0	0	0	0.84	6	0.26
50	0	1	0	0	0	0	0	1	0
51	0	1	0	0	0	1.1e-05	0	1	0
52	0.4	0	0.0023	0	0	0	0.6	6	0.26
53	0	1	0	0	0	0	0	1	0
54	0	1	0	0	0	1.2e-06	0	1	0
55	0.64	0	0.16	0	0	6.5e-06	0.2	0	0.23
56	0.2	0	0	0	0	0	0.8	6	0.26
57	0	0	0.0047	0	0	1	0	5	0.058
58	0.46	0	0.00032	0	0	0	0.54	6	0.26
59	0.47	0	0.0012	0	0	0	0.53	6	0.26
60	0.15	0	0	0	0	0	0.85	6	0.26
61	5.4e-05	0	0.083	0	0	0.92	7.2e-06	5	0.058
62	0	1	0	0	0	0.0015	0	1	0
63	0.69	0	0	0	0	0	0.31	0	0.23
64	0.71	0	1.4e-05	0	0	0	0.29	0	0.23
65	0.86	0	2.4e-06	0	0	0	0.14	0	0.23
66	0	1	0	0	0	0	0	1	0
67	0.63	0	0	0	0	0	0.37	0	0.23
68	0.19	0	1.2e-06	0	0	0	0.81	6	0.26
69	0.51	0	0	0	0	0	0.49	0	0.23
70	0.34	0	0.00019	0	0	0	0.66	6	0.26
71	0	0	3.8e-06	0	0	1	0	5	0.058
72	0.15	0	0	0	0	0	0.85	6	0.26
73	0	0	3.3e-06	0	0	1	0	5	0.058
74	0.46	0	2e-06	0	0	0	0.54	6	0.26
75	0	0	0.0091	0	0	0.99	0	5	0.058
76	0.41	0	0	0	0	0	0.59	6	0.26
77	0	0	0.00011	0	0	1	0	5	0.058
78	0.11	0	0	0	0	0	0.89	6	0.26
79	0.49	0	0	0	0	0	0.51	6	0.26
80	0.47	0	4.1e-06	0	0	0	0.53	6	0.26
81	0.15	0	0	0	0	0	0.85	6	0.26
82	0	1	0	0	0	0	0	1	0
83	0	1	0	0	0	0	0	1	0
84	0	1	0	0	0	1.9e-06	0	1	0
85	0.42	0	3.7e-05	0	0	0	0.58	6	0.26
86	0.14	0	0	0	0	0	0.86	6	0.26
87	0.51	0	0.093	0	0	0.00053	0.4	0	0.23
88	0.33	0	0.0038	0	0	1.7e-05	0.66	6	0.26
89	0.23	0	2.2e-06	0	0	0	0.77	6	0.26
90	0.14	0	0	0	0	0	0.86	6	0.26
91	0.35	0	0.00013	0	0	0	0.65	6	0.26
92	0.24	0	6.2e-05	0	0	0	0.76	6	0.26
93	0.28	0	0	0	0	0	0.72	6	0.26
94	0	1	0	0	0	0	0	1	0
95	0.44	0	0.00013	0	0	0	0.56	6	0.26
96	0	1	0	0	0	0	0	1	0
97	0	1	0	0	0	4.5e-06	0	1	0
98	0	1	0	0	0	1.8e-06	0	1	0
99	0.42	0	0	0	0	0	0.58	6	0.26
100	0	1	0	0	0	0	0	1	0
101	0	0	6.1e-05	0	0	1	0	5	0.058
102	1.4e-06	0	0.11	0	0	0.89	0	5	0.058
103	0	1	0	0	0	0	0	1	0
104	0	0	0.013	0	0	0.99	0	5	0.058
105	0.66	0	0.0027	0	0	0	0.33	0	0.23
