SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.084	0	0	0	0	0.0078	0.084	0.0078	0.69	0.0078	0.0033	0	0.0078	0.0033	0.00014	0.084	0.0086	0	0.0078	0	8	0.14
1	0	0	0	0	0	0.014	0	0.014	5.2e-06	0.014	0.46	0	0.014	0.46	0	0	0.015	0	0.014	0	10	0.26
2	5.5e-05	0	0	0	0	0.035	5.5e-05	0.035	0.0024	0.035	0.39	0	0.035	0.39	0	5.5e-05	0.039	0	0.035	0	10	0.26
3	0.00017	0	0	0	0	0	0.00017	0	3.5e-06	0	0	0	0	0	1	0.00017	0	0	0	0	14	0.058
4	0	0	0	0	0	0.00035	0	0.00035	0	0.00035	0.5	0	0.00035	0.5	0	0	0.00039	0	0.00035	0	10	0.26
5	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	2	0
6	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	10	0.26
7	0	0	0.13	0.13	0.13	0	0	0	0	0	0.24	0	0	0.24	0	0	0	0	0	0.13	10	0.26
8	0	0	0	0	0	0.029	0	0.029	0.00021	0.029	0.41	0	0.029	0.41	0	0	0.032	0	0.029	0	10	0.26
9	0	0	0	0	0	0.015	0	0.015	1.5e-05	0.015	0.45	0	0.015	0.45	0	0	0.017	0	0.015	0	10	0.26
10	0.031	0	0	0	0	0.045	0.031	0.045	0.16	0.045	0.22	0	0.045	0.22	0.037	0.031	0.049	0	0.045	0	10	0.26
11	0.00081	0	0	0	0	0	0.00081	0	2.1e-05	0	0	0	0	0	1	0.00081	0	0	0	0	14	0.058
12	0.04	0	0	0	0	0.056	0.04	0.056	0.35	0.056	0.096	0	0.056	0.096	0.0013	0.04	0.061	0	0.056	0	8	0.14
13	0.0025	0	0	0	0	0	0.0025	0	0.00012	0	0	0	0	0	0.99	0.0025	0	0	0	0	14	0.058
14	0	0	0	0	0	0.043	0	0.043	8.2e-05	0.043	0.37	0	0.043	0.37	0	0	0.048	0	0.043	0	10	0.26
15	0	0	0	0	0	0.029	0	0.029	0	0.029	0.41	0	0.029	0.41	0	0	0.032	0	0.029	0	10	0.26
