SNV	cluster0	cluster1	cluster	dcf0
0	1	0	0	0.26
1	1	0	0	0.26
2	1	0	0	0.26
3	0	1	1	0.029
4	1	0	0	0.26
5	0	1	1	0.029
6	1	0	0	0.26
7	1	0.00015	0	0.26
8	1	0	0	0.26
9	1	0	0	0.26
10	1	0.0013	0	0.26
11	0	1	1	0.029
12	1	0	0	0.26
13	0	1	1	0.029
14	1	0	0	0.26
15	1	0	0	0.26
16	1	0	0	0.26
17	1	0	0	0.26
18	1	0	0	0.26
19	1	0	0	0.26
20	0	1	1	0.029
21	0	1	1	0.029
22	0	1	1	0.029
23	1	0	0	0.26
24	0.00081	1	1	0.029
25	0	1	1	0.029
26	1	0	0	0.26
27	0	1	1	0.029
28	1	0	0	0.26
29	1	0	0	0.26
30	0.32	0.68	1	0.029
31	0	1	1	0.029
32	1	0	0	0.26
33	0.46	0.54	1	0.029
34	1	0	0	0.26
35	1	0	0	0.26
36	0	1	1	0.029
37	1	0	0	0.26
38	1	0	0	0.26
39	0.96	0.038	0	0.26
40	0	1	1	0.029
41	1	0	0	0.26
42	1	0	0	0.26
43	1	0	0	0.26
44	1	0	0	0.26
45	0	1	1	0.029
46	1	0	0	0.26
47	0	1	1	0.029
48	1	0	0	0.26
49	1	0	0	0.26
50	0	1	1	0.029
51	0	1	1	0.029
52	1	0	0	0.26
53	0	1	1	0.029
54	0	1	1	0.029
55	1	0	0	0.26
56	1	0	0	0.26
57	0	1	1	0.029
58	1	0	0	0.26
59	1	0	0	0.26
60	1	0	0	0.26
61	5.2e-05	1	1	0.029
62	0	1	1	0.029
63	1	0	0	0.26
64	1	0	0	0.26
65	1	0	0	0.26
66	0	1	1	0.029
67	1	0	0	0.26
68	1	0	0	0.26
69	1	0	0	0.26
70	1	0	0	0.26
71	0	1	1	0.029
72	1	0	0	0.26
73	0	1	1	0.029
74	1	0	0	0.26
75	0	1	1	0.029
76	1	0	0	0.26
77	0	1	1	0.029
78	1	0	0	0.26
79	1	0	0	0.26
80	1	0	0	0.26
81	1	0	0	0.26
82	0	1	1	0.029
83	0	1	1	0.029
84	0	1	1	0.029
85	1	0	0	0.26
86	1	0	0	0.26
87	1	0	0	0.26
88	1	0	0	0.26
89	1	0	0	0.26
90	1	0	0	0.26
91	1	0	0	0.26
92	1	0	0	0.26
93	1	0	0	0.26
94	0	1	1	0.029
95	1	0	0	0.26
96	0	1	1	0.029
97	0	1	1	0.029
98	0	1	1	0.029
99	1	0	0	0.26
100	0	1	1	0.029
101	0	1	1	0.029
102	3.2e-06	1	1	0.029
103	0	1	1	0.029
104	0	1	1	0.029
105	1	0	0	0.26
