SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0
0	0.92	0	0.002	0.073	0	0	0	0.23
1	0.14	0	0	0.86	6.3e-06	0	3	0.26
2	0.33	0	0	0.67	0	0	3	0.26
3	0	0	1	0	0	0	2	0.058
4	0.0038	0	0	1	3.4e-06	0	3	0.26
5	0	1	0	0	0	0	1	0
6	0	0	0	1	0	0	3	0.26
7	0	0.56	0	0.44	0	0	1	0
8	0.27	0	0	0.73	0	0	3	0.26
9	0.15	0	0	0.85	5.3e-06	0	3	0.26
10	0.5	0	0.05	0.45	0	0	0	0.23
11	0	0	1	0	0	0	2	0.058
12	0.76	0	0.0021	0.24	0	0	0	0.23
13	0	0	1	0	0	0	2	0.058
14	0.39	0	0	0.61	0	0	3	0.26
15	0.28	0	0	0.72	0	0	3	0.26
16	0.51	0	0	0.49	0	0	0	0.23
17	0.5	0	8.5e-06	0.5	0	0	3	0.26
18	0.24	0	0	0.76	1.3e-06	0	3	0.26
19	0.21	0	0	0.79	2.7e-06	0	3	0.26
20	0	1	1.7e-06	0	0	0	1	0
21	0	0	1	0	0	0	2	0.058
22	0	1	4.8e-05	0	0	0	1	0
23	0.16	0	0	0.84	3.8e-06	0	3	0.26
24	0.00056	0	1	6.9e-05	0	0	2	0.058
25	0	1	0	0	0	0	1	0
26	0.13	0	0	0.87	1.4e-05	0	3	0.26
27	0	0	1	0	0	0	2	0.058
28	0.42	0	0	0.58	0	0	3	0.26
29	0	0	0	0	0	1	5	1
30	0.00017	0	1	0	0	0	2	0.058
31	0	0	1	0	0	0	2	0.058
32	0.18	0	0	0.82	0	0	3	0.26
33	0.14	0	0.8	0.06	0	0	2	0.058
34	0.91	0	0.056	0.033	0	0	0	0.23
35	0.14	0	0	0.86	1.8e-05	0	3	0.26
36	0	1	0.00013	0	0	0	1	0
37	0.3	0	0	0.7	0	0	3	0.26
38	0.67	0	0	0.33	0	0	0	0.23
39	0.14	0	0.85	0.017	0	0	2	0.058
40	0	1	0	0	0	0	1	0
41	0.49	0	0	0.51	0	0	3	0.26
42	0.31	0	1.7e-05	0.69	5.6e-06	7.2e-05	3	0.26
43	0.56	0	0.00035	0.44	0	0	0	0.23
44	0.53	0	0.00017	0.47	0	0	0	0.23
45	0	0	1	0	0	0	2	0.058
46	0.21	0	0	0.79	1.1e-05	0	3	0.26
47	0	1	2.7e-06	0	0	0	1	0
48	0.48	0	0	0.52	0	0	3	0.26
49	0.24	0	0	0.76	3.9e-06	0	3	0.26
50	0	1	0	0	0	0	1	0
51	0	1	1.2e-05	0	0	0	1	0
52	0.51	0	0	0.49	0	0	0	0.23
53	0	1	0	0	0	0	1	0
54	0	1	1.4e-06	0	0	0	1	0
55	0.84	0	7e-06	0.16	0	0	0	0.23
56	0.29	0	0	0.71	1.9e-06	0	3	0.26
57	0	0	1	0	0	0	2	0.058
58	0.57	0	0	0.43	0	0	0	0.23
59	0.58	0	0	0.42	0	0	0	0.23
60	0.22	0	0	0.78	5.1e-06	0	3	0.26
61	7.2e-05	0	1	6.1e-06	0	0	2	0.058
62	0	1	0.0017	0	0	0	1	0
63	0.78	0	0	0.22	0	0	0	0.23
64	0.8	0	0	0.2	0	0	0	0.23
65	0.91	0	0	0.091	0	0	0	0.23
66	0	1	0	0	0	0	1	0
67	0.73	0	0	0.27	0	0	0	0.23
68	0.27	0	0	0.73	3.5e-06	0	3	0.26
69	0.62	0	0	0.38	0	0	0	0.23
70	0.45	0	0	0.55	0	0	3	0.26
71	0	0	1	0	0	0	2	0.058
72	0.21	0	0	0.79	0	0	3	0.26
73	0	0	1	0	0	0	2	0.058
74	0.57	0	0	0.43	0	0	0	0.23
75	0	0	1	0	3.3e-06	0	2	0.058
76	0.53	0	0	0.47	0	0	0	0.23
77	0	0	1	0	0	0	2	0.058
78	0.16	0	0	0.84	4.4e-06	0	3	0.26
79	0.6	0	0	0.4	0	0	0	0.23
80	0.59	0	0	0.41	0	0	0	0.23
81	0.22	0	0	0.78	1.2e-06	0	3	0.26
82	0	1	0	0	0	0	1	0
83	0	1	0	0	0	0	1	0
84	0	1	2.2e-06	0	0	0	1	0
85	0.53	0	0	0.47	0	0	0	0.23
86	0.2	0	0	0.8	3.9e-06	0	3	0.26
87	0.66	0	0.00057	0.34	0	0	0	0.23
88	0.44	0	1.8e-05	0.56	1.3e-06	0	3	0.26
89	0.32	0	0	0.68	2e-06	0	3	0.26
90	0.2	0	0	0.8	3.8e-06	0	3	0.26
91	0.45	0	0	0.55	0	0	3	0.26
92	0.33	0	0	0.67	2.8e-06	0	3	0.26
93	0.38	0	0	0.62	0	0	3	0.26
94	0	1	0	0	0	0	1	0
95	0.55	0	0	0.45	0	0	0	0.23
96	0	1	0	0	0	0	1	0
97	0	1	5.1e-06	0	0	0	1	0
98	0	1	2.1e-06	0	0	0	1	0
99	0.53	0	0	0.47	0	0	0	0.23
100	0	1	0	0	0	0	1	0
101	0	0	1	0	0	0	2	0.058
102	1.9e-06	0	1	0	0	0	2	0.058
103	0	1	0	0	0	0	1	0
104	0	0	1	0	0	0	2	0.058
105	0.76	0	0	0.24	0	0	0	0.23
