SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0
0	0.25	0.016	0	0.016	0.00014	0	0.016	0	0	0.7	0.0067	0	0	0	0	9	0.14
1	0	0.028	0	0.028	0	0	0.028	0	0	5.2e-06	0.92	0	0	0	0	10	0.26
2	0.00016	0.072	0	0.072	0	0	0.072	0	0	0.0024	0.78	0	0	0	0	10	0.26
3	0.0005	0	0	0	1	0	0	0	0	3.5e-06	0	0	0	0	0	4	0.058
4	0	0.00072	0	0.00072	0	0	0.00072	0	0	0	1	0	0	0	0	10	0.26
5	0	0	0.17	0	0	0.17	0	0.17	0.17	0	0	0.17	0	0.17	0	2	0
6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0.26
7	0	0	0.087	0	0	0.087	0	0.087	0.087	0	0.48	0.087	0	0.087	0	10	0.26
8	3.1e-06	0.058	0	0.058	0	0	0.058	0	0	0.00021	0.83	0	0	0	0	10	0.26
9	0	0.031	0	0.031	0	0	0.031	0	0	1.5e-05	0.91	0	0	0	0	10	0.26
10	0.093	0.091	0	0.091	0.037	0	0.091	0	0	0.16	0.44	0	0	0	0	10	0.26
11	0.0024	0	0	0	1	0	0	0	0	2.1e-05	0	0	0	0	0	4	0.058
12	0.12	0.11	0	0.11	0.0013	0	0.11	0	0	0.35	0.19	0	0	0	0	9	0.14
13	0.0076	0	0	0	0.99	0	0	0	0	0.00012	0	0	0	0	0	4	0.058
14	0	0.088	0	0.088	0	0	0.088	0	0	8.2e-05	0.74	0	0	0	0	10	0.26
15	0	0.06	0	0.06	0	0	0.06	0	0	0	0.82	0	0	0	0	10	0.26
16	0	0.12	0	0.12	0	0	0.12	0	0	7.5e-06	0.63	0	0	0	0	10	0.26
17	0.0024	0.12	0	0.12	8.1e-06	0	0.12	0	0	0.017	0.63	0	0	0	0	10	0.26
18	0	0.052	0	0.052	0	0	0.052	0	0	0	0.84	0	0	0	0	10	0.26
19	0	0.045	0	0.045	0	0	0.045	0	0	0	0.87	0	0	0	0	10	0.26
20	0	0	0.17	0	1.5e-06	0.17	0	0.17	0.17	0	0	0.17	0	0.17	0	2	0
21	0.00043	0	0	0	1	0	0	0	0	1.8e-06	0	0	0	0	0	4	0.058
22	0	0	0.17	0	4.2e-05	0.17	0	0.17	0.17	0	0	0.17	0	0.17	0	2	0
23	0	0.033	0	0.033	0	0	0.033	0	0	0	0.9	0	0	0	0	10	0.26
24	0.076	0.00012	0	0.00012	0.9	0	0.00012	0	0	0.026	8.1e-05	0	0	0	0	4	0.058
25	0	0	0.17	0	0	0.17	0	0.17	0.17	0	0	0.17	0	0.17	0	2	0
26	0	0.026	0	0.026	0	0	0.026	0	0	0	0.92	0	0	0	0	10	0.26
27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.058
28	0	0.096	0	0.096	0	0	0.096	0	0	1.3e-06	0.71	0	0	0	0	10	0.26
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	1
30	0.77	2e-06	0	2e-06	0.047	0	2e-06	0	0	0.19	0	0	0	0	0	0	0.12
31	0.00014	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.058
32	0	0.037	0	0.037	0	0	0.037	0	0	0	0.89	0	0	0	0	10	0.26
