SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.024	0.25	0	0	7e-05	7e-05	0.0033	0.0033	0	0.024	0.7	0	10	0.14
1	0.042	0	0	0	0	0	0.46	0.46	0	0.042	5.2e-06	0	6	0.26
2	0.11	0.00016	0	0	0	0	0.39	0.39	0	0.11	0.0024	0	6	0.26
3	0	0.0005	0	0	0.5	0.5	0	0	0	0	3.5e-06	0	4	0.058
4	0.0011	0	0	0	0	0	0.5	0.5	0	0.0011	0	0	6	0.26
5	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
6	0	0	0	0	0	0	0.5	0.5	0	0	0	0	6	0.26
7	0	0	0	0.26	0	0	0.24	0.24	0.26	0	0	0	3	0
8	0.087	3.1e-06	0	0	0	0	0.41	0.41	0	0.087	0.00021	0	6	0.26
9	0.046	0	0	0	0	0	0.45	0.45	0	0.046	1.5e-05	0	6	0.26
10	0.14	0.093	0	0	0.019	0.019	0.22	0.22	0	0.14	0.16	0	6	0.26
11	0	0.0024	0	0	0.5	0.5	0	0	0	0	2.1e-05	0	4	0.058
12	0.17	0.12	0	0	0.00063	0.00063	0.096	0.096	0	0.17	0.35	0	10	0.14
13	0	0.0076	0	0	0.5	0.5	0	0	0	0	0.00012	0	4	0.058
14	0.13	0	0	0	0	0	0.37	0.37	0	0.13	8.2e-05	0	6	0.26
15	0.089	0	0	0	0	0	0.41	0.41	0	0.089	0	0	6	0.26
16	0.19	0	0	0	0	0	0.31	0.31	0	0.19	7.5e-06	0	6	0.26
17	0.18	0.0024	0	0	4.1e-06	4.1e-06	0.31	0.31	0	0.18	0.017	0	6	0.26
18	0.078	0	0	0	0	0	0.42	0.42	0	0.078	0	0	6	0.26
19	0.067	0	0	0	0	0	0.43	0.43	0	0.067	0	0	6	0.26
20	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
21	0	0.00043	0	0	0.5	0.5	0	0	0	0	1.8e-06	0	4	0.058
22	0	0	0	0.5	2.1e-05	2.1e-05	0	0	0.5	0	0	0	3	0
23	0.05	0	0	0	0	0	0.45	0.45	0	0.05	0	0	6	0.26
24	0.00019	0.076	0	0	0.45	0.45	4e-05	4e-05	0	0.00019	0.026	0	4	0.058
25	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
26	0.038	0	0	0	0	0	0.46	0.46	0	0.038	0	0	6	0.26
27	0	0	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
28	0.14	0	0	0	0	0	0.36	0.36	0	0.14	1.3e-06	0	6	0.26
29	0	0	0	0	0	0	0	0	0	0	0	1	11	1
30	3e-06	0.77	0	0	0.024	0.024	0	0	0	3e-06	0.19	0	1	0.12
31	0	0.00014	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
32	0.056	0	0	0	0	0	0.44	0.44	0	0.056	0	0	6	0.26
33	0.035	0.18	0	0	0.27	0.27	0.026	0.026	0	0.035	0.16	0	4	0.058
34	0.0027	0.38	0	0	0.00023	0.00023	0.00017	0.00017	0	0.0027	0.61	0	10	0.14
35	0.041	0	0	0	0	0	0.46	0.46	0	0.041	1.7e-06	0	6	0.26
36	0	0	0	0.5	5.7e-05	5.7e-05	0	0	0.5	0	0	0	3	0
37	0.099	0	0	0	0	0	0.4	0.4	0	0.099	0	0	6	0.26
38	0.27	2.1e-05	0	0	0	0	0.23	0.23	0	0.27	0.003	0	0	0.23
39	0.0075	0.47	0	0	0.062	0.062	0.0016	0.0016	0	0.0075	0.39	0	1	0.12
40	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
41	0.18	0	0	0	0	0	0.32	0.32	0	0.18	2.8e-06	0	6	0.26
42	0.1	0.00043	0	0	7.5e-06	7.5e-06	0.4	0.4	0	0.1	0.0025	7.1e-05	6	0.26
43	0.2	0.015	0	0	0.00016	0.00016	0.27	0.27	0	0.2	0.057	0	6	0.26
44	0.19	0.0091	0	0	8.2e-05	8.2e-05	0.29	0.29	0	0.19	0.039	0	6	0.26
45	0	0.0036	0	0	0.5	0.5	0	0	0	0	6.6e-05	0	4	0.058
46	0.067	2.4e-06	0	0	0	0	0.43	0.43	0	0.067	8.8e-05	0	6	0.26
47	0	0	0	0.5	1.2e-06	1.2e-06	0	0	0.5	0	0	0	3	0
48	0.17	0	0	0	0	0	0.33	0.33	0	0.17	8.7e-05	0	6	0.26
49	0.075	0	0	0	0	0	0.43	0.43	0	0.075	1.1e-05	0	6	0.26
50	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
51	0	0	0	0.5	5.3e-06	5.3e-06	0	0	0.5	0	0	0	3	0
52	0.18	0.0011	0	0	0	0	0.31	0.31	0	0.18	0.012	0	6	0.26
53	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
54	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
55	0.21	0.055	0	0	2.3e-06	2.3e-06	0.071	0.071	0	0.21	0.39	0	10	0.14
56	0.092	0	0	0	0	0	0.41	0.41	0	0.092	1.7e-05	0	6	0.26
57	0	0.0023	0	0	0.5	0.5	0	0	0	0	2.5e-05	0	4	0.058
58	0.21	0.00016	0	0	0	0	0.28	0.28	0	0.21	0.0056	0	6	0.26
59	0.22	0.0006	0	0	0	0	0.28	0.28	0	0.22	0.012	0	6	0.26
60	0.068	0	0	0	0	0	0.43	0.43	0	0.068	8.3e-06	0	6	0.26
61	2.5e-05	0.041	0	0	0.47	0.47	3.8e-06	3.8e-06	0	2.5e-05	0.01	0	4	0.058
62	0	0	0	0.5	0.00078	0.00078	0	0	0.5	0	0	0	3	0
63	0.33	0	0	0	0	0	0.17	0.17	0	0.33	0.00038	0	0	0.23
64	0.34	7.1e-06	0	0	0	0	0.15	0.15	0	0.34	0.0033	0	0	0.23
65	0.42	1.2e-06	0	0	0	0	0.075	0.075	0	0.42	0.0032	0	0	0.23
66	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
67	0.3	0	0	0	0	0	0.2	0.2	0	0.3	0	0	0	0.23
68	0.087	0	0	0	0	0	0.41	0.41	0	0.087	6.2e-05	0	6	0.26
69	0.24	0	0	0	0	0	0.26	0.26	0	0.24	0.00012	0	6	0.26
70	0.16	9.5e-05	0	0	0	0	0.34	0.34	0	0.16	0.0024	0	6	0.26
71	0	1.8e-06	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
72	0.067	0	0	0	0	0	0.43	0.43	0	0.067	0	0	6	0.26
73	0	1.6e-06	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
74	0.22	1e-06	0	0	0	0	0.28	0.28	0	0.22	0.00038	0	6	0.26
75	0	0.0044	0	0	0.5	0.5	0	0	0	0	0.00015	0	4	0.058
76	0.19	0	0	0	0	0	0.31	0.31	0	0.19	6.9e-06	0	6	0.26
77	0	5.4e-05	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
78	0.049	0	0	0	0	0	0.45	0.45	0	0.049	0	0	6	0.26
79	0.23	0	0	0	0	0	0.27	0.27	0	0.23	0.00018	0	6	0.26
80	0.22	2.1e-06	0	0	0	0	0.28	0.28	0	0.22	0.00059	0	6	0.26
81	0.068	0	0	0	0	0	0.43	0.43	0	0.068	0	0	6	0.26
82	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
83	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
84	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
85	0.2	1.8e-05	0	0	0	0	0.3	0.3	0	0.2	0.0015	0	6	0.26
86	0.061	0	0	0	0	0	0.44	0.44	0	0.061	0	0	6	0.26
87	0.21	0.042	0	0	0.00025	0.00025	0.19	0.19	0	0.21	0.15	0	0	0.23
88	0.15	0.0018	0	0	8.6e-06	8.6e-06	0.34	0.34	0	0.15	0.011	0	6	0.26
89	0.1	1.1e-06	0	0	0	0	0.4	0.4	0	0.1	0.00011	0	6	0.26
90	0.063	0	0	0	0	0	0.44	0.44	0	0.063	1.2e-06	0	6	0.26
91	0.16	6.2e-05	0	0	0	0	0.34	0.34	0	0.16	0.0019	0	6	0.26
92	0.11	3e-05	0	0	0	0	0.39	0.39	0	0.11	0.0007	0	6	0.26
93	0.13	0	0	0	0	0	0.37	0.37	0	0.13	1.8e-05	0	6	0.26
94	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
95	0.2	6.7e-05	0	0	0	0	0.29	0.29	0	0.2	0.0032	0	6	0.26
96	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
97	0	0	0	0.5	2.3e-06	2.3e-06	0	0	0.5	0	0	0	3	0
98	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
99	0.19	0	0	0	0	0	0.31	0.31	0	0.19	2e-05	0	6	0.26
100	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
101	0	3e-05	0	0	0.5	0.5	0	0	0	0	0	0	4	0.058
102	0	0.055	0	0	0.47	0.47	0	0	0	0	0.007	0	4	0.058
103	0	0	0	0.5	0	0	0	0	0.5	0	0	0	3	0
104	0	0.0062	0	0	0.5	0.5	0	0	0	0	0.00019	0	4	0.058
105	0.31	0.0014	0	0	0	0	0.17	0.17	0	0.31	0.042	0	0	0.23
