SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0.98	0.016	0	0	0	0.26
1	1	0	0	0	0	0.26
2	1	0	0	0	0	0.26
3	0	1	0	0	1	0.058
4	1	0	0	0	0	0.26
5	0	0	0	1	3	0
6	1	0	0	0	0	0.26
7	0.58	0	0	0.42	0	0.26
8	1	0	0	0	0	0.26
9	1	0	0	0	0	0.26
10	0.94	0.062	0	0	0	0.26
11	0	1	0	0	1	0.058
12	0.99	0.0051	0	0	0	0.26
13	0	1	0	0	1	0.058
14	1	0	0	0	0	0.26
15	1	0	0	0	0	0.26
16	1	0	0	0	0	0.26
17	1	1e-05	0	0	0	0.26
18	1	0	0	0	0	0.26
19	1	0	0	0	0	0.26
20	0	1.8e-06	0	1	3	0
21	0	1	0	0	1	0.058
22	0	5e-05	0	1	3	0
23	1	0	0	0	0	0.26
24	0.00012	1	0	0	1	0.058
25	0	0	0	1	3	0
26	1	0	0	0	0	0.26
27	0	1	0	0	1	0.058
28	1	0	0	0	0	0.26
29	0	0	1	0	2	1
30	1.5e-06	1	0	0	1	0.058
31	0	1	0	0	1	0.058
32	1	0	0	0	0	0.26
33	0.11	0.89	0	0	1	0.058
34	0.5	0.5	0	0	1	0.058
35	1	0	0	0	0	0.26
36	0	0.00013	0	1	3	0
37	1	0	0	0	0	0.26
38	1	0	0	0	0	0.26
39	0.032	0.97	0	0	1	0.058
40	0	0	0	1	3	0
41	1	0	0	0	0	0.26
42	1	1.5e-05	5.9e-05	0	0	0.26
43	1	0.00047	0	0	0	0.26
44	1	0.00022	0	0	0	0.26
45	0	1	0	0	1	0.058
46	1	0	0	0	0	0.26
47	0	2.8e-06	0	1	3	0
48	1	0	0	0	0	0.26
49	1	0	0	0	0	0.26
50	0	0	0	1	3	0
51	0	1.2e-05	0	1	3	0
52	1	0	0	0	0	0.26
53	0	0	0	1	3	0
54	0	1.4e-06	0	1	3	0
55	1	2.6e-05	0	0	0	0.26
56	1	0	0	0	0	0.26
57	0	1	0	0	1	0.058
58	1	0	0	0	0	0.26
59	1	0	0	0	0	0.26
60	1	0	0	0	0	0.26
61	1e-05	1	0	0	1	0.058
62	0	0.0018	0	1	3	0
63	1	0	0	0	0	0.26
64	1	0	0	0	0	0.26
65	1	0	0	0	0	0.26
66	0	0	0	1	3	0
67	1	0	0	0	0	0.26
68	1	0	0	0	0	0.26
69	1	0	0	0	0	0.26
70	1	0	0	0	0	0.26
71	0	1	0	0	1	0.058
72	1	0	0	0	0	0.26
73	0	1	0	0	1	0.058
74	1	0	0	0	0	0.26
75	0	1	0	0	1	0.058
76	1	0	0	0	0	0.26
77	0	1	0	0	1	0.058
78	1	0	0	0	0	0.26
79	1	0	0	0	0	0.26
80	1	0	0	0	0	0.26
81	1	0	0	0	0	0.26
82	0	0	0	1	3	0
83	0	0	0	1	3	0
84	0	2.3e-06	0	1	3	0
85	1	0	0	0	0	0.26
86	1	0	0	0	0	0.26
87	1	0.001	0	0	0	0.26
88	1	2e-05	0	0	0	0.26
89	1	0	0	0	0	0.26
90	1	0	0	0	0	0.26
91	1	0	0	0	0	0.26
92	1	0	0	0	0	0.26
93	1	0	0	0	0	0.26
94	0	0	0	1	3	0
95	1	0	0	0	0	0.26
96	0	0	0	1	3	0
97	0	5.3e-06	0	1	3	0
98	0	2.2e-06	0	1	3	0
99	1	0	0	0	0	0.26
100	0	0	0	1	3	0
101	0	1	0	0	1	0.058
102	0	1	0	0	1	0.058
103	0	0	0	1	3	0
104	0	1	0	0	1	0.058
105	1	0	0	0	0	0.26
