SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.25	0.024	0	0.0067	0	0.024	0	7e-05	7e-05	0.7	9	0.14
1	0	0.042	0	0.92	0	0.042	0	0	0	5.2e-06	3	0.26
2	0.00016	0.11	0	0.78	0	0.11	0	0	0	0.0024	3	0.26
3	0.0005	0	0	0	0	0	0	0.5	0.5	3.5e-06	7	0.058
4	0	0.0011	0	1	0	0.0011	0	0	0	0	3	0.26
5	0	0	1	0	0	0	0	0	0	0	2	0
6	0	0	0	1	0	0	0	0	0	0	3	0.26
7	0	0	0.52	0.48	0	0	0	0	0	0	2	0
8	3.1e-06	0.087	0	0.83	0	0.087	0	0	0	0.00021	3	0.26
9	0	0.046	0	0.91	0	0.046	0	0	0	1.5e-05	3	0.26
10	0.093	0.14	0	0.44	0	0.14	0	0.019	0.019	0.16	3	0.26
11	0.0024	0	0	0	0	0	0	0.5	0.5	2.1e-05	7	0.058
12	0.12	0.17	0	0.19	0	0.17	0	0.00063	0.00063	0.35	9	0.14
13	0.0076	0	0	0	0	0	0	0.5	0.5	0.00012	7	0.058
14	0	0.13	0	0.74	0	0.13	0	0	0	8.2e-05	3	0.26
15	0	0.089	0	0.82	0	0.089	0	0	0	0	3	0.26
16	0	0.19	0	0.63	0	0.19	0	0	0	7.5e-06	3	0.26
17	0.0024	0.18	0	0.63	0	0.18	0	4.1e-06	4.1e-06	0.017	3	0.26
18	0	0.078	0	0.84	0	0.078	0	0	0	0	3	0.26
19	0	0.067	0	0.87	0	0.067	0	0	0	0	3	0.26
20	0	0	1	0	0	0	0	0	0	0	2	0
21	0.00043	0	0	0	0	0	0	0.5	0.5	1.8e-06	7	0.058
22	0	0	1	0	0	0	0	2.1e-05	2.1e-05	0	2	0
23	0	0.05	0	0.9	0	0.05	0	0	0	0	3	0.26
24	0.076	0.00019	0	8.1e-05	0	0.00019	0	0.45	0.45	0.026	7	0.058
25	0	0	1	0	0	0	0	0	0	0	2	0
26	0	0.038	0	0.92	0	0.038	0	0	0	0	3	0.26
27	0	0	0	0	0	0	0	0.5	0.5	0	7	0.058
28	0	0.14	0	0.71	0	0.14	0	0	0	1.3e-06	3	0.26
29	0	0	0	0	0	0	1	0	0	0	6	1
30	0.77	3e-06	0	0	0	3e-06	0	0.024	0.024	0.19	0	0.12
31	0.00014	0	0	0	0	0	0	0.5	0.5	0	7	0.058
32	0	0.056	0	0.89	0	0.056	0	0	0	0	3	0.26
33	0.18	0.035	0	0.053	0	0.035	0	0.27	0.27	0.16	7	0.058
34	0.38	0.0027	0	0.00034	0	0.0027	0	0.00023	0.00023	0.61	9	0.14
35	0	0.041	0	0.92	0	0.041	0	0	0	1.7e-06	3	0.26
36	0	0	1	0	0	0	0	5.7e-05	5.7e-05	0	2	0
37	0	0.099	0	0.8	0	0.099	0	0	0	0	3	0.26
38	2.1e-05	0.27	0	0.46	0	0.27	0	0	0	0.003	3	0.26
39	0.47	0.0075	0	0.0032	0	0.0075	0	0.062	0.062	0.39	0	0.12
40	0	0	1	0	0	0	0	0	0	0	2	0
41	0	0.18	0	0.65	0	0.18	0	0	0	2.8e-06	3	0.26
