k	loglikelihood	observations	parameters	BIC
1	-51262.4	14493	6	102582
2	-19817.8	14493	9	39721.9
3	-13771.8	14493	12	27658.7
4	-13864.8	14493	15	27873.3
5	-11625	14493	18	23422.5
6	-13253.6	14493	21	26708.4
7	-13331.1	14493	24	26892.3
8	-11146.6	14493	27	22551.9
9	-12769.5	14493	30	25826.4
10	-10323.1	14493	33	20962.4
11	-10284.4	14493	36	20913.7
12	-10482.6	14493	39	21338.9
13	-10484.1	14493	42	21370.6
14	-9849.43	14493	45	20130
15	-12000.8	14493	48	24461.6
16	-10697.5	14493	51	21883.6
17	-10788.4	14493	54	22094.3
18	-10826	14493	57	22198.2
19	-10337.2	14493	60	21249.2
20	-9486.7	14493	63	19577
