SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	1	0	0	7	0	0	0.11
1	0	0	1	0	0	0	0	0	0	0	2	0.054	0.39	0.038
2	0.5	0	0	0.5	0	0	5.1e-05	0	1.7e-05	0	0	0.49	0.61	0.34
3	0	0	1	0	0	0	0	0	0	0	2	0.054	0.39	0.038
4	0	1	0	0	0	0	0	0	0	0	1	0.27	0.043	0.076
5	0.49	0	0	0.49	0.0081	0	0.0034	0	4.3e-05	0	0	0.49	0.61	0.34
6	0.5	0	0	0.5	0.00028	0	0	0	0	0	0	0.49	0.61	0.34
7	0	0	1	0	0	0	0	0	0	0	2	0.054	0.39	0.038
8	0.12	0	0	0.12	0.00058	0	0.76	0	0	0	6	0.49	0.83	0.34
9	0.5	0	0	0.5	0.0052	0	0	0	0	0	0	0.49	0.61	0.34
10	0	1	0	0	0	0	0	0	0	0	1	0.27	0.043	0.076
11	0.5	0	0	0.5	0	0	0	0	0	0	0	0.49	0.61	0.34
12	0	0	0	0	0	0	0	1	0	0	7	0	0	0.11
13	0	0.011	0	0	0	0.99	0	0	0	0	5	0.11	0	0
14	0	0	0	0	0	1	0	0	0	0	5	0.11	0	0
15	0.5	0	0	0.5	1.5e-05	0	4.9e-06	0	0	0	0	0.49	0.61	0.34
16	0	1	0	0	0	0	0	0	0	0	1	0.27	0.043	0.076
17	0.5	0	0	0.5	1.6e-05	0	2.5e-06	0	0	0	0	0.49	0.61	0.34
18	0	0	0	0	0	1	0	0	0	0	5	0.11	0	0
19	0.5	0	0	0.5	0	0	0	0	0	0	0	0.49	0.61	0.34
20	0.5	0	0	0.5	0.00064	0	7.2e-06	0	9.8e-05	0	0	0.49	0.61	0.34
21	0.5	0	0	0.5	0.0013	0	7.1e-05	0	0	0	0	0.49	0.61	0.34
22	0.5	0	0	0.5	1.8e-06	0	0	0	0	0	0	0.49	0.61	0.34
23	0.5	0	0	0.5	0	0	5.3e-05	0	0	0	0	0.49	0.61	0.34
24	0.46	0	0	0.46	0.0011	0	0.074	0	0.00022	0	0	0.49	0.61	0.34
25	0	5.9e-06	1	0	0	0	0	0	0	0	2	0.054	0.39	0.038
26	0.5	0	0	0.5	0.0094	0	1.1e-06	0	4.4e-05	0	0	0.49	0.61	0.34
27	0.49	0	0	0.49	0.013	0	0	0	0.0012	0	0	0.49	0.61	0.34
28	0	0	0	0	0	1	0	0	0	0	5	0.11	0	0
29	0.45	0	0	0.45	0.098	0	0.0097	0	0	0	0	0.49	0.61	0.34
30	0.44	0	0	0.44	0.086	0	0.038	0	0.0028	0	0	0.49	0.61	0.34
31	0.44	0	0	0.44	0.062	0	0.012	0	0.052	0	0	0.49	0.61	0.34
32	0.5	0	0	0.5	0	0	0.0049	0	5.5e-06	0	0	0.49	0.61	0.34
33	0.44	0	0	0.44	0.0013	0	0.12	0	0.0017	0	0	0.49	0.61	0.34
34	0	1	0	0	0	0	0	0	0	0	1	0.27	0.043	0.076
35	0.47	0	0	0.47	0.001	0	0.048	0	0.013	0	0	0.49	0.61	0.34
36	0.5	0	0	0.5	0.0087	0	0.00026	0	2.4e-05	0	0	0.49	0.61	0.34
37	0	1.4e-05	0	0	0	0	0	1	0	0	7	0	0	0.11
38	0.5	0	0	0.5	1.3e-05	0	8.9e-05	0	2.8e-05	0	0	0.49	0.61	0.34
39	0.5	0	0	0.5	0	0	0	0	0	0	0	0.49	0.61	0.34
40	0	1	0	0	0	0	0	0	0	0	1	0.27	0.043	0.076
41	0	0	1	0	0	0	0	0	0	0	2	0.054	0.39	0.038
42	0.5	0	0	0.5	0	0	0.00075	0	0	0	0	0.49	0.61	0.34
43	0.5	0	0	0.5	0	0	0	0	0	0	0	0.49	0.61	0.34
44	0	0	0	0	0	1	0	0	0	0	5	0.11	0	0
45	0.5	0	0	0.5	0	0	0	0	0	0	0	0.49	0.61	0.34
46	0.5	0	0	0.5	9.3e-05	0	0	0	5.1e-06	0	0	0.49	0.61	0.34
