SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.49	0.61	0.34
1	1	0	0.49	0.61	0.34
2	1	0	0.49	0.61	0.34
3	1	0	0.49	0.61	0.34
4	1	0	0.49	0.61	0.34
5	1	0	0.49	0.61	0.34
6	1	0	0.49	0.61	0.34
7	1	0	0.49	0.61	0.34
8	1	0	0.49	0.61	0.34
9	1	0	0.49	0.61	0.34
10	1	0	0.49	0.61	0.34
11	1	0	0.49	0.61	0.34
12	1	0	0.49	0.61	0.34
13	1	0	0.49	0.61	0.34
14	1	0	0.49	0.61	0.34
15	1	0	0.49	0.61	0.34
16	1	0	0.49	0.61	0.34
17	1	0	0.49	0.61	0.34
18	1	0	0.49	0.61	0.34
19	1	0	0.49	0.61	0.34
20	1	0	0.49	0.61	0.34
21	1	0	0.49	0.61	0.34
22	1	0	0.49	0.61	0.34
23	1	0	0.49	0.61	0.34
24	1	0	0.49	0.61	0.34
25	1	0	0.49	0.61	0.34
26	1	0	0.49	0.61	0.34
27	1	0	0.49	0.61	0.34
28	1	0	0.49	0.61	0.34
29	1	0	0.49	0.61	0.34
30	1	0	0.49	0.61	0.34
31	1	0	0.49	0.61	0.34
32	1	0	0.49	0.61	0.34
33	1	0	0.49	0.61	0.34
34	1	0	0.49	0.61	0.34
35	1	0	0.49	0.61	0.34
36	1	0	0.49	0.61	0.34
37	1	0	0.49	0.61	0.34
38	1	0	0.49	0.61	0.34
39	1	0	0.49	0.61	0.34
40	1	0	0.49	0.61	0.34
41	1	0	0.49	0.61	0.34
42	1	0	0.49	0.61	0.34
43	1	0	0.49	0.61	0.34
44	1	0	0.49	0.61	0.34
45	1	0	0.49	0.61	0.34
46	1	0	0.49	0.61	0.34
47	1	0	0.49	0.61	0.34
48	1	0	0.49	0.61	0.34
49	1	0	0.49	0.61	0.34
50	1	0	0.49	0.61	0.34
51	1	0	0.49	0.61	0.34
52	1	0	0.49	0.61	0.34
53	1	0	0.49	0.61	0.34
54	1	0	0.49	0.61	0.34
55	1	0	0.49	0.61	0.34
56	1	0	0.49	0.61	0.34
57	1	0	0.49	0.61	0.34
58	1	0	0.49	0.61	0.34
59	1	0	0.49	0.61	0.34
60	1	0	0.49	0.61	0.34
61	1	0	0.49	0.61	0.34
62	1	0	0.49	0.61	0.34
63	1	0	0.49	0.61	0.34
64	1	0	0.49	0.61	0.34
65	1	0	0.49	0.61	0.34
66	1	0	0.49	0.61	0.34
67	1	0	0.49	0.61	0.34
68	1	0	0.49	0.61	0.34
69	1	0	0.49	0.61	0.34
70	1	0	0.49	0.61	0.34
71	1	0	0.49	0.61	0.34
72	1	0	0.49	0.61	0.34
73	1	0	0.49	0.61	0.34
74	1	0	0.49	0.61	0.34
75	1	0	0.49	0.61	0.34
76	1	0	0.49	0.61	0.34
77	1	0	0.49	0.61	0.34
78	1	0	0.49	0.61	0.34
79	1	0	0.49	0.61	0.34
80	1	0	0.49	0.61	0.34
81	1	0	0.49	0.61	0.34
82	1	0	0.49	0.61	0.34
83	1	0	0.49	0.61	0.34
84	1	0	0.49	0.61	0.34
85	1	0	0.49	0.61	0.34
86	1	0	0.49	0.61	0.34
87	1	0	0.49	0.61	0.34
88	1	0	0.49	0.61	0.34
89	1	0	0.49	0.61	0.34
90	1	0	0.49	0.61	0.34
91	1	0	0.49	0.61	0.34
92	1	0	0.49	0.61	0.34
93	1	0	0.49	0.61	0.34
94	1	0	0.49	0.61	0.34
95	1	0	0.49	0.61	0.34
96	1	0	0.49	0.61	0.34
97	1	0	0.49	0.61	0.34
98	1	0	0.49	0.61	0.34
99	1	0	0.49	0.61	0.34
100	1	0	0.49	0.61	0.34
101	1	0	0.49	0.61	0.34
102	1	0	0.49	0.61	0.34
103	1	0	0.49	0.61	0.34
104	1	0	0.49	0.61	0.34
105	1	0	0.49	0.61	0.34
106	1	0	0.49	0.61	0.34
107	1	0	0.49	0.61	0.34
