SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	1	0	0	0	0	7	0.49	0	0.11
1	0	0	0	0	0	0	0	0	0	0	1	0	10	0.49	0.61	0.038
2	0.98	0	0	0	0	0.00014	0	0	0	0	0	0.02	0	0.49	0.61	0.34
3	0	0	0	0	0	0	0	0	0	0	1	0	10	0.49	0.61	0.038
4	0.99	0	0	0	0	0	0	0	0	0.007	7.3e-06	0	0	0.49	0.61	0.34
5	0.85	3.3e-05	0	0	0	0.1	0	0	0	0	0	0.043	0	0.49	0.61	0.34
6	0.95	0	0	0	0	0.04	0	0	0	0	0	0.0061	0	0.49	0.61	0.34
7	0	0	0	0	0.99	0	0.013	0	0	0	0	0	4	0	0.47	0
8	0.15	0.00017	0	0	0	0.031	0	0	0	0	0	0.82	11	0.49	0.7	0.34
9	0.34	0	0	0	0	0.66	0	0	0	0	0	0.00074	5	0.49	0.61	0.45
10	0	0	0	0	0	0	0	0	0	1	0	0	9	0.054	0.043	0.076
11	1	0	0	0	0	0.0004	0	0	0	0	0	0.004	0	0.49	0.61	0.34
12	0	0	0	0	0	0	0	0	0	1	0	0	9	0.054	0.043	0.076
13	0	0	0.01	0	0	0	0	4.7e-06	0.99	2.8e-06	0	0	8	0.16	0	0
14	0	0	0	0	0	0	0	0	1	0	0	0	8	0.16	0	0
15	0.96	0	0	0	0	0.016	0	0	0	0	0	0.029	0	0.49	0.61	0.34
16	0	0	1	0	0	0	0	0	0	0	0	0	2	0.11	0.043	0
17	0.98	0	0	0	0	0.0078	0	0	0	0	0	0.0095	0	0.49	0.61	0.34
18	0	0	0	0	0	0	0	0	1	0	0	0	8	0.16	0	0
19	1	0	0	0	0	2.7e-06	0	0	0	0	0	3.1e-06	0	0.49	0.61	0.34
20	0.97	0	0	0	0	0.021	0	0	0	0	0	0.0068	0	0.49	0.61	0.34
