SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0.99	0.0064	0.00035	0	0	0	0	0	0	0.28	0.33	0.41	0.41
1	6.3e-05	0	0	0	0	1	0	0	5	0.22	0.26	0.091	0.32
2	1	8.8e-06	0	0	0	0	0	0	0	0.28	0.33	0.41	0.41
3	1	1.7e-06	5.3e-05	0	0	0	0	0	0	0.28	0.33	0.41	0.41
4	0	0	0	0	0	1	0	0	5	0.22	0.26	0.091	0.32
5	0.9	0.098	0.0055	0	0	0	0	0	0	0.28	0.33	0.41	0.41
6	0.99	0.0055	0.0016	0	0	0	0	0	0	0.28	0.33	0.41	0.41
7	1	0	0	0	0	0	0	0	0	0.28	0.33	0.41	0.41
8	0	0.17	0	0.83	0	0	0	0	3	0	0	0.23	0
9	1	0.0029	0.00053	0	0	0	0	0	0	0.28	0.33	0.41	0.41
10	1	0.00019	0.00078	0	0	0	0	0	0	0.28	0.33	0.41	0.41
11	0	0	0	0	0	0	0	1	7	0.28	0	0	0
12	0.58	0.33	0.093	0	0	0	0	0	0	0.28	0.33	0.41	0.41
13	1	1.1e-06	0	0	0	0	0	0	0	0.28	0.33	0.41	0.41
14	0	0	1	0	0	0	1e-05	0	2	0.38	0.44	0.49	0.43
15	0	0	1	0	0	0	0	0	2	0.38	0.44	0.49	0.43
16	0	0.15	0	0.85	0	0	7.9e-06	0	3	0	0	0.23	0
17	0	0.89	0	0.11	0	0	0	0	1	0.28	0.33	0.61	0.41
18	0.34	0.35	0.32	0	0	0	0	0	1	0.28	0.33	0.61	0.41
19	1	0	0	0	0	0	0	0	0	0.28	0.33	0.41	0.41
20	1	0.00045	0.0021	0	0	0	0	0	0	0.28	0.33	0.41	0.41
21	0	0	0	0	0	1	0	0	5	0.22	0.26	0.091	0.32
22	1	3.1e-05	0.00031	0	0	0	0	0	0	0.28	0.33	0.41	0.41
23	1	0.00083	2.8e-05	0	0	0	0	0	0	0.28	0.33	0.41	0.41
