SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0.0042	0	0.00012	0	0.0016	0	0	0	0.0004	5.7e-05	0	0	0	0	0	0.99	0	0	0	0	15	0.28	0.33	0.41	0.41
1	0	0	0	0.037	0	0	0.069	0	0	0	0	0	0.89	0	0	0	0	0	0	0	12	0.28	0.33	0.091	0.41
2	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
3	1.3e-05	0	0.00013	0	3.6e-05	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
4	0	0	0	0.57	0	0	0.014	0	0	0	0	0	0.41	0	0	0	0	0	0	0	3	0.52	0.63	0.53	0.8
5	0.11	0	0.00017	0	0.0036	0	0	0	0.0036	0	0	0	0	0	0	0.89	0	0	0	0	15	0.28	0.33	0.41	0.41
6	0.0093	0	0.00032	0	0.00065	0	0	0	4.5e-05	0	0	0	0	0	0	0.99	0	0	0	0	15	0.28	0.33	0.41	0.41
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
8	0	0	0	0	0	0.23	0	0	0.53	0	0	0	0	0	0	0	0.23	0	0	0	8	0.28	0.33	0.67	0.41
9	0.0034	0	3.1e-05	0	0.011	0	0	0	0.00015	0	0	0	0	0	0	0.99	0	0	0	0	15	0.28	0.33	0.41	0.41
10	0.00023	0	0.0014	0	0.002	0	0	1.9e-05	4.4e-06	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
11	0	0	0.39	0	0	0	0	0.00073	0	0	0.61	0	0	0	0	0	0	0	0	0	10	0.22	0.037	0	0
12	0.12	0	0.0093	0.0014	0.02	0	1.8e-05	0.00045	0.26	0	0	0	0	0	0	0.59	0	0	0	0	15	0.28	0.33	0.41	0.41
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
14	3.1e-05	0	0	0	1	0	0	0	0	0	2.5e-06	0	0	0	0	0	0	4.2e-06	0	0	4	0.28	0.48	0.41	0.41
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.19	0.11	0.046	0.046
16	0.00012	0	0	0	0	0.2	0	0	0.21	0	0	0	0	0	0	0	0.2	0	0.37	0.0043	18	0	0	0.41	0
17	0.00046	0	0	0	0	2.4e-06	0	0	9.1e-06	0	0	0	0	0	1	0	2.4e-06	0	0	0	14	0	0	0.091	0
18	0.27	0	0.02	0.00059	0.017	0	0	3e-05	0.21	0	0	0	0	0	0	0.49	0	0	0	0	15	0.28	0.33	0.41	0.41
19	0	0	0	0	1.7e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
20	0.0016	0	3e-05	0	0.035	0	0	0	4.3e-06	0	0	0	0	0	0	0.96	0	0	0	0	15	0.28	0.33	0.41	0.41
21	0	0	0	0.084	0	0	0.00014	0	0	0	0	0	0.92	0	0	0	0	0	0	0	12	0.28	0.33	0.091	0.41
22	0.00015	0	4.6e-05	0	0.0031	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
23	0.0013	0	2.5e-06	0	0.0021	0	0	0	1.6e-05	0.0013	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
24	2.5e-05	0	1.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
25	0.006	0.00011	5.7e-05	8.1e-06	0.084	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0	0	15	0.28	0.33	0.41	0.41
26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.031	0.11	0.41	0.091
27	0.041	0	0.0001	0	0.033	0	0	0	0.00022	0	0	0	0	0	0	0.93	0	0	0	0	15	0.28	0.33	0.41	0.41
28	0.0068	0	0.0025	0.0027	0.0086	0	0.01	0	0.00015	0	0	0	0	0	0	0.97	0	0	0	0	15	0.28	0.33	0.41	0.41
29	7.5e-05	0	0	0.025	0	0	0.00012	0	0	0	0	0	0	0	0	0.97	0	0	0	0	15	0.28	0.33	0.41	0.41
30	0.014	0	0.00022	0	0.001	0	0	0	0.0053	1.3e-05	0	0	0	0	0	0.98	0	0	0	0	15	0.28	0.33	0.41	0.41
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.28	0.33	0.41	0.41
32	2.2e-06	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	15	0.28	0.33	0.41	0.41
