k	loglikelihood	observations	parameters	BIC
1	-26811.6	18576	8	53701.9
2	-13984.1	18576	12	28086.2
3	-12432.1	18576	16	25021.5
4	-11745.9	18576	20	23688.4
5	-11929.5	18576	24	24095
6	-11547.3	18576	28	23369.9
7	-11221.5	18576	32	22757.6
8	-10368.2	18576	36	21090.3
9	-10453.3	18576	40	21299.7
10	-9941.14	18576	44	20314.8
11	-10004.9	18576	48	20481.7
12	-10299.7	18576	52	21110.5
13	-9656.9	18576	56	19864.3
14	-9537.61	18576	60	19665
15	-9607.86	18576	64	19844.8
16	-9262.73	18576	68	19193.9
17	-9432.64	18576	72	19573
18	-9476.76	18576	76	19700.6
19	-9328.32	18576	80	19443
20	-9291.94	18576	84	19409.6
