SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.0089	0.32	0.032	0	0.00098	0	0.32	0	0.0037	0	0	0	0	1.3e-05	0	0	0.32	0	2	0.28	0.33	0.41	0.41
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.52	0.63	0.49	0.8
2	0	7.4e-05	0.33	0.0031	0	0	0	0.33	0	1.4e-05	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
3	0	0.00056	0.33	0.0012	0	5e-06	0	0.33	0	0.0079	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.52	0.63	0.49	0.8
5	0	0.00037	0.23	0.28	0	0.013	0	0.23	0	0.01	0	0	0	0	2.4e-05	0	0	0.23	0	3	0.28	0.33	0.53	0.41
6	0	5.8e-06	0.3	0.077	0	0.0016	0	0.3	0	0.015	0	0	0	0	0	0	0	0.3	0	2	0.28	0.33	0.41	0.41
7	0	6.5e-06	0.33	0	0	0	0	0.33	0	2.9e-05	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
8	0	0	0	1.9e-06	0	0	0.99	0	0	0	0	0	0	0	0.012	0	0	0	0	6	0	0	0.18	0
9	0	0.017	0.32	0.018	0	0.00037	0	0.32	0	0.0069	0	0	0	0	4.2e-06	0	0	0.32	0	2	0.28	0.33	0.41	0.41
10	0	0.0039	0.33	0.0033	0	0.00012	0	0.33	0	0.013	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
11	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0.97	0	0	16	0.28	0	0	0
12	0	0.039	0.17	0.16	0	0.11	0	0.17	0	0.024	0	0.00011	0.0012	0	0.15	0	0	0.17	0	2	0.28	0.33	0.41	0.41
13	0	1.7e-06	0.33	0.00073	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
14	0	8.6e-05	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0.95	18	0	0.22	0	0
15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.28	0.37	0.43	0.53
16	0	0	0	0.00013	7.2e-06	6.8e-05	0.038	0	0	0	0.11	0	0	0	0.85	0	0	0	0	14	0.28	0.33	0.74	0.41
17	0	0	0	0.96	0	1.2e-06	0.04	0	0	0	0	0	0	0	0	0	0	0	0	3	0.28	0.33	0.53	0.41
18	0	0.44	0.065	0.13	0	0.19	0	0.065	0	0.016	0	0	0.00021	0	0.02	0	0	0.065	0	1	0.28	0.37	0.43	0.53
19	0	2.2e-06	0.33	2.4e-06	0	0	0	0.33	0	0.00022	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
20	0	0.57	0.14	0.0044	0	7.8e-05	0	0.14	0	0.0068	0	0	0	0	0	0	0	0.14	0	1	0.28	0.37	0.43	0.53
21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0.52	0.63	0.49	0.8
22	0	0.011	0.32	0.0024	0	1.8e-05	0	0.32	0	0.014	0	0	0	0	0	0	0	0.32	0	2	0.28	0.33	0.41	0.41
23	0	0.0001	0.33	0.012	0	4.1e-05	0	0.33	0	0.0029	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
24	0	0.00046	0.33	0.0035	0	8.4e-06	0	0.33	0	0.00013	0	0	0	0	0	0	0	0.33	0	2	0.28	0.33	0.41	0.41
25	0	0.022	0.31	0.011	0	0.00055	0	0.31	0	0.031	0	0.0025	0	0	0	6.3e-05	0	0.31	0	2	0.28	0.33	0.41	0.41
26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.33	0.33	0.59	0.43
