SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.98	0.0001	0.0079	0.014	0	0.00027	0	0.00027	0	0	0.61
1	0	0	0	0	0	0	1	0	0.00045	6	0.043
2	0.98	5.4e-05	0.0093	0.0058	0	4.2e-06	0	0	0	0	0.61
3	0	0	0	0	0	0	0.99	0	0.0096	6	0.043
4	0	0	0	0	0	0	1	0	0	6	0.043
5	0	0	0	0	1	0	0.0015	0	0	4	0
6	0.49	2.6e-05	0.018	0.26	0	0.23	0	3.5e-05	3.7e-05	0	0.61
7	0.67	0.00026	0.00067	0.00013	0	0	0	0.33	0	0	0.61
8	0.95	3.2e-05	0.0082	0.034	0	0.0052	0	3.9e-06	0	0	0.61
9	0.99	6.2e-05	0.0035	0.0066	0	0.00039	0	0.0012	0	0	0.61
10	0.8	7.3e-06	0.027	0.17	0	0.0068	0	0	0	0	0.61
11	0	0	0	0	0.92	0	0.079	0	0.00097	4	0
12	1	7.6e-05	0.0011	0.00022	0	0	0	2.9e-06	0	0	0.61
13	0	0.0011	0	0	0	0	0.99	0	0.0065	6	0.043
14	0	0	0	0	1	0	0.0035	0	0	4	0
15	0.93	4.6e-05	0.0066	0.038	0	0.022	0	0.0011	0	0	0.61
16	0	0	0	0	0	0	4e-05	9.9e-05	1	8	0.13
17	0	0	0	0	0	0	0	0.0059	0.99	8	0.13
18	0	0	0	0	0	0	0	0	1	8	0.13
19	0.0015	0	0.00019	0.017	0	0.27	6.4e-05	0.4	0.31	7	0.87
20	0.97	0.0002	0	0	0	0	0	0.032	0	0	0.61
21	0.064	0	0.0063	0.26	0	0.66	0	0.0034	0	5	0.39
22	0	0	0	0	0	0	0.98	0	0.016	6	0.043
23	0.97	2.8e-05	0.0081	0.023	0	0.0014	0	0	0	0	0.61
24	0	0	0	0	0.96	0	0.045	0	0.00016	4	0
25	0.82	8.1e-06	0.025	0.15	0	0.006	0	0	0	0	0.61
26	1	0.00011	0	0	0	0	0	0.0017	0	0	0.61
27	1	6.7e-05	0.002	0.0011	0	4.4e-06	0	0.00011	0	0	0.61
28	0.52	1.3e-05	0.01	0.17	0	0.3	0	1.3e-05	1.4e-05	0	0.61
29	0.41	9.1e-06	0.01	0.19	0	0.39	0	4.2e-06	1.6e-05	0	0.61
30	0.99	4.4e-05	0.0036	0.003	0	1.6e-05	0	4.5e-06	0	0	0.61
31	0.99	0.00024	0.00014	1.8e-06	0	0	0	0.0047	0	0	0.61
32	0.57	2.4e-05	0.024	0.29	0	0.12	0	2.1e-06	0	0	0.61
33	0.97	0.00013	0.0068	0.015	0	0.00073	0	0.0072	0	0	0.61
34	0.99	7.7e-05	0.0055	0.0019	0	0	0	0	0	0	0.61
35	0.32	3.7e-06	0.044	0.6	0	0.04	0	0	0	3	0.47
36	0.065	1.5e-06	0.0076	0.3	0	0.63	0	0	2.5e-05	5	0.39
37	3.7e-06	0	1.7e-05	0.016	0	0.98	0	0	0.00058	5	0.39
38	1	0.00017	0.0024	0.00062	0	0	0	0.00023	0	0	0.61
39	0	0	0	0	0	0	0.29	0	0.71	8	0.13
40	2e-05	0	6.6e-05	0.04	0	0.96	0	0	0	5	0.39
41	0.97	0.00011	0.0085	0.019	0	0.00069	0	0.00066	0	0	0.61
42	0	0	0	0	0	6.9e-06	4e-05	0	1	8	0.13
43	0.58	2.7e-05	0.023	0.27	0	0.12	0	4.8e-06	0	0	0.61
44	8.4e-06	0	0	3.9e-05	0.63	0.00027	0.27	0	0.093	4	0
45	0.92	0.00013	0.008	0.03	0	0.0052	0	0.033	0	0	0.61
46	0.68	1.2e-05	0.046	0.26	0	0.0051	0	0	0	0	0.61
47	0.76	1.1e-05	0.05	0.19	0	0.00099	0	0	0	0	0.61
48	0.94	0.00012	0.0088	0.033	0	0.0052	0	0.015	0	0	0.61
49	0.014	0	0.0062	0.44	0	0.54	0	0	0	5	0.39
50	0	0	0	0	0	0	4.5e-05	0	1	8	0.13
51	0.89	0.00018	0.0038	0.0058	0	0.00021	0	0.1	0	0	0.61
52	0.041	0	0.037	0.91	0	0.0082	0	0	0	3	0.47
53	0.92	2.1e-05	0.03	0.051	0	9.5e-05	0	0	0	0	0.61
54	0	0	0	0	0	0	0	0	1	8	0.13
55	0.19	2.3e-06	0.032	0.66	0	0.12	0	0	0	3	0.47
56	0.98	2.4e-05	0.015	0.0053	0	0	0	0	0	0	0.61
57	0.4	8.4e-06	0.033	0.48	0	0.093	0	0	0	3	0.47
58	0	0	0	0	1	0	1.9e-05	0	0	4	0
