SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.97	0.0086	0.00028	0.0073	0.014	1.7e-05	0	0	0.00027	0	0	0.61
1	0	0	0	0	0	0	0	1	0	0.00045	7	0.043
2	0.98	0.01	4.2e-06	0.0014	0.0059	8.9e-06	0	0	0	0	0	0.61
3	0	0	0	0	0	0	0	0.99	0	0.0096	7	0.043
4	0	0	0	0	0	0	0	1	0	0	7	0.043
5	0	0	0	0	0	0	1	0.0015	0	0	6	0
6	0.49	0.02	0.23	0.0011	0.26	4.3e-06	0	0	3.4e-05	3.6e-05	0	0.61
7	0.63	0.0007	0	0.061	0.00012	4e-05	0	0	0.31	0	0	0.61
8	0.95	0.009	0.0052	0.0014	0.034	5.2e-06	0	0	3.8e-06	0	0	0.61
9	0.98	0.0039	0.00039	0.0056	0.0066	1e-05	0	0	0.0012	0	0	0.61
10	0.79	0.03	0.0068	6.7e-05	0.17	1.2e-06	0	0	0	0	0	0.61
11	0	0	0	0	0	0	0.92	0.077	0	0.00095	6	0
12	0.99	0.0012	0	0.0053	0.00022	1.2e-05	0	0	2.8e-06	0	0	0.61
13	0	0	0	0.024	0	0.00018	0	0.97	0	0.0064	7	0.043
14	0	0	0	0	0	0	1	0.0035	0	0	6	0
15	0.93	0.0073	0.022	0.0036	0.038	7.4e-06	0	0	0.0011	0	0	0.61
16	0	0	0	0.012	0	0	0	4e-05	9.8e-05	0.99	9	0.13
17	0	0	0	0.00011	0	0	0	0	0.0059	0.99	9	0.13
18	0	0	0	0.014	0	0	0	0	0	0.99	9	0.13
19	0.0015	0.00021	0.28	0.0016	0.017	0	0	6.4e-05	0.4	0.31	8	0.87
20	0.94	0	0	0.029	0	3.2e-05	0	0	0.031	0	0	0.61
21	0.063	0.0069	0.66	3.2e-06	0.26	0	0	0	0.0033	0	2	0.39
22	0	0	0	0	0	0	0	0.98	0	0.016	7	0.043
23	0.97	0.0089	0.0014	0.00095	0.023	4.6e-06	0	0	0	0	0	0.61
24	0	0	0	0	0	0	0.96	0.044	0	0.00016	6	0
25	0.82	0.028	0.006	8.3e-05	0.15	1.3e-06	0	0	0	0	0	0.61
26	0.99	0	0	0.0097	0	1.9e-05	0	0	0.0016	0	0	0.61
