SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.24	0.0023	0.0022	0	0.0012	0.24	0.0002	0.0085	0	0	6.8e-06	0.00019	0.0068	0.24	0.0023	3.5e-06	0.24	0	0.0012	0.0023	0	0.61
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00042	0	0	9	0.043
2	0.25	0.0027	1.6e-05	0	0.00022	0.25	0	0.0036	0	0	3.6e-06	2.9e-06	0.0029	0.25	0.0027	0	0.25	0	0.00022	0.0027	0	0.61
3	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0.0091	0	0	9	0.043
4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.043
5	0	0	0	0.5	0	0	0	0	0.5	0.0015	0	0	0	0	0	0	0	0	0	0	3	0
6	0.12	0.0052	0.00022	0	0.00019	0.12	2.7e-05	0.16	0	0	1.7e-06	0.16	0.13	0.12	0.0052	0.038	0.12	3.6e-05	0.00019	0.0052	7	0.47
7	0.14	0.00017	0.2	0	0.0091	0.14	0.21	6.9e-05	0	0	1.4e-05	0	5.6e-05	0.14	0.00017	0	0.14	0	0.0091	0.00017	6	0.87
8	0.24	0.0024	0.00014	0	0.00023	0.24	2.9e-06	0.021	0	0	2.1e-06	0.0036	0.017	0.24	0.0024	0.00016	0.24	0	0.00023	0.0024	0	0.61
9	0.25	0.001	0.0035	0	0.00093	0.25	0.00093	0.0041	0	0	4.1e-06	0.00027	0.0033	0.25	0.001	6.9e-06	0.25	0	0.00093	0.001	0	0.61
10	0.2	0.0078	0	0	1.1e-05	0.2	0	0.1	0	0	0	0.0046	0.083	0.2	0.0078	3.5e-05	0.2	0	1.1e-05	0.0078	0	0.61
11	0	0	0	0.46	0	0	0	0	0.46	0.078	0	0	0	0	0	0	0	0.00092	0	0	3	0
