SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	0.97	0.00038	0.028	0	0	0	0.61
1	0	0	0	1	0	3	0.087
2	0.99	0	0.012	0	0	0	0.61
3	0	0	0	1	0	3	0.087
4	0	0	0	1	0	3	0.087
5	0	0	0	5.2e-06	1	4	0
6	0.47	4.8e-05	0.53	0	0	2	0.47
7	0.59	0.41	0.00024	0	0	0	0.61
8	0.93	5.4e-06	0.069	0	0	0	0.61
9	0.98	0.0018	0.014	0	0	0	0.61
10	0.69	0	0.31	0	0	0	0.61
11	0	0	0	0.019	0.98	4	0
12	1	4.1e-06	0.00046	0	0	0	0.61
13	0	0	0	1	0	3	0.087
14	0	0	0	3.1e-05	1	4	0
15	0.92	0.0015	0.079	0	0	0	0.61
16	0	0.00047	0	1	0	3	0.087
17	0	0.75	0	0.25	0	1	0.87
18	0	0	0	1	0	3	0.087
19	0.0024	0.88	0.054	0.062	0	1	0.87
20	0.96	0.045	0	0	0	0	0.61
21	0.1	0.0078	0.89	0	0	2	0.47
22	0	0	0	1	0	3	0.087
23	0.95	0	0.048	0	0	0	0.61
24	0	0	0	0.0056	0.99	4	0
25	0.73	0	0.27	0	0	0	0.61
26	1	0.0024	0	0	0	0	0.61
27	1	0.00015	0.0024	0	0	0	0.61
28	0.6	2.1e-05	0.4	0	0	0	0.61
29	0.52	7.4e-06	0.48	0	0	0	0.61
30	0.99	6.3e-06	0.0063	0	0	0	0.61
31	0.99	0.0066	3.9e-06	0	0	0	0.61
32	0.48	2.5e-06	0.52	0	0	2	0.47
33	0.96	0.01	0.031	0	0	0	0.61
34	1	0	0.004	0	0	0	0.61
35	0.2	0	0.8	0	0	2	0.47
36	0.094	0	0.91	0	0	2	0.47
37	0.00011	0	1	2e-06	0	2	0.47
38	1	0.00032	0.0013	0	0	0	0.61
39	0	0	0	1	0	3	0.087
40	0.00023	0	1	0	0	2	0.47
41	0.96	0.00092	0.039	0	0	0	0.61
42	0	0	0	1	0	3	0.087
43	0.5	5.9e-06	0.5	0	0	0	0.61
44	8.4e-06	0	8.1e-05	0.33	0.67	4	0
45	0.89	0.045	0.061	0	0	0	0.61
46	0.55	0	0.45	0	0	0	0.61
47	0.66	0	0.34	0	0	0	0.61
48	0.91	0.021	0.068	0	0	0	0.61
49	0.015	0	0.99	0	0	2	0.47
50	0	0	0	1	0	3	0.087
51	0.85	0.14	0.012	0	0	0	0.61
52	0.021	0	0.98	0	0	2	0.47
53	0.9	0	0.1	0	0	0	0.61
54	0	0	0	1	0	3	0.087
55	0.12	0	0.88	0	0	2	0.47
56	0.99	0	0.011	0	0	0	0.61
57	0.29	0	0.71	0	0	2	0.47
58	0	0	0	0	1	4	0
59	0.79	9.2e-06	0.21	0	0	0	0.61
60	0.83	2.4e-05	0.17	0	0	0	0.61
61	0.71	5.9e-06	0.29	0	0	0	0.61
62	0.91	0.06	0.032	0	0	0	0.61
63	0	0	0	1	0	3	0.087
64	0	0	1.6e-05	1	0	3	0.087
65	0	0	0	1	0	3	0.087
66	0.69	3.4e-06	0.31	0	0	0	0.61
67	0	0	0	0.069	0.93	4	0
68	0	0	0	1	0	3	0.087
69	0.053	0	0.95	0	0	2	0.47
70	1	4.2e-05	0.0013	0	0	0	0.61
71	0.33	0	0.67	0	0	2	0.47
72	0	0	0	1	0	3	0.087
73	0.36	0	0.64	0	0	2	0.47
74	1	0.0018	0.00073	0	0	0	0.61
75	0.82	0	0.18	0	0	0	0.61
76	1e-05	0	0.0059	0.99	0	3	0.087
77	0	0	0	1	0	3	0.087
78	0	0	0	1	0	3	0.087
79	0.16	0	0.84	0	0	2	0.47
80	0	0	0	1	0	3	0.087
81	1	0.0017	0.0017	0	0	0	0.61
82	0.76	0	0.24	0	0	0	0.61
83	0	0	5.9e-06	1	0	3	0.087
84	0.94	0	0.056	0	0	0	0.61
85	0.92	0.077	0.0032	0	0	0	0.61
86	1	0.00093	0.00032	0	0	0	0.61
87	0.87	0	0.13	0	0	0	0.61
