SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.0079	0.49	1.2e-05	0	0.014	0.00026	0.0041	0	0	0.001	0.49	2.2e-06	1	0.61
1	0	0	0	0	0	0	0	1	0.00043	0	0	0	7	0.043
2	0.0094	0.49	6.5e-06	0	0.0061	4e-06	0.00075	0	0	0	0.49	0	1	0.61
3	0	0	0	0	0	0	0	0.99	0.0094	0	0	0	7	0.043
4	0	0	0	0	0	0	0	1	0	0	0	0	7	0.043
5	0	0	0	1	0	0	0	0.0015	0	0	0	0	3	0
6	0.018	0.25	3.2e-06	0	0.27	0.22	0.00064	0	3.6e-05	0.00011	0.25	0	4	0.47
7	0.00061	0.3	2.8e-05	0	0.00012	0	0.033	0	0	0.33	0.3	0.029	9	0.83
8	0.0082	0.48	3.8e-06	0	0.035	0.0049	0.00077	0	0	3.2e-05	0.48	7.9e-05	1	0.61
9	0.0035	0.49	7.4e-06	0	0.0069	0.00037	0.0031	0	0	0.0026	0.49	4.2e-05	1	0.61
10	0.027	0.4	0	0	0.17	0.0064	3.7e-05	0	0	0	0.4	0	1	0.61
11	0	0	0	0.92	0	0	0	0.078	0.00094	0	0	0	3	0
12	0.0011	0.5	9e-06	0	0.00023	0	0.0029	0	0	6.3e-05	0.5	0	1	0.61
13	0	0	0.00013	0	0	0	0.013	0.98	0.0063	0	0	0	7	0.043
14	0	0	0	1	0	0	0	0.0035	0	0	0	0	3	0
15	0.0066	0.46	5.4e-06	0	0.04	0.02	0.002	0	0	0.0018	0.46	0.001	1	0.61
16	0	0	0	0	0	0	0.0069	4.1e-05	0.99	0.0037	0	0	8	0.13
17	0	0	0	0	0	0	5.5e-05	0	0.87	0.13	0	0	8	0.13
18	0	0	0	0	0	0	0.0079	0	0.99	4e-06	0	0	8	0.13
19	0.0002	0.00081	0	0	0.018	0.27	0.00095	6.8e-05	0.32	0.31	0.00081	0.075	8	0.13
20	0	0.47	2.3e-05	0	0	0	0.016	0	0	0.048	0.47	0.0016	1	0.61
21	0.0062	0.031	0	0	0.27	0.62	1.8e-06	0	0	0.00012	0.031	0.041	5	0.39
22	0	0	0	0	0	0	0	0.98	0.016	0	0	0	7	0.043
23	0.0081	0.48	3.4e-06	0	0.024	0.0013	0.00053	0	0	4.9e-06	0.48	9.7e-06	1	0.61
24	0	0	0	0.96	0	0	0	0.044	0.00015	0	0	0	3	0
25	0.026	0.41	0	0	0.15	0.0056	4.6e-05	0	0	0	0.41	0	1	0.61
26	0	0.5	1.4e-05	0	0	0	0.0054	0	0	0.0039	0.5	0.00022	1	0.61
27	0.0021	0.5	7.9e-06	0	0.0012	4.2e-06	0.0029	0	0	0.00052	0.5	0	1	0.61
28	0.011	0.26	1.6e-06	0	0.18	0.29	0.0003	0	1.3e-05	4.2e-05	0.26	0	5	0.39
29	0.01	0.21	1.1e-06	0	0.2	0.38	0.00018	0	1.6e-05	1.6e-05	0.21	0	5	0.39
30	0.0036	0.5	5.2e-06	0	0.0031	1.5e-05	0.0012	0	0	4.1e-05	0.5	0	1	0.61
31	0.00013	0.48	2.8e-05	0	1.8e-06	0	0.027	0	0	0.021	0.48	1e-05	1	0.61
32	0.024	0.28	2.9e-06	0	0.3	0.11	0.00041	0	0	1.4e-05	0.28	0	4	0.47
33	0.0068	0.48	1.6e-05	0	0.015	0.00069	0.0076	0	0	0.012	0.48	0.00042	1	0.61
34	0.0055	0.5	9.1e-06	0	0.002	0	0.0015	0	0	4.4e-06	0.5	0	1	0.61
35	0.044	0.16	0	0	0.61	0.037	1.2e-05	0	0	0	0.16	0	4	0.47
36	0.0078	0.033	0	0	0.32	0.61	1.5e-05	0	2.5e-05	0	0.033	0	5	0.39
37	1.8e-05	2e-06	0	0	0.018	0.98	0	0	0.00059	0	2e-06	0	5	0.39
38	0.0024	0.49	2e-05	0	0.00064	0	0.0085	0	0	0.0014	0.49	0	1	0.61
39	0	0	0	0	0	0	0	0.3	0.7	0	0	0	8	0.13
40	7e-05	1e-05	0	0	0.044	0.96	0	0	0	0	1e-05	0	5	0.39
41	0.0085	0.48	1.3e-05	0	0.02	0.00065	0.0044	0	0	0.0019	0.48	1e-05	1	0.61
42	0	0	0	0	0	6.7e-06	0	4.1e-05	1	0	0	0	8	0.13
43	0.023	0.29	3.2e-06	0	0.28	0.11	0.00051	0	0	2.6e-05	0.29	0	1	0.61
44	0	4.2e-06	0	0.64	4e-05	0.00025	0	0.27	0.091	0	4.2e-06	0	3	0
45	0.008	0.45	1.5e-05	0	0.031	0.0049	0.0082	0	0	0.032	0.45	0.0068	1	0.61
46	0.046	0.34	1.4e-06	0	0.27	0.0047	5.7e-05	0	0	0	0.34	0	1	0.61
47	0.05	0.38	1.3e-06	0	0.19	0.00093	3.9e-05	0	0	0	0.38	0	1	0.61
48	0.0087	0.46	1.4e-05	0	0.034	0.0049	0.0069	0	0	0.018	0.46	0.002	1	0.61
49	0.0063	0.0069	0	0	0.46	0.52	0	0	0	0	0.0069	0	5	0.39
50	0	0	0	0	0	0	0	4.7e-05	1	0	0	0	8	0.13
51	0.0038	0.43	2e-05	0	0.0058	0.0002	0.015	0	0	0.093	0.43	0.019	1	0.61
52	0.036	0.02	0	0	0.92	0.0075	0	0	0	0	0.02	0	4	0.47
53	0.03	0.46	2.5e-06	0	0.053	9e-05	0.00011	0	0	0	0.46	0	1	0.61
54	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
55	0.032	0.095	0	0	0.67	0.11	7.8e-06	0	0	0	0.095	0	4	0.47
56	0.015	0.49	2.9e-06	0	0.0055	0	0.0001	0	0	0	0.49	0	1	0.61
57	0.033	0.2	0	0	0.49	0.086	5.9e-05	0	0	0	0.2	0	4	0.47
58	0	0	0	1	0	0	0	1.9e-05	0	0	0	0	3	0
59	0.02	0.43	5.7e-06	0	0.12	0.011	0.001	0	0	4.5e-05	0.43	0	1	0.61
60	0.018	0.44	6.7e-06	0	0.088	0.0073	0.0014	0	0	9.6e-05	0.44	0	1	0.61
61	0.013	0.37	2.1e-06	0	0.15	0.094	0.00035	0	0	2.1e-05	0.37	0	1	0.61
62	0.0061	0.46	1.7e-05	0	0.016	0.0013	0.01	0	0	0.044	0.46	0.0077	1	0.61
63	0	0	0	0	0	0	0	1	0	0	0	0	7	0.043
64	0	0	0	0	2.4e-06	0.00034	0	0.00058	1	0	0	0	8	0.13
65	0	0	0	0	0	0	0	0	1	0	0	0	8	0.13
66	0.014	0.36	2e-06	0	0.16	0.097	0.0003	0	0	1.4e-05	0.36	0	1	0.61
