SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0.32	0.0023	0.0023	0.0024	0	0.32	3.5e-06	0.0002	8.7e-06	0.0023	0	0.0068	0	0.0086	0.00019	0.32	0.0022	0	0.61
1	0	0	0	0	0	0	0	0	0	0	0.00042	0	1	0	0	0	0	12	0.043
2	0.33	0.0028	0.0028	0.00044	0	0.33	0	0	4.6e-06	0.0028	0	0.0029	0	0.0037	2.9e-06	0.33	1.6e-05	0	0.61
3	0	0	0	0	0	0	0	0	0	0	0.0091	0	0.99	0	0	0	0	12	0.043
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.043
5	0	0	0	0	1	0	0	0	0	0	0	0	0.0015	0	0	0	0	4	0
6	0.16	0.0053	0.0053	0.00038	0	0.16	0.038	2.6e-05	2.2e-06	0.0053	3.6e-05	0.13	0	0.16	0.16	0.16	0.00022	13	0.47
7	0.19	0.00017	0.00017	0.018	0	0.19	0	0.21	1.8e-05	0.00017	0	5.5e-05	0	6.9e-05	0	0.19	0.2	7	0.87
8	0.32	0.0024	0.0024	0.00045	0	0.32	0.00016	2.9e-06	2.7e-06	0.0024	0	0.017	0	0.021	0.0036	0.32	0.00014	0	0.61
9	0.33	0.001	0.001	0.0018	0	0.33	6.9e-06	0.00093	5.2e-06	0.0011	0	0.0033	0	0.0041	0.00027	0.33	0.0035	0	0.61
10	0.26	0.0079	0.0079	2.2e-05	0	0.26	3.5e-05	0	0	0.0081	0	0.082	0	0.1	0.0046	0.26	0	0	0.61
11	0	0	0	0	0.92	0	0	0	0	0	0.00092	0	0.078	0	0	0	0	4	0
12	0.33	0.00033	0.00033	0.0017	0	0.33	0	2.2e-06	6.3e-06	0.00034	0	0.00011	0	0.00014	0	0.33	0.00048	0	0.61
13	0	0	0	0.0078	0	0	0	0	9.1e-05	0	0.0062	0	0.99	0	0	0	3.2e-06	12	0.043
14	0	0	0	0	1	0	0	0	0	0	0	0	0.0035	0	0	0	0	4	0
15	0.31	0.0019	0.0019	0.0012	0	0.31	0.002	0.00083	3.8e-06	0.002	0	0.019	0	0.024	0.015	0.31	0.0022	0	0.61
16	0	0	0	0.004	0	0	0	7.5e-05	0	0	0.96	0	4.1e-05	0	0	0	0.033	10	0.13
17	0	0	0	2.7e-05	0	0	0	0.0033	0	0	0.7	0	0	0	0	0	0.29	10	0.13
18	0	0	0	0.0048	0	0	0	0	0	0	0.99	0	0	0	0	0	0.0024	10	0.13
19	0.00048	5.2e-05	5.2e-05	0.0005	0	0.00048	0.14	0.28	0	5.3e-05	0.28	0.0079	6.1e-05	0.0099	0.18	0.00048	0.1	7	0.87
20	0.31	0	0	0.0092	0	0.31	0	0.023	1.6e-05	0	0	0	0	0	0	0.31	0.043	0	0.61
21	0.023	0.002	0.002	1.2e-06	0	0.023	0.092	0.0028	0	0.0021	0	0.14	0	0.18	0.51	0.023	0	14	0.39
22	0	0	0	0	0	0	0	0	0	0	0.015	0	0.98	0	0	0	0	12	0.043
23	0.32	0.0024	0.0024	0.00031	0	0.32	2e-05	0	2.4e-06	0.0024	0	0.012	0	0.015	0.00096	0.32	3.9e-05	0	0.61
24	0	0	0	0	0.96	0	0	0	0	0	0.00015	0	0.045	0	0	0	0	4	0
